gene_id	TCGA-22-5491-01A-01R-1635-07	gene_id	TCGA-22-5491-11A-01R-1858-07
ALK	67.8908	removed	removed
ALMS1	527.0320	ALMS1	437.5641
ALOX12B	37.9486	removed	removed
ALOX12P2	37.7497	ALOX12P2	7.5265
ALOX12	156.6698	ALOX12	5.5662
ALOX15B	176.7503	ALOX15B	2957.9199
ALOX15	1557.6853	ALOX15	9.5792
ALOX5AP	151.8765	ALOX5AP	2430.0376
ALOX5	167.9713	ALOX5	1659.2542
ALOXE3	36.8718	removed	removed
ALPK1	174.9945	ALPK1	385.9049
ALPK2	6.7306	removed	removed
ALPK3	55.0150	ALPK3	911.7345
ALPL	1458.4827	ALPL	10210.7424
removed	removed	ALPPL2	8.5529
removed	removed	ALPP	74.2388
ALS2CL	331.2605	ALS2CL	1232.9798
ALS2CR11	35.9939	ALS2CR11	5.4738
ALS2CR12	11.4127	removed	removed
ALS2CR4	1817.8360	ALS2CR4	454.3277
ALS2CR8	137.2449	ALS2CR8	104.3449
ALS2	458.8485	ALS2	627.4376
ALX1	43.6023	removed	removed
ALX3	18.7285	ALX3	23.2638
AMACR	406.7598	AMACR	381.1153
removed	removed	AMBP	20.1847
AMBRA1	672.7632	AMBRA1	1064.6596
AMD1	7756.5294	AMD1	1807.0236
AMDHD1	117.3458	AMDHD1	22.2374
AMDHD2	259.4572	AMDHD2	256.2436
AMFR	2539.1762	AMFR	2469.0387
removed	removed	AMHR2	7.1844
AMH	7.0232	removed	removed
AMICA1	85.7415	AMICA1	964.7622
AMIGO1	133.7333	AMIGO1	242.2169
AMIGO2	95.3983	AMIGO2	796.7841
AMIGO3	64.0866	AMIGO3	64.6596
AMMECR1L	902.4801	AMMECR1L	571.3308
AMMECR1	855.0735	AMMECR1	284.9812
AMN1	251.9570	AMN1	156.6883
AMN	76.0846	AMN	18.1321
AMOTL1	1837.7350	AMOTL1	3079.7126
AMOTL2	1152.0960	AMOTL2	4216.9004
AMOT	350.8669	AMOT	459.1173
AMPD1	5.2674	AMPD1	13.6846
AMPD2	687.3948	AMPD2	667.4649
AMPD3	458.8485	AMPD3	225.1112
removed	removed	AMPH	11.2898
AMTN	46.5286	removed	removed
AMT	23.7033	AMT	72.9901
AMY1A	91.3015	AMY1A	1066.3702
removed	removed	AMY2A	15.3951
AMY2B	21.4207	AMY2B	89.1413
removed	removed	AMZ1	14.7109
AMZ2P1	186.9925	AMZ2P1	166.6096
AMZ2	2498.2076	AMZ2	933.9719
ANAPC10	169.1419	ANAPC10	118.0294
ANAPC11	2832.1018	ANAPC11	1075.9494
ANAPC13	2565.9668	ANAPC13	1261.4642
ANAPC16	2733.4845	ANAPC16	3111.1871
