gene_id	TCGA-BH-A1FE-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FE-11B-14R-A13Q-07
ALOX5AP	480.237	ALOX5AP	174.9913
ALOX5	381.9271	ALOX5	277.6808
ALOXE3	12.6591	ALOXE3	12.2249
ALPK1	442.2598	ALPK1	817.6738
ALPK2	70.2983	ALPK2	22.3542
ALPK3	105.0434	ALPK3	138.3165
ALPL	331.2908	ALPL	1072.3018
ALS2CL	65.7195	ALS2CL	248.6902
ALS2CR11	5.1175	ALS2CR11	17.4642
removed	removed	ALS2CR12	6.6364
ALS2CR4	1005.9929	ALS2CR4	2571.0793
ALS2CR8	178.5738	ALS2CR8	494.9354
ALS2	1119.3859	ALS2	1012.2249
ALX3	6.4642	ALX3	11.5264
ALX4	7.2722	ALX4	32.1341
AMACR	437.9503	AMACR	303.5278
AMBP	5.6562	removed	removed
AMBRA1	778.1294	AMBRA1	735.2428
AMD1	2195.4077	AMD1	3873.891
AMDHD1	36.8999	AMDHD1	24.4499
AMDHD2	118.427	AMDHD2	54.139
AMFR	2374.2509	AMFR	2394.6909
AMICA1	372.5002	AMICA1	184.7712
AMIGO1	116.6251	AMIGO1	157.1778
AMIGO2	832.8059	AMIGO2	3552.218
AMIGO3	36.8999	AMIGO3	35.627
AMMECR1L	1398.6937	AMMECR1L	1229.4796
AMMECR1	657.4641	AMMECR1	359.4132
AMN1	287.6574	AMN1	302.1306
AMOTL1	1633.8294	AMOTL1	3849.8079
AMOTL2	1286.6474	AMOTL2	3984.6315
AMOT	656.9255	AMOT	1771.219
AMPD1	10.235	AMPD1	69.1582
AMPD2	518.4836	AMPD2	478.519
AMPD3	476.7356	AMPD3	267.2022
AMPH	614.6387	AMPH	45.4069
AMT	50.9057	AMT	233.437
removed	removed	AMY1A	17.1149
AMY2B	74.9391	AMY2B	598.8893
AMZ1	44.1721	removed	removed
AMZ2P1	149.7542	AMZ2P1	247.9916
AMZ2	1414.5849	AMZ2	1326.2312
ANAPC10	127.1295	ANAPC10	195.599
ANAPC11	510.134	ANAPC11	195.599
ANAPC13	1047.7113	ANAPC13	1172.2529
ANAPC16	2018.7193	ANAPC16	3093.6081
ANAPC1	1344.2866	ANAPC1	1629.4097
ANAPC2	344.2192	ANAPC2	317.4991
ANAPC4	471.3487	ANAPC4	906.3919
ANAPC5	2145.8488	ANAPC5	2780.3004
ANAPC7	1244.3606	ANAPC7	1040.5169
ANGEL1	784.863	ANGEL1	804.0517
ANGEL2	832.5365	ANGEL2	1056.2347
ANGPT1	73.2611	ANGPT1	460.3563
ANGPT2	458.959	ANGPT2	266.853
removed	removed	ANGPT4	6.2871
ANGPTL1	106.9288	ANGPTL1	230.1781
ANGPTL2	1694.97	ANGPTL2	1662.5917
ANGPTL4	22.3554	ANGPTL4	505.7632
removed	removed	ANGPTL7	17.1149
ANG	117.5921	ANG	387.1009
ANK1	31.513	ANK1	8.3828
ANK2	678.4728	ANK2	513.4474
ANK3	1509.932	ANK3	2025.4977
ANKAR	21.278	ANKAR	130.6322
ANKDD1A	53.3297	ANKDD1A	120.1537
removed	removed	ANKFN1	5.5885
ANKFY1	2194.061	ANKFY1	2520.4331
ANKHD1-EIF4EBP3	555.3	ANKHD1-EIF4EBP3	1167.7751
ANKHD1	3170.0922	ANKHD1	4410.0629
ANKH	1837.452	ANKH	1834.0901
ANKIB1	2926.1329	ANKIB1	2130.6322
ANKK1	7.8109	ANKK1	47.1533
ANKLE1	7.2722	ANKLE1	24.1006
ANKLE2	1725.675	ANKLE2	1713.9364
ANKMY1	206.0467	ANKMY1	202.2354
ANKMY2	304.0873	ANKMY2	821.8652
ANKRA2	255.3363	ANKRA2	555.3615
ANKRD10	943.4516	ANKRD10	1497.9776
ANKRD11	1338.7947	ANKRD11	1637.8519
ANKRD12	2022.2207	ANKRD12	3165.9099
ANKRD13A	1517.2042	ANKRD13A	1869.0185
ANKRD13B	224.6313	ANKRD13B	113.5173
ANKRD13C	672.5473	ANKRD13C	952.1481
ANKRD13D	290.0815	ANKRD13D	225.6374
ANKRD16	144.9061	ANKRD16	166.2487
ANKRD17	5946.2662	ANKRD17	6462.1027
ANKRD19	39.324	ANKRD19	18.5121
removed	removed	ANKRD20A3	45.4069
ANKRD20B	5.1175	ANKRD20B	21.3063
ANKRD22	460.575	ANKRD22	59.7276
ANKRD23	32.5904	ANKRD23	27.9427
removed	removed	ANKRD24	8.3828
ANKRD26	410.7468	ANKRD26	693.678
ANKRD27	756.582	ANKRD27	988.4736
ANKRD28	1552.2187	ANKRD28	2205.0297
ANKRD29	47.4042	ANKRD29	307.0206
ANKRD30A	1210.4235	ANKRD30A	805.0995
ANKRD30B	126.5908	ANKRD30B	69.5075
removed	removed	ANKRD31	15.7178
ANKRD32	227.5941	ANKRD32	357.3175
ANKRD34A	14.0058	ANKRD34A	11.1771
ANKRD35	21.5474	ANKRD35	47.1533
ANKRD36BP1	159.1812	ANKRD36BP1	483.409
ANKRD36B	86.9975	ANKRD36B	234.0203
ANKRD36	206.5854	ANKRD36	721.97
ANKRD37	103.5216	ANKRD37	145.3021
ANKRD39	104.5047	ANKRD39	55.8854
ANKRD40	1353.9829	ANKRD40	1963.3252
ANKRD42	315.9383	ANKRD42	405.868
ANKRD43	320.2478	ANKRD43	36.6748
ANKRD44	190.6942	ANKRD44	132.7279
ANKRD45	14.0058	ANKRD45	17.8135
ANKRD46	653.6018	ANKRD46	829.2944
ANKRD49	289.5428	ANKRD49	487.9497
ANKRD50	3306.7134	ANKRD50	2202.5847
ANKRD52	1861.6928	ANKRD52	1166.9577
ANKRD53	7.0029	ANKRD53	44.0098
ANKRD54	342.0645	ANKRD54	239.9581
ANKRD55	11.3124	removed	removed
ANKRD56	77.3012	ANKRD56	61.474
ANKRD57	1282.8766	ANKRD57	1342.6476
ANKRD58	6.1949	removed	removed
ANKRD5	325.096	ANKRD5	260.2166
