gene_id	TCGA-E9-A1N9-01A-11R-A14D-07	gene_id	TCGA-E9-A1N9-11A-71R-A14D-07
removed	removed	ALDH3A1	39.9096
ALDH3A2	2138.3104	ALDH3A2	2292.1687
ALDH3B1	62.2897	ALDH3B1	144.5783
ALDH3B2	3403.6555	ALDH3B2	16754.5181
ALDH4A1	682.9135	ALDH4A1	3615.9639
ALDH5A1	678.3668	ALDH5A1	602.0331
ALDH6A1	340.8521	ALDH6A1	904.8532
ALDH7A1	2066.9273	ALDH7A1	2181.0994
ALDH8A1	6.3654	ALDH8A1	7.1536
ALDH9A1	2775.757	ALDH9A1	2716.491
ALDOA	17395.1987	ALDOA	16893.4488
removed	removed	ALDOB	6.4006
ALDOC	49.559	ALDOC	778.991
ALG10B	169.137	ALG10B	287.2741
ALG10	120.0327	ALG10	132.5301
ALG11	14.5494	ALG11	13.9307
ALG12	423.7519	ALG12	423.5693
ALG13	446.4854	ALG13	548.5693
ALG14	104.1193	ALG14	175.0753
ALG1L	28.9488	removed	removed
ALG1	314.6085	ALG1	437.4661
ALG2	600.1637	ALG2	773.3434
removed	removed	ALG3	728.1627
ALG5	549.2407	ALG5	637.4247
ALG6	802.9463	ALG6	324.1717
ALG8	735.2005	ALG8	867.4699
ALG9	497.4084	ALG9	619.7289
ALKBH1	249.1589	ALKBH1	300.0753
ALKBH2	256.8882	ALKBH2	202.1837
ALKBH3	99.5726	ALKBH3	300.4518
ALKBH4	196.6764	ALKBH4	161.2613
ALKBH5	1492.2252	ALKBH5	1794.4277
ALKBH6	61.835	ALKBH6	94.1265
ALKBH7	361.4622	ALKBH7	303.8404
ALKBH8	222.788	ALKBH8	235.6928
ALK	5.456	ALK	21.8373
ALMS1P	5.456	removed	removed
ALMS1	1343.0936	ALMS1	831.7018
removed	removed	ALOX12B	7.1536
ALOX12P2	5.0014	ALOX12P2	29.3675
removed	removed	ALOX12	5.6476
ALOX15B	22.7335	ALOX15B	69231.5512
ALOX15	9.0934	ALOX15	591.1145
ALOX5AP	181.8678	ALOX5AP	168.6747
ALOX5	216.4227	ALOX5	616.7169
removed	removed	ALOXE3	6.0241
ALPK1	227.7894	ALPK1	615.9639
ALPK2	41.3749	ALPK2	12.8012
ALPK3	133.2182	ALPK3	1047.0633
ALPL	241.4295	ALPL	812.5
ALS2CL	71.3831	ALS2CL	484.1867
ALS2CR11	43.6483	ALS2CR11	6.0241
removed	removed	ALS2CR12	5.6476
ALS2CR4	1125.7616	ALS2CR4	1024.4729
ALS2CR8	196.8719	ALS2CR8	287.2741
ALS2	788.8515	ALS2	695.7831
ALX3	6.3654	ALX3	28.238
removed	removed	ALX4	35.0151
AMACR	1022.5516	AMACR	425.0753
AMBP	167.773	AMBP	34.6386
AMBRA1	976.1753	AMBRA1	1056.4759
AMD1	2571.8287	AMD1	1797.1724
removed	removed	AMDHD1	9.4127
AMDHD2	64.1493	AMDHD2	207.1536
AMFR	2774.393	AMFR	2423.5693
removed	removed	AMH	7.1536
AMICA1	141.8569	AMICA1	89.2319
AMIGO1	48.6496	AMIGO1	118.9759
AMIGO2	454.6695	AMIGO2	3118.2229
AMIGO3	62.2897	AMIGO3	149.0964
AMMECR1L	1211.2394	AMMECR1L	1043.2982
AMMECR1	588.3423	AMMECR1	182.6054
AMN1	341.9114	AMN1	117.0934
AMOTL1	907.5202	AMOTL1	2100.5271
AMOTL2	821.5877	AMOTL2	3334.7139
AMOT	811.1303	AMOT	868.9759
AMPD1	5.456	AMPD1	57.9819
AMPD2	456.0335	AMPD2	480.7982
AMPD3	141.8569	AMPD3	155.497
AMPH	166.409	AMPH	83.5843
removed	removed	AMTN	6.4006
AMT	25.1705	AMT	211.6755
AMY1A	76.8391	AMY1A	13.5542
AMY2B	38.4423	AMY2B	487.9556
AMZ1	28.6442	removed	removed
AMZ2P1	292.3525	AMZ2P1	227.7861
AMZ2	3169.9554	AMZ2	927.3343
ANAPC10	178.2304	ANAPC10	134.0361
ANAPC11	1183.0499	ANAPC11	547.0633
ANAPC13	941.3158	ANAPC13	1139.4955
ANAPC16	2834.8641	ANAPC16	2067.0181
ANAPC1	916.6136	ANAPC1	1308.3584
ANAPC2	269.1643	ANAPC2	758.2831
ANAPC4	616.5318	ANAPC4	621.2349
ANAPC5	1946.4399	ANAPC5	2597.1386
ANAPC7	857.0519	ANAPC7	878.012
ANGEL1	473.7656	ANGEL1	531.25
ANGEL2	892.0615	ANGEL2	635.9187
ANGPT1	70.4738	ANGPT1	426.5813
ANGPT2	225.516	ANGPT2	177.3343
removed	removed	ANGPT4	27.1084
ANGPTL1	55.9243	ANGPTL1	451.0542
ANGPTL2	1066.1999	ANGPTL2	3657.756
ANGPTL4	99.5726	ANGPTL4	1764.6837
ANGPTL6	25.0477	removed	removed
removed	removed	ANGPTL7	300.4518
ANG	117.7503	ANG	379.6875
ANK1	10.9121	ANK1	9.0361
ANK2	262.3443	ANK2	863.7048
ANK3	2513.8674	ANK3	1381.4006
ANKAR	44.1029	ANKAR	58.7349
ANKDD1A	40.9203	ANKDD1A	195.4066
ANKFY1	1528.144	ANKFY1	2268.4488
ANKHD1-EIF4EBP3	375.8025	ANKHD1-EIF4EBP3	1149.7666
ANKHD1	3313.0672	ANKHD1	2933.3998
ANKH	1001.6368	ANKH	1467.244
ANKIB1	2750.7502	ANKIB1	1314.759
ANKK1	10.4574	ANKK1	43.6747
ANKLE1	15.0041	ANKLE1	17.6958
ANKLE2	1313.5401	ANKLE2	1442.3946
ANKMY1	148.6769	ANKMY1	270.7078
ANKMY2	459.6708	ANKMY2	510.9187
ANKRA2	272.8017	ANKRA2	347.1386
ANKRD10	877.894	ANKRD10	1285.497
ANKRD11	2189.7654	ANKRD11	2588.1777
ANKRD12	1200.782	ANKRD12	1588.4789
ANKRD13A	697.0083	ANKRD13A	1317.7711
ANKRD13B	353.2782	ANKRD13B	103.5392
ANKRD13C	776.5754	ANKRD13C	569.6536
ANKRD13D	305.0832	ANKRD13D	426.5813
ANKRD16	210.5029	ANKRD16	169.0512
ANKRD17	3926.0707	ANKRD17	3862.9518
ANKRD19	61.835	ANKRD19	49.3223
ANKRD20A3	11.8214	ANKRD20A3	42.1687
removed	removed	ANKRD20A4	6.7771
removed	removed	ANKRD20B	9.0361
ANKRD22	116.8501	ANKRD22	15.4367
ANKRD23	23.1881	ANKRD23	56.0994
ANKRD24	6.82	ANKRD24	33.509
removed	removed	ANKRD26P1	10.1657
ANKRD26	578.7942	ANKRD26	295.5572
ANKRD27	1088.4787	ANKRD27	761.2952
ANKRD28	1727.7439	ANKRD28	1231.9277
ANKRD29	32.2815	ANKRD29	243.9759
ANKRD30A	2627.0801	ANKRD30A	272.9669
ANKRD30B	9664.4539	ANKRD30B	12.8012
ANKRD32	268.255	ANKRD32	166.7922
removed	removed	ANKRD34A	13.9307
ANKRD34B	5.9107	removed	removed
ANKRD35	40.4656	ANKRD35	153.6145
ANKRD36BP1	205.5106	ANKRD36BP1	117.0934
ANKRD36B	44.1029	ANKRD36B	114.4578
ANKRD36	121.8514	ANKRD36	255.2711
ANKRD37	93.821	ANKRD37	297.6619
ANKRD39	78.6578	ANKRD39	88.1024
ANKRD40	1152.5871	ANKRD40	2207.8313
ANKRD42	153.2236	ANKRD42	260.5422
ANKRD43	65.0177	ANKRD43	32.3795
ANKRD44	63.1991	ANKRD44	96.3855
removed	removed	ANKRD45	8.6596
ANKRD46	1036.8828	ANKRD46	525.2259
ANKRD49	221.8787	ANKRD49	236.8223
ANKRD50	1883.2409	ANKRD50	1081.3253
