gene_id	TCGA-E9-A1RB-01A-11R-A157-07	gene_id	TCGA-E9-A1RB-11A-33R-A157-07
ANGPTL2	870.1873	ANGPTL2	6810.9628
ANGPTL4	345.9938	ANGPTL4	1598.8131
removed	removed	ANGPTL5	177.403
removed	removed	ANGPTL7	98.3837
ANG	398.4495	ANG	808.7827
removed	removed	ANK1	25.9233
ANK2	86.1082	ANK2	2113.2193
removed	removed	ANK3	769.5791
ANKAR	10.1457	ANKAR	54.3453
ANKDD1A	41.8835	ANKDD1A	83.7042
ANKFY1	1206.8158	ANKFY1	2641.0557
ANKHD1-EIF4EBP3	759.8153	ANKHD1-EIF4EBP3	1063.7776
ANKHD1	1707.1696	ANKHD1	2853.8268
ANKH	1400.1041	ANKH	1738.4243
ANKIB1	1830.9053	ANKIB1	1780.5887
removed	removed	ANKK1	11.8685
ANKLE1	29.3965	ANKLE1	10.9315
ANKLE2	2142.0395	ANKLE2	1613.1803
ANKMY1	156.6077	ANKMY1	167.0961
ANKMY2	393.8606	ANKMY2	688.0612
ANKRA2	162.8512	ANKRA2	298.5867
ANKRD10	1610.6322	ANKRD10	1157.8043
ANKRD11	1479.2274	ANKRD11	2261.5289
ANKRD12	1327.2633	ANKRD12	2125.0878
ANKRD13A	1372.2685	ANKRD13A	1364.5663
ANKRD13B	178.9802	ANKRD13B	105.2549
ANKRD13C	738.2934	ANKRD13C	675.568
ANKRD13D	592.872	ANKRD13D	267.9784
ANKRD16	176.6363	ANKRD16	108.6406
ANKRD17	4494.5369	ANKRD17	3968.1424
ANKRD19	36.9407	ANKRD19	30.9206
removed	removed	ANKRD20A3	5.6219
ANKRD22	118.3663	ANKRD22	23.737
ANKRD23	22.1124	ANKRD23	25.9233
removed	removed	ANKRD24	14.0548
ANKRD26	879.8127	ANKRD26	414.7732
ANKRD27	916.4932	ANKRD27	1022.8781
ANKRD28	1743.4964	ANKRD28	1574.1391
ANKRD29	31.4776	ANKRD29	254.8606
ANKRD30A	1614.204	ANKRD30A	589.3652
ANKRD30B	116.2851	ANKRD30B	28.422
ANKRD32	258.5848	ANKRD32	172.0934
ANKRD34A	13.0073	ANKRD34A	17.8028
ANKRD35	18.9906	ANKRD35	162.4112
ANKRD36BP1	155.0468	ANKRD36BP1	246.7401
ANKRD36B	37.9813	ANKRD36B	44.3507
ANKRD36	131.3736	ANKRD36	203.014
ANKRD37	82.2034	ANKRD37	57.0469
ANKRD39	120.9677	ANKRD39	77.1453
ANKRD40	1598.0749	ANKRD40	2814.3984
ANKRD42	241.155	ANKRD42	243.6168
ANKRD43	315.2966	ANKRD43	84.9535
ANKRD44	22.6327	ANKRD44	202.3893
removed	removed	ANKRD45	15.3041
ANKRD46	344.3392	ANKRD46	964.9286
ANKRD49	469.563	ANKRD49	376.9813
ANKRD50	1100.9365	ANKRD50	1382.6813
ANKRD52	2343.6524	ANKRD52	1165.9249
removed	removed	ANKRD53	178.9646
ANKRD54	328.0437	ANKRD54	257.6716
removed	removed	ANKRD55	9.3699
ANKRD56	17.6899	ANKRD56	29.9836
ANKRD57	349.6358	ANKRD57	709.6119
