gene_id	TCGA-E2-A153-01A-12R-A12D-07	gene_id	TCGA-E2-A153-11A-31R-A12D-07
ALDH3B2	181.8687	ALDH3B2	15382.7637
ALDH4A1	454.9499	ALDH4A1	2344.9529
ALDH5A1	300.8899	ALDH5A1	592.7103
ALDH6A1	332.6418	ALDH6A1	569.0837
ALDH7A1	941.0456	ALDH7A1	2419.4391
removed	removed	ALDH8A1	15.4423
ALDH9A1	2891.5462	ALDH9A1	2479.3914
ALDOA	76656.2848	ALDOA	17893.4938
ALDOC	464.9611	ALDOC	453.73
ALG10B	250.8343	ALG10B	326.5584
ALG10	64.5161	ALG10	104.9165
ALG11	21.1346	ALG11	11.8088
ALG12	526.1402	ALG12	452.8216
ALG13	354.8387	ALG13	551.8338
ALG14	229.6997	ALG14	153.0601
ALG1	854.6663	ALG1	465.1391
ALG2	888.2091	ALG2	769.388
ALG3	779.7553	ALG3	706.2564
ALG5	683.5373	ALG5	540.025
ALG6	240.267	ALG6	299.3074
ALG8	860.4004	ALG8	713.5233
ALG9	593.4372	ALG9	535.029
ALKBH1	300.3337	ALKBH1	320.1998
ALKBH2	348.7208	ALKBH2	271.6021
ALKBH3	375.9733	ALKBH3	328.3752
ALKBH4	319.5829	ALKBH4	210.7914
ALKBH5	1779.1991	ALKBH5	1987.5099
ALKBH6	102.3359	ALKBH6	97.1954
ALKBH7	528.921	ALKBH7	385.6024
ALKBH8	201.3348	ALKBH8	226.6379
ALK	7.2303	ALK	77.6655
removed	removed	ALMS1P	7.7211
ALMS1	911.0122	ALMS1	746.6788
removed	removed	ALOX12P2	34.518
removed	removed	ALOX12	6.8128
ALOX15B	383.2036	ALOX15B	53070.9663
removed	removed	ALOX15	376.0645
ALOX5AP	689.6552	ALOX5AP	263.4268
ALOX5	606.2291	ALOX5	884.2966
ALOXE3	39.4883	ALOXE3	12.7172
ALPK1	507.7864	ALPK1	815.2606
ALPK2	164.6274	ALPK2	37.2431
ALPK3	319.7998	ALPK3	537.2999
ALPL	62.8476	ALPL	2373.5665
ALS2CL	164.0712	ALS2CL	352.9011
removed	removed	ALS2CR11	6.3586
ALS2CR4	344.2714	ALS2CR4	1051.8905
ALS2CR8	113.4594	ALS2CR8	285.6818
ALS2	549.4994	ALS2	767.1171
removed	removed	ALX1	11.8088
ALX3	10.0111	ALX3	33.6096
removed	removed	ALX4	34.0638
AMACR	406.0067	AMACR	324.2875
removed	removed	AMBP	303.8492
AMBRA1	978.3092	AMBRA1	1327.1261
AMD1	797.5528	AMD1	1909.3903
AMDHD1	6.1179	AMDHD1	19.5299
AMDHD2	309.2714	AMDHD2	293.3576
AMFR	4860.4004	AMFR	3169.7513
removed	removed	AMH	9.9921
AMICA1	147.386	AMICA1	279.3233
AMIGO1	58.9544	AMIGO1	153.5143
AMIGO2	1673.5261	AMIGO2	2711.0253
AMIGO3	80.089	AMIGO3	86.295
AMMECR1L	827.5862	AMMECR1L	1006.4721
AMMECR1	817.5751	AMMECR1	261.6101
AMN1	187.9867	AMN1	157.1477
AMOTL1	869.2992	AMOTL1	2195.9805
AMOTL2	2558.9544	AMOTL2	2474.3954
AMOT	691.8799	AMOT	857.0455
removed	removed	AMPD1	25.8885
AMPD2	839.2659	AMPD2	664.4714
AMPD3	281.4238	AMPD3	271.148
AMPH	144.0489	AMPH	38.6057
AMT	61.9355	AMT	286.3767
removed	removed	AMY1A	14.9881
AMY2B	108.1313	AMY2B	489.2426
AMZ1	109.5662	AMZ1	21.3467
AMZ2P1	195.2169	AMZ2P1	162.5979
