gene_id	TCGA-BH-A0B7-01A-12R-A115-07	gene_id	TCGA-BH-A0B7-11A-34R-A115-07
ALS2CR4	663.6883	ALS2CR4	1820.4575
ALS2CR8	98.2845	ALS2CR8	375.9171
ALS2	794.4961	ALS2	858.006
ALX3	16.7977	ALX3	37.9801
ALX4	6.0758	ALX4	63.8757
AMACR	1404.9321	AMACR	271.0401
AMBP	6.7906	AMBP	11.2214
AMBRA1	914.5818	AMBRA1	1135.0885
AMD1	2118.2988	AMD1	2038.8433
AMDHD1	5.7184	AMDHD1	13.811
AMDHD2	144.0315	AMDHD2	146.7846
AMFR	5150.1072	AMFR	3009.0634
AMH	22.8735	removed	removed
AMICA1	382.416	AMICA1	160.5524
AMIGO1	41.4582	AMIGO1	109.6245
AMIGO2	250.1787	AMIGO2	3376.3487
AMIGO3	244.8177	AMIGO3	83.2974
AMMECR1L	1007.5054	AMMECR1L	1063.0125
AMMECR1	275.9114	AMMECR1	352.6111
AMN1	93.9957	AMN1	233.9232
AMOTL1	1259.1137	AMOTL1	2890.8071
AMOTL2	1157.97	AMOTL2	4448.4247
AMOT	559.3281	AMOT	1696.1588
AMPD1	7.8628	AMPD1	53.5175
AMPD2	655.8256	AMPD2	733.7074
AMPD3	358.8277	AMPD3	225.2913
AMPH	75.411	AMPH	51.3595
AMT	25.0179	AMT	351.8947
AMY1A	47.1766	AMY1A	11.2214
AMY2B	52.5375	AMY2B	436.2581
AMZ1	9.6497	AMZ1	22.8744
AMZ2P1	126.5189	AMZ2P1	218.8174
AMZ2	1183.3452	AMZ2	948.6405
ANAPC10	110.7934	ANAPC10	139.836
ANAPC11	1066.8335	ANAPC11	417.7816
ANAPC13	1131.0901	ANAPC13	796.3444
ANAPC16	1831.3081	ANAPC16	2574.8813
ANAPC1	745.8899	ANAPC1	980.5783
ANAPC2	468.9064	ANAPC2	733.2758
ANAPC4	346.6762	ANAPC4	839.8792
ANAPC5	1855.2538	ANAPC5	2688.3902
ANAPC7	845.9614	ANAPC7	1055.2438
ANGEL1	279.8427	ANGEL1	759.6029
ANGEL2	695.4968	ANGEL2	839.4476
ANGPT1	151.1794	ANGPT1	257.6608
ANGPT2	377.4124	ANGPT2	107.4666
removed	removed	ANGPT4	7.3371
ANGPTL1	158.6848	ANGPTL1	157.5313
ANGPTL2	2300.2144	ANGPTL2	1668.5369
ANGPTL4	457.4696	ANGPTL4	154.9417
removed	removed	ANGPTL5	6.4739
removed	removed	ANGPTL7	36.2538
ANG	96.98	ANG	265.3604
ANK1	27.5197	ANK1	7.7687
ANK2	516.7977	ANK2	393.1808
ANK3	1637.2409	ANK3	1705.2223
ANKAR	13.5811	ANKAR	79.413
ANKDD1A	67.1909	ANKDD1A	102.2874
ANKFY1	2174.0529	ANKFY1	2488.9944
ANKHD1-EIF4EBP3	1091.2009	ANKHD1-EIF4EBP3	1155.5848
ANKHD1	1910.3217	ANKHD1	3372.2788
ANKH	2607.9342	ANKH	1438.9297
ANKIB1	1791.9943	ANKIB1	1692.2745
ANKK1	17.1551	ANKK1	56.107
removed	removed	ANKLE1	25.8956
ANKLE2	1704.7891	ANKLE2	1630.5568
ANKMY1	307.7198	ANKMY1	276.2192
ANKMY2	337.3838	ANKMY2	691.4113
ANKRA2	274.8392	ANKRA2	496.7631
ANKRD10	869.9071	ANKRD10	1519.3569
ANKRD11	1994.9035	ANKRD11	2821.0617
ANKRD12	1305.218	ANKRD12	2257.2292
ANKRD13A	1027.8771	ANKRD13A	1558.4808
ANKRD13B	88.6347	ANKRD13B	146.7415
ANKRD13C	606.1472	ANKRD13C	694.4325
