gene_id	TCGA-E9-A1RC-01A-11R-A157-07	gene_id	TCGA-E9-A1RC-11A-33R-A157-07
AGRN	2589.7817	AGRN	1473.7394
AGTPBP1	217.0139	AGTPBP1	635.4977
AGTR1	25.5456	AGTR1	1021.76
AGTRAP	689.4841	AGTRAP	413.8775
AGT	294.1468	AGT	160.0979
AGXT2L2	578.4871	AGXT2L2	1017.8555
removed	removed	AGXT	12.5841
AHCTF1	3202.629	AHCTF1	1654.4612
AHCYL1	2653.0258	AHCYL1	6009.9624
AHCYL2	562.5	AHCYL2	763.4362
AHCY	3149.3056	AHCY	1148.6498
AHDC1	479.6627	AHDC1	367.7357
AHI1	686.5079	AHI1	383.1163
AHNAK2	2163.1944	AHNAK2	1231.4952
AHNAK	27591.2698	AHNAK	256879.4896
AHRR	92.0139	AHRR	18.1771
AHR	3007.6885	AHR	1789.7405
AHSA1	2750.9921	AHSA1	1439.1331
AHSA2	469.246	AHSA2	467.36
AIDA	1237.1677	AIDA	2351.5791
AIF1L	596.2302	AIF1L	3570.3924
AIF1	93.75	AIF1	664.8606
AIFM1	1017.3611	AIFM1	1230.097
AIFM2	89.2857	AIFM2	4586.5595
AIFM3	15.873	AIFM3	5.1175
AIG1	623.5119	AIG1	1647.4701
AIM1	4366.5675	AIM1	2737.0445
AIM2	5.7044	removed	removed
AIMP1	1578.5169	AIMP1	906.2868
AIMP2	430.2654	AIMP2	302.5605
AIP	523.8095	AIP	770.0778
removed	removed	AJAP1	7.3407
AK1	394.8413	AK1	1203.181
AK2	1818.4524	AK2	2310.2333
AK3L1	655.754	AK3L1	1000.4369
AK3	1402.5298	AK3	3782.2249
AK5	30.2579	AK5	19.5753
AK7	253.2242	AK7	10.4868
AKAP10	566.2202	AKAP10	574.3249
AKAP11	1029.5139	AKAP11	2919.1646
AKAP12	469.9901	AKAP12	16174.4298
AKAP13	3442.7083	AKAP13	3607.4456
AKAP14	41.1706	removed	removed
AKAP1	2056.7956	AKAP1	4270.5584
AKAP2	219.2708	AKAP2	3797.8607
AKAP3	18.6012	AKAP3	36.3541
AKAP5	125.9921	AKAP5	27.9647
AKAP6	37.4504	AKAP6	129.3367
AKAP7	55.5556	AKAP7	386.6119
AKAP8L	438.244	AKAP8L	575.3736
AKAP8	596.4782	AKAP8	531.3292
AKAP9	3575.3968	AKAP9	1592.5894
AKD1	253.2242	AKD1	128.9872
AKIRIN1	852.9266	AKIRIN1	1382.8541
AKIRIN2	450.3968	AKIRIN2	1039.9371
AKNA	241.0714	AKNA	960.9368
AKR1A1	987.1032	AKR1A1	1280.0839
AKR1B10	13.1448	removed	removed
removed	removed	AKR1B15	47.1904
AKR1B1	205.1091	AKR1B1	945.5562
AKR1C1	42.6587	AKR1C1	15112.1209
AKR1C2	29.2659	AKR1C2	11776.2824
AKR1C3	128.4722	AKR1C3	6297.2997
removed	removed	AKR1C4	7.3407
removed	removed	AKR1CL1	5.5929
AKR1E2	19.8413	AKR1E2	44.7435
AKR7A2	920.8829	AKR7A2	1320.6327
AKR7A3	172.371	removed	removed
AKR7L	12.1528	AKR7L	5.5929
AKT1S1	618.5516	AKT1S1	1071.0478
AKT1	4936.2599	AKT1	3607.4456
AKT2	2306.5476	AKT2	5795.3334
AKT3	1645.5853	AKT3	1286.7255
AKTIP	789.8884	AKTIP	957.7873
ALAD	1425.3472	ALAD	4998.3396
ALAS1	1015.625	ALAS1	1301.407
removed	removed	ALAS2	87.0401
ALCAM	1239.3353	ALCAM	385.9128
ALDH16A1	247.2718	ALDH16A1	484.8379
ALDH18A1	3155.2579	ALDH18A1	1045.1805
ALDH1A1	59.0278	ALDH1A1	7814.3843
ALDH1A2	7.6885	ALDH1A2	648.7809
ALDH1A3	1014.7892	ALDH1A3	768.1762
ALDH1B1	925.0992	ALDH1B1	691.0775
ALDH1L1	12.1528	ALDH1L1	4791.7504
ALDH1L2	431.2996	ALDH1L2	565.9355
ALDH2	1845.2381	ALDH2	39038.0145
removed	removed	ALDH3A1	12.9337
ALDH3A2	1508.4325	ALDH3A2	5031.5477
ALDH3B1	86.5575	ALDH3B1	353.7534
ALDH3B2	361.6071	ALDH3B2	7.3407
ALDH4A1	308.0357	ALDH4A1	3610.5916
ALDH5A1	852.4306	ALDH5A1	1063.008
ALDH6A1	1373.2515	ALDH6A1	1422.3368
ALDH7A1	1746.2798	ALDH7A1	1605.523
removed	removed	ALDH8A1	6.6416
ALDH9A1	3934.2758	ALDH9A1	6510.5305
ALDOA	103129.2163	ALDOA	16720.0909
removed	removed	ALDOB	46.4913
ALDOC	195.6845	ALDOC	2029.1881
ALG10B	367.8075	ALG10B	255.1778
ALG10	147.8175	ALG10	97.5269
ALG11	37.9464	ALG11	14.3319
ALG12	430.0595	ALG12	391.5057
ALG13	529.5139	ALG13	464.5635
ALG14	161.7063	ALG14	285.2399
ALG1L	16.2946	removed	removed
ALG1	1458.559	ALG1	360.3321
ALG2	1014.1369	ALG2	530.6301
ALG3	774.8016	ALG3	486.9352
ALG5	667.1627	ALG5	647.3827
ALG6	284.7222	ALG6	260.7708
ALG8	1080.3571	ALG8	1002.8839
ALG9	670.3869	ALG9	852.9232
ALKBH1	364.3353	ALKBH1	185.6157
ALKBH2	237.8472	ALKBH2	157.3014
ALKBH3	278.7698	ALKBH3	367.3862
ALKBH4	239.5561	ALKBH4	164.4009
ALKBH5	2990.749	ALKBH5	2106.3497
ALKBH6	97.4702	ALKBH6	65.3675
ALKBH7	280.0099	ALKBH7	346.0631
ALKBH8	207.0933	ALKBH8	241.8946
ALMS1	960.0694	ALMS1	720.79
removed	removed	ALOX12	7.3407
ALOX15B	97.7183	removed	removed
ALOX15	270.5853	removed	removed
ALOX5AP	270.3373	ALOX5AP	418.7713
ALOX5	156.994	ALOX5	175.4785
ALOXE3	39.6825	removed	removed
ALPK1	875.496	ALPK1	517.3468
ALPK2	54.8115	ALPK2	32.509
ALPK3	141.369	ALPK3	3211.3956
ALPL	45.1389	ALPL	464.2139
ALS2CL	222.9663	ALS2CL	318.0984
ALS2CR11	6.9444	ALS2CR11	9.4381
ALS2CR12	11.4087	ALS2CR12	11.885
ALS2CR4	326.1409	ALS2CR4	607.8825
ALS2CR8	160.2183	ALS2CR8	158.0005
ALS2	892.3611	ALS2	669.4049
removed	removed	ALX1	21.6726
ALX3	6.4484	ALX3	20.9735
AMACR	333.8294	AMACR	327.1869
AMBRA1	1090.2778	AMBRA1	679.8916
AMD1	2198.1647	AMD1	962.6846
AMDHD2	493.1523	AMDHD2	158.5109
AMFR	8041.4187	AMFR	2994.3197
AMH	17.8571	removed	removed
AMICA1	5.4563	AMICA1	164.2926
AMIGO1	94.9901	AMIGO1	223.368
AMIGO2	4624.7445	AMIGO2	570.4798
AMIGO3	66.7163	AMIGO3	47.1904
AMMECR1L	751.4881	AMMECR1L	963.3837
AMMECR1	739.3353	AMMECR1	128.9872
AMN1	219.9901	AMN1	119.5491
AMOTL1	1157.7381	AMOTL1	2953.7709
AMOTL2	2114.3353	AMOTL2	8065.717
AMOT	1815.4762	AMOT	1453.1154
AMPD2	423.1151	AMPD2	425.7625
AMPD3	255.9524	AMPD3	233.5052
AMPH	140.625	AMPH	69.5622
AMT	42.691	AMT	138.219
AMY1A	6.2004	removed	removed
AMY2B	45.5332	AMY2B	245.8691
AMZ1	210.5655	removed	removed
AMZ2P1	143.3532	AMZ2P1	264.2664
AMZ2	1572.4206	AMZ2	1882.7231
ANAPC10	134.4246	ANAPC10	137.3766
ANAPC11	818.9484	ANAPC11	781.9628
ANAPC13	1360.5556	ANAPC13	1408.4314
ANAPC16	2048.3631	ANAPC16	2820.589
ANAPC1	724.9504	ANAPC1	845.5825
ANAPC2	508.6806	ANAPC2	561.7408
ANAPC4	539.6825	ANAPC4	529.931
ANAPC5	2656.002	ANAPC5	2378.0477
ANAPC7	1043.6508	ANAPC7	742.8122
ANGEL1	687.748	ANGEL1	453.7272
ANGEL2	1139.3849	ANGEL2	524.6876
ANGPT1	15.377	ANGPT1	2661.8894
ANGPT2	250.744	ANGPT2	399.5456
removed	removed	ANGPT4	124.4429
ANGPTL1	16.369	ANGPTL1	915.8437
ANGPTL2	906.994	ANGPTL2	11749.0169
ANGPTL4	611.6071	ANGPTL4	4008.3894
removed	removed	ANGPTL5	104.8676
removed	removed	ANGPTL7	91.9339
ANG	593.6186	ANG	623.6546
ANK1	9.6726	ANK1	56.6285
ANK2	224.9504	ANK2	2160.6222
ANK3	624.752	ANK3	240.4964
ANKAR	49.1071	ANKAR	48.9382
ANKDD1A	53.0754	ANKDD1A	347.8109
ANKFY1	2069.4444	ANKFY1	2514.7252
ANKHD1-EIF4EBP3	2681.9271	ANKHD1-EIF4EBP3	908.4051
ANKHD1	5072.4231	ANKHD1	1836.7107
ANKH	984.623	ANKH	1762.8244
ANKIB1	2416.1706	ANKIB1	2091.4096
ANKK1	10.6647	removed	removed
ANKLE2	1746.2798	ANKLE2	1584.1999
ANKMY1	454.6131	ANKMY1	182.4696
ANKMY2	515.625	ANKMY2	590.7542
ANKRA2	622.2718	ANKRA2	295.0275
ANKRD10	1690.2331	ANKRD10	933.3182
ANKRD11	2314.5809	ANKRD11	2373.4615
ANKRD12	1894.3452	ANKRD12	1509.7439
ANKRD13A	1177.3313	ANKRD13A	959.8881
ANKRD13B	47.123	ANKRD13B	129.3367
ANKRD13C	501.4881	ANKRD13C	661.0155
ANKRD13D	348.9583	ANKRD13D	301.3196
ANKRD16	139.881	ANKRD16	95.2582
ANKRD17	3254.2163	ANKRD17	2660.4911
ANKRD19	36.2103	ANKRD19	33.2081
removed	removed	ANKRD20A3	8.3894
removed	removed	ANKRD20B	8.3894
ANKRD22	36.7063	removed	removed
ANKRD23	28.2738	ANKRD23	16.4293
ANKRD24	19.3452	ANKRD24	17.4779
ANKRD26	402.0337	ANKRD26	218.8237
ANKRD27	1641.6171	ANKRD27	931.2243
ANKRD28	2675.8433	ANKRD28	1106.7028
removed	removed	ANKRD29	397.0987
ANKRD30A	1020.8333	ANKRD30A	20.624
ANKRD31	16.6171	removed	removed
ANKRD32	534.9702	ANKRD32	114.6552
ANKRD34A	9.4246	ANKRD34A	15.031
removed	removed	ANKRD34C	5.9425
ANKRD35	11.1607	ANKRD35	193.6555
ANKRD36BP1	215.7738	ANKRD36BP1	106.2658
ANKRD36B	32.4901	ANKRD36B	19.9248
ANKRD36	170.1389	ANKRD36	145.0669
ANKRD37	198.7054	ANKRD37	32.7851
ANKRD39	120.2877	ANKRD39	99.9738
ANKRD40	1357.3909	ANKRD40	6206.4144
ANKRD42	931.2996	ANKRD42	168.4873
ANKRD43	103.9187	ANKRD43	45.7922
ANKRD44	88.5417	ANKRD44	139.4739
removed	removed	ANKRD45	10.4868
ANKRD46	426.999	ANKRD46	1006.1802
ANKRD49	282.7381	ANKRD49	219.5229
ANKRD50	1964.2857	ANKRD50	1023.8574
ANKRD52	2524.3056	ANKRD52	1029.4503
ANKRD53	5.4563	ANKRD53	242.9433
ANKRD54	376.4881	ANKRD54	225.8149
ANKRD56	262.8968	removed	removed
ANKRD57	517.6091	ANKRD57	339.771
ANKRD58	8.4325	ANKRD58	6.2921
ANKRD5	740.0794	ANKRD5	224.7662
ANKRD6	224.0352	ANKRD6	287.9595
removed	removed	ANKRD7	5.5929
ANKRD9	65.2282	ANKRD9	58.7259
ANKS1A	1138.3929	ANKS1A	1391.2436
ANKS1B	278.2738	ANKS1B	37.0532
ANKS3	400.7937	ANKS3	125.4916
