gene_id	TCGA-BH-A1FU-01A-11R-A14D-07	gene_id	TCGA-BH-A1FU-11A-23R-A14D-07
AGMAT	42.8757	AGMAT	9.9633
AGPAT1	1817.4881	AGPAT1	1583.8123
AGPAT2	1400.6063	AGPAT2	2155.2176
AGPAT3	2161.5418	AGPAT3	1812.795
AGPAT4	327.8476	AGPAT4	327.2155
AGPAT5	590.2988	AGPAT5	746.1982
AGPAT6	1007.3625	AGPAT6	1942.3178
AGPAT9	66.2625	AGPAT9	174.0954
AGPHD1	53.2698	AGPHD1	68.6943
AGPS	649.1988	AGPS	982.1709
AGR2	1270.2469	AGR2	4045.6214
AGR3	36.3794	AGR3	517.5669
AGRN	10371.1563	AGRN	4986.8904
AGTPBP1	378.0858	AGTPBP1	383.849
AGTR1	61.4985	AGTR1	227.5826
AGTR2	21.2213	AGTR2	13.1096
AGTRAP	535.2967	AGTRAP	483.4819
AGT	464.7033	AGT	145.2543
AGXT2L2	198.0944	AGXT2L2	494.2213
AHCTF1	2140.7536	AHCTF1	1655.4798
AHCYL1	3460.3725	AHCYL1	3701.6256
AHCYL2	466.4357	AHCYL2	596.7488
AHCY	3789.0862	AHCY	2352.3859
AHDC1	1153.7462	AHDC1	1494.494
AHI1	346.0372	AHI1	582.5905
AHNAK2	1352.1005	AHNAK2	1429.4704
AHNAK	46696.8385	AHNAK	113603.5658
AHRR	15.1581	AHRR	52.4384
AHR	2477.2629	AHR	3675.9308
AHSA1	2559.5496	AHSA1	1360.2517
AHSA2	148.1161	AHSA2	975.8783
AIDA	1121.3729	AIDA	889.979
AIF1L	1977.0463	AIF1L	1528.0545
AIF1	323.9498	AIF1	243.3141
AIFM1	946.7302	AIFM1	602.517
AIFM2	331.3123	AIFM2	776.6125
removed	removed	AIFM3	11.0121
AIG1	618.8826	AIG1	682.7478
AIM1L	32.4816	removed	removed
AIM1	2025.5522	AIM1	3111.1694
AIM2	41.1434	AIM2	8.3901
AIMP1	962.2087	AIMP1	882.4803
AIMP2	455.1321	AIMP2	245.5218
AIP	673.4517	AIP	773.9906
AJAP1	36.8125	AJAP1	24.646
AK1	481.5938	AK1	417.4095
AK2	2067.5617	AK2	1850.0262
AK3L1	928.5405	AK3L1	524.9082
AK3	896.492	AK3	1465.1285
AK5	178.4322	AK5	1329.3131
AK7	34.647	AK7	39.8532
AKAP10	372.0225	AKAP10	658.1017
AKAP11	1791.6847	AKAP11	2804.4048
AKAP12	1786.0546	AKAP12	2292.6062
AKAP13	4780.8575	AKAP13	4748.8201
AKAP1	2015.1581	AKAP1	2723.6497
AKAP2	1347.1893	AKAP2	1724.2685
AKAP3	16.4573	AKAP3	29.3655
AKAP5	106.5396	AKAP5	95.4379
AKAP6	279.7748	AKAP6	312.0084
AKAP7	97.4448	AKAP7	209.7535
AKAP8L	476.3967	AKAP8L	693.2354
AKAP8	483.7592	AKAP8	820.1363
