gene_id	TCGA-BH-A0BC-01A-22R-A084-07	gene_id	TCGA-BH-A0BC-11A-22R-A089-07
ANAPC2	805.8599	ANAPC2	569.9954
ANAPC4	367.4528	ANAPC4	551.2996
ANAPC5	3065.5286	ANAPC5	2762.8819
ANAPC7	1040.4621	ANAPC7	797.9936
ANGEL1	413.9505	ANGEL1	615.1391
ANGEL2	650.3643	ANGEL2	539.8997
ANGPT1	60.6886	ANGPT1	345.1892
ANGPT2	382.5495	ANGPT2	237.1181
removed	removed	ANGPT4	5.928
ANGPTL1	67.3311	ANGPTL1	736.4341
ANGPTL2	1999.4022	ANGPTL2	4756.4979
ANGPTL4	400.9674	ANGPTL4	1320.1094
removed	removed	ANGPTL5	14.1359
removed	removed	ANGPTL7	267.2139
ANG	340.1822	ANG	342.0429
ANK1	22.3431	ANK1	16.8719
ANK2	233.0925	ANK2	1623.347
ANK3	1331.2238	ANK3	1425.9006
ANKAR	18.7199	ANKAR	45.5996
ANKDD1A	56.7635	ANKDD1A	251.254
ANKFY1	1227.9626	ANKFY1	2019.1518
ANKHD1-EIF4EBP3	614.6426	ANKHD1-EIF4EBP3	681.067
ANKHD1	2473.7816	ANKHD1	2957.2093
ANKH	1348.736	ANKH	1860.0091
ANKIB1	1355.3785	ANKIB1	1111.7191
removed	removed	ANKK1	39.2157
removed	removed	ANKLE1	10.4879
ANKLE2	1190.5229	ANKLE2	1580.9394
ANKMY1	173.6116	ANKMY1	230.7342
ANKMY2	441.7284	ANKMY2	666.6667
ANKRA2	217.392	ANKRA2	285.4537
ANKRD10	897.1555	ANKRD10	1286.3657
ANKRD11	1133.0801	ANKRD11	2335.1801
ANKRD12	894.6283	ANKRD12	1296.8536
ANKRD13A	900.365	ANKRD13A	1589.1473
ANKRD13B	79.4085	ANKRD13B	151.8468
ANKRD13C	697.1639	ANKRD13C	506.156
ANKRD13D	405.4964	ANKRD13D	344.2772
ANKRD16	183.814	ANKRD16	168.7187
ANKRD17	2137.6876	ANKRD17	2772.9138
ANKRD19	60.3867	ANKRD19	70.2234
removed	removed	ANKRD1	13.2239
removed	removed	ANKRD20A3	9.1199
removed	removed	ANKRD20B	6.3839
ANKRD22	739.4346	ANKRD22	40.1277
ANKRD23	17.8141	ANKRD23	23.7118
ANKRD24	18.116	ANKRD24	18.2399
ANKRD26	175.4232	ANKRD26	175.5586
ANKRD27	396.4384	ANKRD27	790.6977
ANKRD28	1258.7598	ANKRD28	1508.8919
ANKRD29	36.5339	ANKRD29	265.8459
ANKRD2	6.6425	removed	removed
ANKRD30A	2404.8986	ANKRD30A	211.1263
ANKRD30B	353.8658	ANKRD30B	19.6078
ANKRD32	127.4158	ANKRD32	59.7355
ANKRD34A	9.3599	ANKRD34A	17.3279
ANKRD35	53.1403	ANKRD35	253.078
ANKRD36BP1	57.9712	ANKRD36BP1	120.383
ANKRD36B	31.703	ANKRD36B	45.5996
ANKRD36	125.0004	ANKRD36	210.6703
ANKRD37	44.5442	ANKRD37	194.8472
ANKRD39	232.7906	ANKRD39	89.3753
ANKRD40	1971.3224	ANKRD40	1920.6566
ANKRD42	1041.0659	ANKRD42	207.0223
ANKRD43	58.5751	ANKRD43	50.6156
ANKRD44	90.58	ANKRD44	67.4875
ANKRD45	10.8696	ANKRD45	14.5919
ANKRD46	312.7697	ANKRD46	375.285
ANKRD49	139.7951	ANKRD49	284.5417
ANKRD50	1235.511	ANKRD50	902.4168
ANKRD52	854.7731	ANKRD52	1233.4701
