gene_id	TCGA-AC-A2FM-01A-11R-A19W-07	gene_id	TCGA-AC-A2FM-11B-32R-A19W-07
ADORA2A	534.9816	ADORA2A	130.0979
ADORA2B	50.4511	ADORA2B	138.2545
ADORA3	55.1286	ADORA3	175.7749
ADO	875.71	ADO	745.5139
ADPGK	1071.293	ADPGK	813.2137
ADPRHL1	702.6395	ADPRHL1	69.3312
ADPRHL2	476.7792	ADPRHL2	1159.8695
ADPRH	128.2994	ADPRH	354.4046
removed	removed	ADRA1A	11.4192
ADRA1B	23.3879	ADRA1B	27.7325
ADRA1D	20.0468	removed	removed
ADRA2A	248.2459	ADRA2A	582.3817
ADRA2B	27.0631	ADRA2B	348.2871
ADRA2C	707.9853	ADRA2C	106.8515
removed	removed	ADRB1	46.0848
ADRB2	30.4043	ADRB2	148.8581
removed	removed	ADRB3	9.7879
ADRBK1	5967.2569	ADRBK1	2719.4127
ADRBK2	225.8603	ADRBK2	604.8124
ADRM1	1726.0274	ADRM1	2826.6721
ADSL	509.5222	ADSL	1053.4258
ADSSL1	114.2666	ADSSL1	276.1011
ADSS	1412.2954	ADSS	1095.8401
AEBP1	5125.9606	AEBP1	7792.4144
AEBP2	588.707	AEBP2	495.9217
AEN	429.3351	AEN	763.4584
AES	4352.8233	AES	14863.7847
AFAP1L1	245.9071	AFAP1L1	199.429
AFAP1L2	251.2529	AFAP1L2	1313.2137
AFAP1	1417.297	AFAP1	594.6166
AFF1	1552.9569	AFF1	893.5563
AFF2	6.6823	AFF2	24.062
AFF3	7013.0304	AFF3	1202.6917
AFF4	3334.1129	AFF4	1160.6852
AFG3L1	290.01	AFG3L1	245.106
AFG3L2	869.7862	AFG3L2	1066.7822
AFMID	531.9078	AFMID	848.6949
removed	removed	AFP	38.7439
AFTPH	1443.702	AFTPH	969.0049
AG2	320.4143	AG2	1340.1305
AGAP11	141.0825	AGAP11	73.8173
AGAP1	341.4634	AGAP1	311.5824
AGAP2	183.575	AGAP2	110.7015
AGAP3	2130.9723	AGAP3	2700.2447
AGAP4	177.0799	AGAP4	176.1827
AGAP5	69.873	AGAP5	21.2847
AGAP6	106.2479	AGAP6	91.7618
AGAP7	41.7641	AGAP7	43.23
AGAP8	38.423	AGAP8	29.7716
AGA	583.3612	AGA	608.4829
AGBL2	90.2105	AGBL2	9.7879
AGBL3	6.014	removed	removed
removed	removed	AGBL4	14.6819
AGBL5	568.002	AGBL5	1010.6321
AGER	61.4768	AGER	94.6166
AGFG1	957.2335	AGFG1	998.3687
AGFG2	579.0177	AGFG2	741.4356
AGGF1	1183.0939	AGGF1	501.2235
AGK	512.5292	AGK	417.6183
AGL	711.6605	AGL	533.0343
AGMAT	7.3505	AGMAT	16.3132
AGPAT1	1943.9592	AGPAT1	2258.7357
AGPAT2	1535.2489	AGPAT2	4508.9723
AGPAT3	3572.3354	AGPAT3	1804.2414
AGPAT4	47.1099	AGPAT4	185.5628
AGPAT5	1506.8493	AGPAT5	546.4927
AGPAT6	5647.845	AGPAT6	2417.6183
AGPAT9	28.0655	AGPAT9	102.3654
AGPHD1	25.0585	AGPHD1	54.6493
AGPS	142.6662	AGPS	471.044
AGR2	86309.7227	AGR2	7591.7618
AGR3	4260.9422	AGR3	975.938
AGRN	3187.7715	AGRN	7884.9918
AGTPBP1	273.6385	AGTPBP1	199.8369
AGTR1	4993.986	AGTR1	140.2936
AGTRAP	868.6936	AGTRAP	2218.1892
AGT	26.729	AGT	211.2561
AGXT2L2	383.1106	AGXT2L2	677.7692
AHCTF1	1300.3675	AHCTF1	559.5432
AHCYL1	2618.1089	AHCYL1	2825.0408
AHCYL2	1228.1991	AHCYL2	320.1468
AHCY	4663.2142	AHCY	3927.814
AHDC1	532.576	AHDC1	1272.8385
AHI1	309.7227	AHI1	203.5073
AHNAK2	272.302	AHNAK2	587.6835
AHNAK	29320.7484	AHNAK	27114.1925
AHRR	103.575	AHRR	11.8271
AHR	940.862	AHR	1419.2496
AHSA1	2837.287	AHSA1	2047.3083
AHSA2	331.44	AHSA2	405.7912
AIDA	1016.3916	AIDA	1011.8271
AIF1L	389.5757	AIF1L	1105.2202
AIF1	128.9676	AIF1	729.6085
AIFM1	1140.3274	AIFM1	858.8907
AIFM2	218.844	AIFM2	1087.6835
AIFM3	45.4394	AIFM3	34.7227
AIG1	503.8423	AIG1	1042.0065
AIM1	1039.7594	AIM1	2854.8124
AIMP1	1399.0378	AIMP1	1060.2569
AIMP2	440.6883	AIMP2	527.8752
AIP	2731.0391	AIP	1858.075
AJAP1	11.3598	AJAP1	31.8108
AK1	633.4781	AK1	1217.7814
AK2	979.285	AK2	2495.5139
AK3L1	36.4183	AK3L1	251.2235
AK3	1413.9659	AK3	1414.7635
AK5	27.7314	AK5	2977.5693
AK7	49.7828	AK7	31.4029
AKAP10	583.0271	AKAP10	214.9266
AKAP11	1459.7394	AKAP11	557.5041
AKAP12	398.9308	AKAP12	1081.9739
AKAP13	1652.1884	AKAP13	1489.3964
AKAP1	2122.6194	AKAP1	1793.23
AKAP2	319.1848	AKAP2	271.925
AKAP3	54.7945	AKAP3	46.0848
AKAP5	201.8042	AKAP5	38.3361
AKAP6	22.0515	AKAP6	74.2251
AKAP7	41.7641	AKAP7	156.6069
AKAP8L	2264.9516	AKAP8L	1079.5269
AKAP8	1576.0107	AKAP8	682.3002
AKAP9	2296.3582	AKAP9	1035.0734
AKD1	123.6218	AKD1	84.8287
AKIRIN1	616.7725	AKIRIN1	1517.9445
AKIRIN2	497.16	AKIRIN2	837.6835
AKNA	415.6365	AKNA	767.9445
AKR1A1	1592.3822	AKR1A1	3231.2398
removed	removed	AKR1B15	11.4192
AKR1B1	300.3675	AKR1B1	1477.1615
AKR1C1	126.9629	AKR1C1	1875.6117
AKR1C2	88.5399	AKR1C2	2152.1207
AKR1C3	177.0799	AKR1C3	1495.9217
AKR1E2	22.0515	AKR1E2	39.9674
AKR7A2	1088.5399	AKR7A2	2196.9821
AKR7A3	1775.8102	AKR7A3	386.6232
AKR7L	122.9536	AKR7L	28.5481
AKT1S1	1217.1734	AKT1S1	1604.4046
AKT1	8523.8891	AKT1	4579.1191
AKT2	4193.4514	AKT2	3288.3361
AKT3	278.9843	AKT3	468.5971
AKTIP	414.9582	AKTIP	657.5775
ALAD	1092.5493	ALAD	1889.8858
ALAS1	1074.1731	ALAS1	1163.1321
ALB	17.0398	ALB	103.1811
ALCAM	3920.4811	ALCAM	1711.2561
ALDH16A1	730.0368	ALDH16A1	1329.1191
ALDH18A1	1866.0207	ALDH18A1	1301.7945
ALDH1A1	298.3628	ALDH1A1	2226.3458
ALDH1A2	25.0585	ALDH1A2	163.1321
ALDH1A3	164.427	ALDH1A3	1676.9657
ALDH1B1	357.5008	ALDH1B1	574.633
ALDH1L1	65.152	ALDH1L1	683.9315
ALDH1L2	85.867	ALDH1L2	73.8173
ALDH2	779.4855	ALDH2	6664.3556
removed	removed	ALDH3A1	112.5612
ALDH3A2	1403.2743	ALDH3A2	1963.2953
ALDH3B1	162.0448	ALDH3B1	341.7618
ALDH3B2	10595.7234	ALDH3B2	3179.4454
ALDH4A1	1155.0284	ALDH4A1	1969.8206
ALDH5A1	508.854	ALDH5A1	280.9951
ALDH6A1	680.1537	ALDH6A1	177.9323
ALDH7A1	860.6749	ALDH7A1	2498.7765
ALDH8A1	26.3949	ALDH8A1	15.4976
ALDH9A1	2040.4277	ALDH9A1	2882.5449
ALDOA	20905.7802	ALDOA	27200.6525
ALDOC	50.4511	ALDOC	1561.9902
ALG10B	704.3101	ALG10B	148.0424
ALG10	124.6241	ALG10	55.4649
ALG11	55.4627	ALG11	7.7488
ALG12	592.3822	ALG12	782.6264
ALG13	927.4975	ALG13	432.708
ALG14	98.8974	ALG14	231.6476
ALG1L	5.7467	ALG1L	29.3556
