gene_id	TCGA-E9-A1NA-01A-11R-A144-07	gene_id	TCGA-E9-A1NA-11A-33R-A144-07
AK5	217.9963	AK5	1835.2354
AK7	7.4212	AK7	36.0602
AKAP10	574.2115	AKAP10	513.2828
AKAP11	632.3438	AKAP11	1903.1361
AKAP12	404.4527	AKAP12	6759.7583
AKAP13	2996.2894	AKAP13	4564.3042
AKAP1	3748.2993	AKAP1	2652.3449
AKAP2	256.4997	AKAP2	2971.0099
AKAP3	13.6054	AKAP3	34.1421
AKAP5	87.8169	AKAP5	49.1033
AKAP6	32.4675	AKAP6	215.5941
AKAP7	96.475	AKAP7	181.8356
AKAP8L	1209.6475	AKAP8L	657.1401
AKAP8	1234.3847	AKAP8	614.5584
AKAP9	2455.1639	AKAP9	2216.5532
AKD1	24.428	AKD1	98.9738
AKIRIN1	1005.5659	AKIRIN1	1310.0604
AKIRIN2	438.1571	AKIRIN2	697.8038
AKNAD1	8.9672	removed	removed
AKNA	490.7236	AKNA	1264.0261
AKR1A1	2228.2004	AKR1A1	1621.1758
removed	removed	AKR1B15	17.2629
AKR1B1	1363.6364	AKR1B1	995.1089
AKR1C1	51.9481	AKR1C1	3909.0822
AKR1C2	8.9672	AKR1C2	3308.7178
AKR1C3	76.0668	AKR1C3	3134.9381
AKR1E2	30.303	AKR1E2	46.0343
AKR7A2	1111.3173	AKR7A2	992.4235
AKR7A3	284.1682	AKR7A3	21.4827
AKR7L	12.3686	AKR7L	5.3707
AKT1S1	696.3513	AKT1S1	897.2859
AKT1	3048.5467	AKT1	3749.1129
AKT2	2605.133	AKT2	3341.709
AKT3	349.7217	AKT3	1173.4919
AKTIP	923.3921	AKTIP	625.0273
ALAD	534.9412	ALAD	2774.3359
ALAS1	792.2078	ALAS1	1179.2462
removed	removed	ALAS2	14.9612
removed	removed	ALB	88.9997
ALCAM	3176.2523	ALCAM	1542.5338
ALDH16A1	483.9208	ALDH16A1	810.9715
ALDH18A1	2761.2863	ALDH18A1	1275.9183
ALDH1A1	747.0625	ALDH1A1	4080.9437
ALDH1A2	20.0989	ALDH1A2	268.5336
ALDH1A3	1091.4997	ALDH1A3	3207.2466
ALDH1B1	1023.5003	ALDH1B1	630.2868
removed	removed	ALDH1L1	1314.6639
ALDH1L2	669.4496	ALDH1L2	420.0633
ALDH2	1853.4323	ALDH2	14074.614
removed	removed	ALDH3A1	44.1162
ALDH3A2	1868.2746	ALDH3A2	3470.9888
ALDH3B1	302.1027	ALDH3B1	300.374
ALDH3B2	631.7254	ALDH3B2	828.618
ALDH4A1	494.1249	ALDH4A1	2032.0322
ALDH5A1	526.5925	ALDH5A1	550.8775
ALDH6A1	298.3766	ALDH6A1	516.3441
ALDH7A1	1052.5665	ALDH7A1	1377.5774
removed	removed	ALDH8A1	8.8232
ALDH9A1	1731.9109	ALDH9A1	3533.1351
ALDOA	20472.1707	ALDOA	14259.9022
removed	removed	ALDOB	5.7543
ALDOC	74.5207	ALDOC	1701.3523
ALG10B	152.1336	ALG10B	224.801
ALG10	121.8306	ALG10	93.9868
ALG11	13.6054	ALG11	14.5775
ALG12	509.5857	ALG12	550.8775
ALG13	501.2369	ALG13	377.8652
ALG14	158.9363	ALG14	196.4132
ALG1L	177.1398	removed	removed
ALG1	630.1824	ALG1	453.63
ALG2	915.5844	ALG2	764.1699
ALG3	1556.5863	ALG3	624.5325
ALG5	403.2158	ALG5	537.0672
ALG6	308.9054	ALG6	181.8356
ALG8	880.0247	ALG8	708.5451
ALG9	365.1824	ALG9	645.6315
ALKBH1	241.8058	ALKBH1	177.2322
ALKBH2	679.9629	ALKBH2	234.0079
ALKBH3	74.5207	ALKBH3	305.7447
ALKBH4	314.4001	ALKBH4	208.0944
ALKBH5	1464.9134	ALKBH5	2295.4982
ALKBH6	60.2968	ALKBH6	74.8058
ALKBH7	1029.6846	ALKBH7	383.6194
ALKBH8	172.2325	ALKBH8	237.8441
ALK	61.8429	ALK	19.181
ALMS1	898.8868	ALMS1	705.0925
ALOX12P2	34.632	ALOX12P2	20.3318
ALOX15B	120.9029	ALOX15B	19.9482
ALOX15	92.7644	removed	removed
ALOX5AP	705.0093	ALOX5AP	419.2961
ALOX5	1332.0965	ALOX5	1112.1128
ALOXE3	44.8361	removed	removed
ALPK1	596.7842	ALPK1	786.8035
ALPK2	190.7854	ALPK2	6.9052
