gene_id	TCGA-BH-A1FR-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FR-11B-42R-A13Q-07
AMPH	20.558	AMPH	123.2946
AMT	76.1772	AMT	302.0111
removed	removed	AMY1A	13.6433
AMY2B	134.4542	AMY2B	510.7782
removed	removed	AMZ1	7.5796
AMZ2P1	163.4851	AMZ2P1	218.2921
AMZ2	1387.1757	AMZ2	1007.0743
ANAPC10	109.1532	ANAPC10	151.5917
ANAPC11	1044.0529	ANAPC11	602.3244
ANAPC13	1325.1884	ANAPC13	1244.7802
ANAPC16	2546.2555	ANAPC16	2510.3588
ANAPC1	528.1449	ANAPC1	819.6059
ANAPC2	707.7827	ANAPC2	565.9424
ANAPC4	328.928	ANAPC4	658.4133
ANAPC5	2328.4386	ANAPC5	2280.95
ANAPC7	1056.7792	ANAPC7	949.4694
ANGEL1	525.208	ANGEL1	664.477
ANGEL2	795.3989	ANGEL2	710.9651
ANGPT1	43.5634	ANGPT1	352.1981
ANGPT2	223.6907	ANGPT2	542.193
removed	removed	ANGPT4	21.2228
ANGPTL1	24.4738	ANGPTL1	494.6943
ANGPTL2	373.4704	ANGPTL2	3129.3583
ANGPTL4	75.3793	ANGPTL4	705.9121
removed	removed	ANGPTL5	18.191
ANGPTL6	7.8365	removed	removed
removed	removed	ANGPTL7	116.7256
ANG	519.114	ANG	345.6695
ANK1	341.6544	ANK1	38.4032
ANK2	130.2007	ANK2	800.4042
ANK3	580.5188	ANK3	896.4123
ANKAR	32.7949	ANKAR	34.8661
ANKDD1A	23.4949	ANKDD1A	127.337
ANKFY1	1979.9315	ANKFY1	2248.1051
ANKHD1-EIF4EBP3	1448.5414	ANKHD1-EIF4EBP3	900.2021
ANKHD1	1915.5996	ANKHD1	2068.1607
ANKH	3761.1356	ANKH	2247.0945
ANKIB1	1688.2036	ANKIB1	1459.3229
ANKK1	24.9633	ANKK1	41.4351
ANKLE1	12.2369	ANKLE1	11.622
ANKLE2	1665.1982	ANKLE2	1330.4699
ANKMY1	317.1806	ANKMY1	195.5533
ANKMY2	307.8806	ANKMY2	785.2451
ANKRA2	350.9545	ANKRA2	357.2511
ANKRD10	1071.444	ANKRD10	1585.8767
ANKRD11	2040.4356	ANKRD11	1900.8135
ANKRD12	1554.5766	ANKRD12	1682.1627
ANKRD13A	1021.537	ANKRD13A	1411.8242
ANKRD13B	259.4224	ANKRD13B	110.662
ANKRD13C	674.9878	ANKRD13C	657.908
ANKRD13D	820.3622	ANKRD13D	509.8535
ANKRD16	129.2217	ANKRD16	155.6342
ANKRD17	2614.7822	ANKRD17	2508.8428
ANKRD19	30.3475	ANKRD19	61.6473
removed	removed	ANKRD20A3	12.6326
ANKRD20B	5.8737	ANKRD20B	5.0531
ANKRD22	89.5742	ANKRD22	54.573
ANKRD23	42.5844	ANKRD23	34.8661
ANKRD24	102.79	ANKRD24	23.7494
ANKRD26	584.4347	ANKRD26	355.7352
ANKRD27	551.1503	ANKRD27	807.4785
ANKRD28	808.1253	ANKRD28	1331.9859
ANKRD29	190.4063	ANKRD29	352.1981
ANKRD30A	1507.0974	ANKRD30A	454.2698
ANKRD30B	106.7058	ANKRD30B	41.9404
ANKRD32	222.7117	ANKRD32	152.097
ANKRD34A	14.1948	ANKRD34A	15.1592
ANKRD35	37.2002	ANKRD35	174.3305
ANKRD36BP1	71.4635	ANKRD36BP1	181.4047
ANKRD36B	6.8527	ANKRD36B	19.2016
ANKRD36	98.3847	ANKRD36	252.1475
ANKRD37	198.8987	ANKRD37	174.5225
ANKRD39	209.0064	ANKRD39	87.4179
ANKRD40	1358.2966	ANKRD40	1689.237
ANKRD42	794.9094	ANKRD42	324.4063
