gene_id	TCGA-E9-A1N4-01A-11R-A14M-07	gene_id	TCGA-E9-A1N4-11A-33R-A14M-07
ANKLE1	11.7934	ANKLE1	12.772
ANKLE2	1783.8077	ANKLE2	1624.7123
ANKMY1	120.8943	ANKMY1	285.4385
ANKMY2	576.5918	ANKMY2	814.4353
ANKRA2	350.8402	ANKRA2	463.6519
ANKRD10	2109.5907	ANKRD10	1795.9575
ANKRD11	1622.1424	ANKRD11	2620.4945
ANKRD12	1756.6682	ANKRD12	2698.4481
ANKRD13A	1598.5187	ANKRD13A	2238.3604
ANKRD13B	104.8573	ANKRD13B	98.0174
ANKRD13C	740.4159	ANKRD13C	768.3968
ANKRD13D	433.7391	ANKRD13D	418.8015
ANKRD16	204.3804	ANKRD16	212.965
ANKRD17	4100.5372	ANKRD17	4542.6598
ANKRD19	52.0586	ANKRD19	32.9695
removed	removed	ANKRD1	5.0494
ANKRD20A3	7.155	ANKRD20A3	36.5337
removed	removed	ANKRD20A4	8.6136
ANKRD20B	18.751	ANKRD20B	16.9303
ANKRD22	49.8381	ANKRD22	51.9789
ANKRD23	28.6199	ANKRD23	85.2454
ANKRD24	26.8928	ANKRD24	40.6921
ANKRD26	547.2317	ANKRD26	542.9569
ANKRD27	631.8577	ANKRD27	794.8318
ANKRD28	2191.1475	ANKRD28	2058.0679
ANKRD29	48.111	ANKRD29	219.2025
ANKRD2	5.4279	removed	removed
ANKRD30A	246.7231	ANKRD30A	787.7033
ANKRD30B	170.2389	ANKRD30B	90.5918
removed	removed	ANKRD31	7.1285
ANKRD32	242.282	ANKRD32	253.6571
ANKRD34A	23.4387	ANKRD34A	21.9797
ANKRD35	19.2444	ANKRD35	160.6891
ANKRD36BP1	120.6476	ANKRD36BP1	271.1814
ANKRD36B	48.8512	ANKRD36B	101.2846
ANKRD36	122.1279	ANKRD36	521.8683
ANKRD37	113.1003	ANKRD37	171.4591
ANKRD39	94.0015	ANKRD39	83.4633
ANKRD40	1477.6244	ANKRD40	1336.6006
ANKRD42	359.9689	ANKRD42	339.7936
ANKRD43	360.4624	ANKRD43	179.4015
ANKRD44	127.3091	ANKRD44	98.0174
ANKRD45	8.3886	ANKRD45	13.069
ANKRD46	467.9251	ANKRD46	538.5728
ANKRD49	348.373	ANKRD49	482.3643
ANKRD50	1699.9219	ANKRD50	1470.5577
ANKRD52	1770.7314	ANKRD52	1393.0348
removed	removed	ANKRD53	10.6928
ANKRD54	317.7793	ANKRD54	325.5365
ANKRD56	62.6677	ANKRD56	125.9375
ANKRD57	467.2935	ANKRD57	1040.7663
ANKRD58	17.0239	ANKRD58	7.1285
ANKRD5	303.9628	ANKRD5	253.063
ANKRD6	193.6455	ANKRD6	358.3456
ANKRD9	71.7964	ANKRD9	65.6419
ANKS1A	793.7081	ANKS1A	1379.9658
ANKS1B	27.8797	ANKS1B	106.6578
