gene_id	TCGA-BH-A0DH-01A-11R-A084-07	gene_id	TCGA-BH-A0DH-11A-31R-A089-07
removed	removed	ANGPT4	7.5567
ANGPTL1	44.0346	ANGPTL1	358.9421
ANGPTL2	942.4163	ANGPTL2	6992.4433
ANGPTL4	129.4693	ANGPTL4	1315.7011
removed	removed	ANGPTL7	567.5903
ANG	582.3598	ANG	808.8749
ANK1	379.7516	ANK1	10.0756
ANK2	88.0693	ANK2	644.4165
ANK3	745.2014	ANK3	772.0403
ANKAR	21.8291	ANKAR	24.3493
ANKDD1A	22.9582	ANKDD1A	123.4257
ANKFY1	2153.1803	ANKFY1	1843.8287
ANKHD1-EIF4EBP3	667.1584	ANKHD1-EIF4EBP3	734.9076
ANKHD1	2599.3414	ANKHD1	1997.5189
ANKH	961.6108	ANKH	2054.1562
ANKIB1	1440.3463	ANKIB1	575.5668
ANKK1	6.3982	ANKK1	39.0428
removed	removed	ANKLE1	11.335
ANKLE2	1181.4076	ANKLE2	1547.4391
ANKMY1	105.0056	ANKMY1	143.9966
ANKMY2	290.5533	ANKMY2	725.4408
ANKRA2	244.6368	ANKRA2	214.1058
ANKRD10	720.7377	ANKRD10	1387.2334
ANKRD11	901.8141	ANKRD11	2296.7296
ANKRD12	565.6756	ANKRD12	599.4962
ANKRD13A	706.8122	ANKRD13A	1122.1662
ANKRD13B	46.6692	ANKRD13B	128.8833
ANKRD13C	634.1739	ANKRD13C	379.9328
ANKRD13D	437.3353	ANKRD13D	505.8774
ANKRD16	174.633	ANKRD16	181.2804
ANKRD17	2565.6756	ANKRD17	1191.4358
ANKRD19	53.4437	ANKRD19	78.5055
removed	removed	ANKRD1	16.7926
ANKRD20A3	8.6564	ANKRD20A3	7.5567
ANKRD20B	7.9037	ANKRD20B	7.1369
ANKRD22	312.7588	ANKRD22	47.0193
ANKRD23	22.2055	ANKRD23	20.9908
ANKRD24	67.3692	ANKRD24	60.4534
ANKRD26	264.2078	ANKRD26	128.8833
ANKRD27	280.7678	ANKRD27	839.6306
ANKRD28	1378.9989	ANKRD28	774.5592
ANKRD29	45.1637	ANKRD29	252.309
ANKRD2	7.1509	ANKRD2	5.0378
ANKRD30A	30.1091	ANKRD30A	76.8262
removed	removed	ANKRD30B	23.9295
ANKRD32	219.7968	ANKRD32	61.7128
ANKRD34A	232.5932	ANKRD34A	36.5239
