gene_id	TCGA-BH-A18U-01A-21R-A12D-07	gene_id	TCGA-BH-A18U-11A-23R-A12D-07
ALB	29.1945	ALB	1168.3962
ALCAM	7538.1639	ALCAM	2883.9623
ALDH16A1	345.058	ALDH16A1	333.0189
ALDH18A1	2469.2227	ALDH18A1	1549.0566
ALDH1A1	288.4277	ALDH1A1	2770.7547
ALDH1A2	13.0144	ALDH1A2	187.2642
ALDH1A3	116.7147	ALDH1A3	3821.9104
ALDH1B1	1304.6078	ALDH1B1	725.4717
removed	removed	ALDH1L1	305.1887
ALDH1L2	288.7795	ALDH1L2	267.4528
ALDH2	1011.6075	ALDH2	3663.6792
removed	removed	ALDH3A1	58.4906
ALDH3A2	2443.5456	ALDH3A2	2204.2453
ALDH3B1	130.1442	ALDH3B1	192.9245
ALDH3B2	7075.2726	ALDH3B2	975.9434
ALDH4A1	743.229	ALDH4A1	796.2264
ALDH5A1	864.2279	ALDH5A1	618.3962
ALDH6A1	249.402	ALDH6A1	458.0377
ALDH7A1	1284.5586	ALDH7A1	2480.1887
ALDH8A1	25.3254	ALDH8A1	24.5283
ALDH9A1	3521.6321	ALDH9A1	3197.1698
ALDOA	80493.8445	ALDOA	13632.0755
removed	removed	ALDOB	5.1887
ALDOC	2309.5322	ALDOC	1087.2642
ALG10B	598.3116	ALG10B	327.3585
ALG10	193.1059	ALG10	97.1698
ALG11	11.9592	ALG11	10.8491
ALG12	894.4777	ALG12	375.9434
ALG13	687.3021	ALG13	539.6226
ALG14	135.4203	ALG14	163.6792
ALG1L	67.1157	ALG1L	9.2736
ALG1	598.0338	ALG1	398.7028
ALG2	816.0394	ALG2	911.3208
ALG3	1534.2948	ALG3	490.566
ALG5	433.3451	ALG5	501.8868
ALG6	298.98	ALG6	277.3585
ALG8	2456.9117	ALG8	661.7925
ALG9	862.4692	ALG9	589.1509
ALKBH1	252.9019	ALKBH1	203.3019
ALKBH2	362.6451	ALKBH2	276.4151
ALKBH3	193.8094	ALKBH3	340.566
ALKBH4	204.2279	ALKBH4	154.5943
ALKBH5	3589.1171	ALKBH5	1871.6981
ALKBH6	130.8477	ALKBH6	56.6038
ALKBH7	614.4917	ALKBH7	269.8113
ALKBH8	300.3869	ALKBH8	218.3962
removed	removed	ALK	16.0377
removed	removed	ALMS1P	5.6604
ALMS1	812.522	ALMS1	880.6604
ALOX12P2	50.6507	ALOX12P2	31.1321
ALOX15B	158.2835	ALOX15B	275.4717
ALOX15	32.7119	ALOX15	55.6604
ALOX5AP	315.16	ALOX5AP	281.6038
ALOX5	427.3655	ALOX5	648.1132
ALOXE3	38.3398	ALOXE3	8.0189
ALPK1	348.5754	ALPK1	769.3396
ALPK2	91.8044	removed	removed
ALPK3	90.3975	ALPK3	215.0943
ALPL	153.3591	ALPL	926.8868
ALS2CL	217.376	ALS2CL	508.4906
removed	removed	ALS2CR11	7.5472
ALS2CR4	676.7499	ALS2CR4	1496.2264
ALS2CR8	116.4263	ALS2CR8	261.3208
ALS2	780.8653	ALS2	696.6981
removed	removed	ALX1	5.6604
ALX3	9.8488	ALX3	33.0189
removed	removed	ALX4	64.1509
AMACR	481.1819	AMACR	204.2453
