gene_id	TCGA-A7-A13E-01A-11R-A12P-07	gene_id	TCGA-A7-A13E-11A-61R-A12P-07
ANKRD36BP1	547.8809	ANKRD36BP1	134.172
ANKRD36B	30.7462	ANKRD36B	12.1975
ANKRD36	123.412	ANKRD36	105.386
ANKRD37	201.0078	ANKRD37	49.1509
ANKRD39	155.4393	ANKRD39	111.2408
ANKRD40	878.4029	ANKRD40	3825.6105
ANKRD42	436.8528	ANKRD42	186.3771
removed	removed	ANKRD43	58.5478
ANKRD44	54.2329	ANKRD44	103.4344
ANKRD45	27.757	ANKRD45	11.2217
ANKRD46	595.5247	ANKRD46	889.6191
ANKRD49	169.1043	ANKRD49	224.9211
ANKRD50	1554.3931	ANKRD50	1129.9724
ANKRD52	1600.0854	ANKRD52	1169.9801
ANKRD53	14.9461	ANKRD53	40.9835
ANKRD54	400.5551	ANKRD54	293.2269
ANKRD56	214.3696	ANKRD56	34.1529
ANKRD57	575.2108	ANKRD57	501.5594
ANKRD58	13.665	removed	removed
ANKRD5	414.2201	ANKRD5	210.2842
ANKRD6	49.8473	ANKRD6	217.6026
ANKRD9	52.5248	ANKRD9	65.3784
ANKS1A	1820.0064	ANKS1A	1419.2961
ANKS1B	70.0331	ANKS1B	77.0879
ANKS3	280.9864	ANKS3	117.0956
ANKS6	1119.2484	ANKS6	388.8549
ANKZF1	905.3059	ANKZF1	294.6906
ANLN	2671.5064	ANLN	74.6484
ANO10	1126.935	ANO10	1189.9839
ANO1	1972.4565	ANO1	2155.5347
removed	removed	ANO2	96.116
ANO3	54.66	ANO3	141.4905
removed	removed	ANO4	20.4917
