gene_id	TCGA-BH-A0BV-01A-11R-A00Z-07	gene_id	TCGA-BH-A0BV-11A-31R-A089-07
ANKRD36B	19.1865	ANKRD36B	57.4784
ANKRD36	112.4328	ANKRD36	295.9527
ANKRD37	65.7598	ANKRD37	135.5635
ANKRD39	135.8404	ANKRD39	95.084
ANKRD40	1358.4037	ANKRD40	1784.8885
ANKRD42	299.693	ANKRD42	340.5902
ANKRD43	148.1197	ANKRD43	24.1532
ANKRD44	95.165	ANKRD44	70.0136
removed	removed	ANKRD45	7.6434
ANKRD46	400.4221	ANKRD46	598.8335
ANKRD49	144.2824	ANKRD49	262.3217
ANKRD50	1065.2341	ANKRD50	1915.4379
ANKRD52	1391.0207	ANKRD52	1584.0198
removed	removed	ANKRD53	30.8794
ANKRD54	290.4835	ANKRD54	298.3986
ANKRD56	32.617	ANKRD56	121.9888
ANKRD57	166.9225	ANKRD57	1148.0398
ANKRD58	24.5587	ANKRD58	6.4205
ANKRD5	563.6992	ANKRD5	278.5258
ANKRD6	148.1504	ANKRD6	346.1669
