gene_id	TCGA-BH-A0BW-01A-11R-A115-07	gene_id	TCGA-BH-A0BW-11A-12R-A115-07
AHCYL2	647.7524	AHCYL2	693.6384
AHCY	2193.4414	AHCY	2297.758
AHDC1	1542.0044	AHDC1	1220.8725
AHI1	424.4657	AHI1	456.1028
AHNAK2	2781.8718	AHNAK2	1409.2628
AHNAK	19042.7413	AHNAK	64028.9871
AHRR	22.1076	AHRR	25.0037
AHR	2614.9595	AHR	4755.8848
AHSA1	1037.2144	AHSA1	1283.3819
AHSA2	475.6817	AHSA2	885.4775
removed	removed	AICDA	74.149
AIDA	1064.4031	AIDA	1002.7493
AIF1L	1935.5195	AIF1L	2458.1268
AIF1	589.1673	AIF1	595.3478
AIFM1	819.0862	AIFM1	647.5108
AIFM2	406.7797	AIFM2	317.72
removed	removed	AIFM3	10.1826
AIG1	402.7266	AIG1	473.7779
AIM1L	13.633	AIM1L	6.0354
AIM1	1942.1518	AIM1	4035.0872
AIM2	267.5018	AIM2	150.8847
AIMP1	2810.5158	AIMP1	1103.8679
AIMP2	230.1842	AIMP2	238.2081
AIP	466.1017	AIP	748.8191
removed	removed	AJAP1	15.5196
AK1	401.6212	AK1	347.8969
AK2	2413.4119	AK2	2058.0669
AK3L1	237.6566	AK3L1	364.2787
AK3	858.143	AK3	1815.7892
removed	removed	AK5	596.6411
AK7	11.0538	AK7	12.933
AKAP10	577.0081	AKAP10	641.9065
AKAP11	2042.3729	AKAP11	2490.8903
AKAP12	161.3854	AKAP12	1926.1506
AKAP13	6272.2918	AKAP13	6436.74
AKAP1	2616.0648	AKAP1	2057.2047
AKAP2	808.2167	AKAP2	1838.5728
removed	removed	AKAP3	18.1062
AKAP5	287.0302	AKAP5	160.7999
AKAP6	155.4901	AKAP6	153.4713
AKAP7	183.8615	AKAP7	220.7227
AKAP8L	365.5122	AKAP8L	703.1226
AKAP8	410.4643	AKAP8	780.7204
AKAP9	4399.4105	AKAP9	3097.8778
AKD1	113.1172	AKD1	128.8986
AKIRIN1	1824.6131	AKIRIN1	1368.7395
AKIRIN2	492.2623	AKIRIN2	863.4914
AKNA	1221.8128	AKNA	2667.641
AKR1A1	776.3449	AKR1A1	1606.7062
removed	removed	AKR1B10	14.6574
AKR1B15	36.4775	removed	removed
AKR1B1	458.364	AKR1B1	1210.9572
AKR1C1	252.1113	AKR1C1	314.7023
AKR1C2	220.339	AKR1C2	319.0133
AKR1C3	1126.3817	AKR1C3	475.9334
AKR1E2	72.8703	AKR1E2	34.4879
AKR7A2	585.8511	AKR7A2	566.4642
removed	removed	AKR7A3	11.6397
removed	removed	AKR7L	14.2263
AKT1S1	952.8371	AKT1S1	577.2416
AKT1	1955.0479	AKT1	2477.0952
AKT2	1621.9602	AKT2	1914.0798
AKT3	9659.9116	AKT3	1494.1893
AKTIP	903.3419	AKTIP	516.78
ALAD	1258.2903	ALAD	1228.6323
ALAS1	1164.7015	ALAS1	944.1069
removed	removed	ALB	403.9398
ALCAM	3262.3434	ALCAM	2076.173
ALDH16A1	452.4687	ALDH16A1	592.3301
ALDH18A1	2266.028	ALDH18A1	1793.8032
ALDH1A1	206.706	ALDH1A1	1397.6231
removed	removed	ALDH1A2	130.1919
ALDH1A3	891.6802	ALDH1A3	3424.0086
ALDH1B1	1050.1105	ALDH1B1	497.4883
removed	removed	ALDH1L1	100.8772
ALDH1L2	190.4937	ALDH1L2	227.6203
ALDH2	3256.448	ALDH2	1868.3833
removed	removed	ALDH3A1	28.4525
ALDH3A2	1812.0855	ALDH3A2	1442.8885
ALDH3B1	376.1975	ALDH3B1	309.9602
ALDH3B2	83.6404	ALDH3B2	665.1858
