gene_id	TCGA-E9-A1RH-01A-21R-A169-07	gene_id	TCGA-E9-A1RH-11A-34R-A169-07
ANKLE2	1277.932	ANKLE2	1672.5293
ANKMY1	132.8998	ANKMY1	171.273
ANKMY2	785.0289	ANKMY2	563.6516
ANKRA2	246.4515	ANKRA2	188.861
ANKRD10	377.4165	ANKRD10	1383.1826
ANKRD11	1141.6636	ANKRD11	2078.5678
ANKRD12	1716.2794	ANKRD12	1706.0302
ANKRD13A	1832.3686	ANKRD13A	1030.5695
ANKRD13B	106.2564	ANKRD13B	184.2546
ANKRD13C	875.4262	ANKRD13C	685.0921
ANKRD13D	152.248	ANKRD13D	281.407
ANKRD16	76.4412	ANKRD16	84.5896
ANKRD17	2916.5015	ANKRD17	2666.2479
ANKRD19	24.4231	ANKRD19	35.5946
ANKRD1	832.6065	removed	removed
removed	removed	ANKRD20A3	10.8878
ANKRD20B	6.6609	ANKRD20B	10.0503
ANKRD22	60.2648	ANKRD22	15.0754
ANKRD23	21.2513	ANKRD23	13.4003
ANKRD24	15.2248	ANKRD24	36.0134
ANKRD26P1	56.7758	removed	removed
ANKRD26	536.9915	ANKRD26	235.7621
ANKRD27	1035.921	ANKRD27	889.4472
ANKRD28	2409.3252	ANKRD28	1255.0251
removed	removed	ANKRD29	438.861
ANKRD30A	6.978	ANKRD30A	74.9581
ANKRD32	161.1292	ANKRD32	118.928
ANKRD34A	40.2823	ANKRD34A	25.1256
ANKRD34B	327.6505	removed	removed
ANKRD35	17.7623	ANKRD35	225.7119
ANKRD36BP1	182.3805	ANKRD36BP1	154.9414
ANKRD36B	53.9212	ANKRD36B	25.5444
ANKRD36	113.5517	ANKRD36	137.3534
ANKRD37	279.3117	ANKRD37	34.598
ANKRD39	152.248	ANKRD39	92.9648
ANKRD40	1379.1135	ANKRD40	3791.876
ANKRD42	185.5523	ANKRD42	247.9062
ANKRD43	10.7842	ANKRD43	83.3333
ANKRD44	16.4935	ANKRD44	81.2395
removed	removed	ANKRD45	7.1189
ANKRD46	296.0082	ANKRD46	1097.9899
ANKRD49	211.8785	ANKRD49	292.7136
ANKRD50	5136.151	ANKRD50	921.273
ANKRD52	1453.0172	ANKRD52	983.6683
removed	removed	ANKRD53	246.6499
ANKRD54	318.135	ANKRD54	242.4623
ANKRD56	53.604	ANKRD56	8.794
ANKRD57	1499.0088	ANKRD57	506.2814
ANKRD58	17.4451	ANKRD58	5.4439
ANKRD5	415.5103	ANKRD5	296.4824
ANKRD6	56.1954	ANKRD6	284.5142
ANKRD9	48.5291	ANKRD9	53.1826
ANKS1A	698.1207	ANKS1A	1076.2144
ANKS1B	40.9167	ANKS1B	41.4573
ANKS3	127.1905	ANKS3	123.9531
ANKS6	122.4328	ANKS6	453.0988
