gene_id	TCGA-E2-A15I-01A-21R-A137-07	gene_id	TCGA-E2-A15I-11A-32R-A137-07
AIM1L	6.3584	removed	removed
AIM1	2746.1401	AIM1	2374.4511
AIM2	33.9117	AIM2	5.3227
AIMP1	1044.3634	AIMP1	1283.4864
AIMP2	278.0758	AIMP2	209.6713
AIP	587.4493	AIP	633.9321
AK1	344.0623	AK1	476.9128
AK2	1801.9116	AK2	2277.5782
AK3L1	146.2441	AK3L1	900.0665
AK3	1486.109	AK3	4880.3726
AK5	1274.161	AK5	175.6487
AK7	117.2779	AK7	12.7745
AKAP10	618.8883	AKAP10	734.5309
AKAP11	2649.3505	AKAP11	3804.6574
AKAP12	829.4233	AKAP12	6149.8337
AKAP13	4400.7478	AKAP13	3174.4511
AKAP14	28.9662	removed	removed
AKAP1	1795.1999	AKAP1	4190.02
AKAP2	535.2995	AKAP2	2434.821
AKAP3	32.1455	AKAP3	47.3719
AKAP5	772.5506	AKAP5	29.8071
AKAP6	158.6078	AKAP6	193.7458
AKAP7	142.3584	AKAP7	391.2176
AKAP8L	1061.1532	AKAP8L	332.1357
AKAP8	826.5974	AKAP8	423.1537
AKAP9	7719.8541	AKAP9	3115.3693
AKD1	311.5636	AKD1	165.5356
AKIRIN1	1431.3558	AKIRIN1	1453.0938
AKIRIN2	501.2571	AKIRIN2	864.9368
AKNA	795.1584	AKNA	694.6108
AKR1A1	1580.0726	AKR1A1	1281.7033
AKR1B1	458.8675	AKR1B1	728.1437
AKR1C1	29.6727	AKR1C1	5206.5203
AKR1C2	13.0701	AKR1C2	5471.191
AKR1C3	226.4312	AKR1C3	3427.811
AKR1E2	56.5195	AKR1E2	65.0699
AKR7A2	771.8441	AKR7A2	1035.7951
AKR7A3	104.561	AKR7A3	16.5003
AKR7L	30.7325	removed	removed
AKT1S1	831.5428	AKT1S1	928.809
AKT1	8054.3788	AKT1	2212.1091
AKT2	2279.1479	AKT2	3896.7399
AKT3	438.026	AKT3	1397.7379
AKTIP	392.5348	AKTIP	768.3832
ALAD	1617.1636	ALAD	1411.5768
ALAS1	897.6	ALAS1	825.5489
ALB	17.6623	ALB	162.8743
ALCAM	8072.0411	ALCAM	839.9202
ALDH16A1	228.1974	ALDH16A1	214.5043
ALDH18A1	2174.9401	ALDH18A1	899.002
ALDH1A1	467.6987	ALDH1A1	7058.4165
ALDH1A2	85.1325	ALDH1A2	345.9747
ALDH1A3	426.4147	ALDH1A3	557.7006
ALDH1B1	711.0857	ALDH1B1	753.1603
ALDH1L1	8.1247	ALDH1L1	5029.9401
ALDH1L2	294.961	ALDH1L2	425.815
ALDH2	1475.8649	ALDH2	27300.0665
removed	removed	ALDH3A1	9.5808
ALDH3A2	1577.9532	ALDH3A2	4896.3407
ALDH3B1	150.1299	ALDH3B1	62.2754
ALDH3B2	2125.8389	ALDH3B2	90.4857
ALDH4A1	617.122	ALDH4A1	1265.2029
ALDH5A1	262.4623	ALDH5A1	1297.1391
ALDH6A1	1651.2519	ALDH6A1	3180.5828
ALDH7A1	666.5766	ALDH7A1	1758.6161
ALDH8A1	6.7117	ALDH8A1	8.5163
ALDH9A1	2295.3973	ALDH9A1	6695.4092
ALDOA	14219.5941	ALDOA	13885.2961
removed	removed	ALDOB	6.9195
ALDOC	44.8623	ALDOC	1688.8889
ALG10B	587.8026	ALG10B	522.1557
ALG10	186.8675	ALG10	149.0353
ALG11	11.6571	ALG11	10.6454
ALG12	307.3247	ALG12	393.3466
ALG13	682.4727	ALG13	554.6241
ALG14	179.0961	ALG14	194.8104
ALG1L	34.0848	removed	removed
ALG1	722.3225	ALG1	318.2595
ALG2	764.7792	ALG2	762.7412
ALG3	447.5636	ALG3	356.0878
ALG5	890.8883	ALG5	590.2861
ALG6	453.9221	ALG6	282.1025
ALG8	1118.0259	ALG8	782.4351
ALG9	616.4156	ALG9	994.8104
ALKBH1	514.3272	ALKBH1	190.5522
ALKBH2	178.7428	ALKBH2	138.9222
ALKBH3	343.7091	ALKBH3	322.0226
ALKBH4	285.8367	ALKBH4	131.1191
ALKBH5	1269.8584	ALKBH5	2257.7565
ALKBH6	77.361	ALKBH6	52.6946
ALKBH7	259.2831	ALKBH7	440.7186
ALKBH8	273.0597	ALKBH8	232.0692
removed	removed	ALK	10.1131
ALMS1P	13.0701	removed	removed
ALMS1	1204.9246	ALMS1	986.8263
ALOX15B	27.2	ALOX15B	47.9042
ALOX5AP	391.7506	ALOX5AP	185.7618
ALOX5	375.5013	ALOX5	97.9375
ALPK1	907.8441	ALPK1	601.996
ALPK2	18.3688	ALPK2	15.4358
ALPK3	126.8156	ALPK3	2978.5762
ALPL	81.9532	ALPL	349.1683
ALS2CL	196.4052	ALS2CL	228.3433
ALS2CR11	13.4234	ALS2CR11	27.678
ALS2CR12	30.7325	ALS2CR12	11.1776
ALS2CR4	577.5584	ALS2CR4	1038.9887
ALS2CR8	353.2467	ALS2CR8	285.2961
ALS2	671.522	ALS2	668.5296
removed	removed	ALX1	5.855
ALX3	27.9065	ALX3	11.1776
ALX4	9.1844	ALX4	36.1943
AMACR	252.5714	AMACR	205.4558
removed	removed	AMBP	7.4518
AMBRA1	1394.6181	AMBRA1	698.8689
AMD1	989.4441	AMD1	1490.3526
AMDHD1	8.8312	AMDHD1	6.3872
AMDHD2	263.2783	AMDHD2	120.825
AMFR	1552.5194	AMFR	2633.666
AMH	21.9013	removed	removed
AMICA1	182.2753	AMICA1	38.3234
AMIGO1	111.9792	AMIGO1	224.6174
AMIGO2	605.4649	AMIGO2	1086.3606
AMIGO3	167.7922	AMIGO3	31.9361
AMMECR1L	758.774	AMMECR1L	978.8423
AMMECR1	334.1714	AMMECR1	176.181
AMN1	281.1844	AMN1	195.3426
AMOTL1	853.0909	AMOTL1	3173.9188
AMOTL2	1340.9246	AMOTL2	6400
AMOT	607.2311	AMOT	903.2601
removed	removed	AMPD1	91.5502
AMPD2	476.5298	AMPD2	340.652
AMPD3	359.6052	AMPD3	88.8889
AMPH	228.1974	AMPH	389.6208
AMT	90.742	AMT	117.0991
AMY1A	14.8364	AMY1A	14.3713
removed	removed	AMY2A	6.9195
AMY2B	175.3517	AMY2B	534.2648
AMZ1	7.4182	removed	removed
AMZ2P1	217.6	AMZ2P1	327.8776
AMZ2	1436.6545	AMZ2	2268.5296
ANAPC10	110.213	ANAPC10	157.5516
ANAPC11	535.1688	ANAPC11	564.7372
ANAPC13	1325.629	ANAPC13	1140.2901
ANAPC16	2687.5012	ANAPC16	3723.7525
ANAPC1	947.761	ANAPC1	961.8097
ANAPC2	924.8	ANAPC2	372.5882
ANAPC4	616.4156	ANAPC4	561.5436
ANAPC5	2088.7479	ANAPC5	2003.992
ANAPC7	858.0363	ANAPC7	597.2056
ANGEL1	951.2935	ANGEL1	508.3167
ANGEL2	837.9013	ANGEL2	763.8057
ANGPT1	50.8675	ANGPT1	1584.5642
ANGPT2	185.8078	ANGPT2	326.2808
