gene_id	TCGA-BH-A0AZ-01A-21R-A12P-07	gene_id	TCGA-BH-A0AZ-11A-22R-A12P-07
ALG3	1099.6646	ALG3	391.9835
ALG5	524.6766	ALG5	504.7626
ALG6	362.2425	ALG6	298.7122
ALG8	1024.9161	ALG8	552.3127
ALG9	453.7614	ALG9	471.8433
ALKBH1	207.4748	ALKBH1	286.5199
ALKBH2	222.8079	ALKBH2	230.7399
ALKBH3	298.5146	ALKBH3	356.9306
ALKBH4	168.1552	ALKBH4	209.8575
ALKBH5	2967.3886	ALKBH5	1991.8281
ALKBH6	104.4562	ALKBH6	61.8761
ALKBH7	605.1749	ALKBH7	317.0007
ALKBH8	329.1806	ALKBH8	321.5728
removed	removed	ALK	8.8394
removed	removed	ALMS1P	10.9731
ALMS1	748.4427	ALMS1	1096.7004
ALOX12P2	28.2702	ALOX12P2	110.6454
removed	removed	ALOX12	6.7241
ALOX15B	192.621	ALOX15B	2565.8767
ALOX15	11.4998	ALOX15	12.4971
ALOX5AP	413.0331	ALOX5AP	217.6332
ALOX5	264.4945	ALOX5	225.2534
ALOXE3	21.0829	ALOXE3	17.0693
removed	removed	ALPK1	899.7943
ALPK2	99.1854	ALPK2	38.4059
ALPK3	179.2046	ALPK3	156.3667
ALPL	250.1198	ALPL	1308.2374
ALS2CL	126.0182	ALS2CL	339.8613
removed	removed	ALS2CR11	14.9356
removed	removed	ALS2CR12	9.1443
ALS2CR4	603.7374	ALS2CR4	1897.7368
ALS2CR8	124.5807	ALS2CR8	463.3087
ALS2	549.1136	ALS2	1023.2416
removed	removed	ALX3	26.8231
ALX4	5.7499	ALX4	148.4417
AMACR	644.9449	AMACR	404.4807
AMBP	5.7499	AMBP	143.8695
AMBRA1	1151.4135	AMBRA1	1380.7818
AMD1	933.3972	AMD1	1598.415
AMDHD1	10.5414	AMDHD1	34.4433
AMDHD2	141.8304	AMDHD2	196.0283
AMFR	5418.3038	AMFR	3351.6726
AMH	17.7288	AMH	6.0962
AMICA1	98.7063	AMICA1	173.7408
AMIGO1	39.77	AMIGO1	152.4042
AMIGO2	1183.0379	AMIGO2	4567.5532
AMIGO3	50.7906	AMIGO3	45.1116
AMMECR1L	858.6488	AMMECR1L	1018.3647
AMMECR1	306.1811	AMMECR1	302.9795
AMN1	163.8716	AMN1	254.8198
AMOTL1	1900.8146	AMOTL1	3873.5045
AMOTL2	1671.7777	AMOTL2	3346.7957
AMOT	635.3618	AMOT	1445.4012
AMPD1	13.8955	AMPD1	10.0587
AMPD2	707.2353	AMPD2	783.6623
AMPD3	287.9732	AMPD3	246.8948
AMPH	496.4063	AMPH	136.8589
AMT	24.9161	AMT	308.5727
removed	removed	AMY1A	25.6039
AMY2B	67.8486	AMY2B	296.8468
AMZ1	68.9986	AMZ1	8.5346
AMZ2P1	184.4753	AMZ2P1	238.0553
AMZ2	1952.0843	AMZ2	1093.0427
ANAPC10	155.2468	ANAPC10	157.5859
ANAPC11	1606.1332	ANAPC11	425.5125
ANAPC13	1518.8548	ANAPC13	912.078
ANAPC16	1776.2338	ANAPC16	2319.2867
removed	removed	ANAPC1	981.4829
ANAPC2	472.9276	ANAPC2	752.5718
ANAPC4	402.0125	ANAPC4	697.4015
ANAPC5	2372.3047	ANAPC5	2268.0789
ANAPC7	1143.747	ANAPC7	849.5009
ANGEL1	301.3896	ANGEL1	626.0764
ANGEL2	1155.7259	ANGEL2	849.1961
ANGPT1	88.644	ANGPT1	104.5493
ANGPT2	582.6545	ANGPT2	263.3544
removed	removed	ANGPT4	9.1443
ANGPTL1	50.7906	ANGPTL1	353.2729
ANGPTL2	7167.7048	ANGPTL2	3745.1802
removed	removed	ANGPTL3	66.1434
ANGPTL4	185.4336	ANGPTL4	126.4955
removed	removed	ANGPTL7	270.9746
ANG	433.0091	ANG	427.448
ANK1	17.2496	ANK1	11.5827
ANK2	410.6373	ANK2	691.915
ANK3	936.2722	ANK3	1978.8158
ANKAR	26.3536	ANKAR	85.6511
ANKDD1A	75.7068	ANKDD1A	131.6772
ANKFN1	43.6033	ANKFN1	173.7408
ANKFY1	1828.9411	ANKFY1	2539.3584
ANKHD1-EIF4EBP3	1952.3575	ANKHD1-EIF4EBP3	1248.809
ANKHD1	1835.8984	ANKHD1	3472.8675
ANKH	4162.9133	ANKH	2476.263
ANKIB1	1141.3512	ANKIB1	1841.0424
ANKK1	10.0623	ANKK1	56.9992
removed	removed	ANKLE1	11.5827
ANKLE2	1690.9439	ANKLE2	1512.459
ANKMY1	191.6627	ANKMY1	337.118
ANKMY2	497.3646	ANKMY2	731.2352
ANKRA2	425.012	ANKRA2	473.6722
ANKRD10	1252.9947	ANKRD10	1462.062
ANKRD11	1494.183	ANKRD11	3503.4245
ANKRD12	1264.4945	ANKRD12	2532.9574
ANKRD13A	1079.0609	ANKRD13A	1421.3213
ANKRD13B	176.3297	ANKRD13B	162.158
ANKRD13C	618.1121	ANKRD13C	723.615
ANKRD13D	507.4269	ANKRD13D	506.8963
ANKRD16	203.6416	ANKRD16	248.3761
ANKRD17	2239.0992	ANKRD17	5031.7763
ANKRD19	46.4782	ANKRD19	23.1654
removed	removed	ANKRD1	6.401
ANKRD20A3	5.2707	ANKRD20A3	33.5289
removed	removed	ANKRD20B	11.2779
ANKRD22	49.3531	ANKRD22	60.0472
ANKRD23	21.0829	ANKRD23	68.5819
ANKRD24	27.3119	ANKRD24	56.9992
ANKRD26	200.7667	ANKRD26	551.0935
ANKRD27	581.2171	ANKRD27	824.2018
ANKRD28	1242.9324	ANKRD28	1456.0695
ANKRD29	141.3512	ANKRD29	247.5044
ANKRD30A	162.4341	ANKRD30A	2036.4246
removed	removed	ANKRD30B	468.1856
removed	removed	ANKRD31	5.1817
ANKRD32	137.0388	ANKRD32	239.2746
ANKRD34A	10.5414	ANKRD34A	22.5558
ANKRD35	59.8946	ANKRD35	163.0725
ANKRD36BP1	92.4772	ANKRD36BP1	178.9225
ANKRD36B	25.8745	ANKRD36B	142.3455
ANKRD36	81.9358	ANKRD36	396.2509
ANKRD37	59.0609	ANKRD37	117.8541
ANKRD39	124.5807	ANKRD39	95.1002
ANKRD40	1476.7609	ANKRD40	1513.6783
ANKRD42	220.4121	ANKRD42	392.5932
ANKRD43	547.6761	ANKRD43	37.1866
ANKRD44	57.0196	ANKRD44	104.5493
