gene_id	TCGA-E2-A1LH-01A-11R-A14D-07	gene_id	TCGA-E2-A1LH-11A-22R-A14D-07
AKT1S1	1129.8476	AKT1S1	798.275
AKT1	3805.518	AKT1	3244.8491
AKT2	1802.0451	AKT2	2401.0541
AKT3	1504.1482	AKT3	610.9248
AKTIP	857.187	AKTIP	612.2425
ALAD	872.0818	ALAD	1980.8337
ALAS1	1729.5003	ALAS1	1013.4164
removed	removed	ALB	1290.369
ALCAM	520.9338	ALCAM	6420.2204
ALDH16A1	683.7739	ALDH16A1	627.6953
ALDH18A1	1671.6188	ALDH18A1	1749.8802
ALDH1A1	458.4218	ALDH1A1	771.4423
ALDH1A2	45.5335	ALDH1A2	87.6857
ALDH1A3	2808.3349	ALDH1A3	1277.3407
ALDH1B1	1068.1073	ALDH1B1	459.0321
ALDH1L1	67.1426	ALDH1L1	349.7844
ALDH1L2	437.5844	ALDH1L2	149.4969
ALDH2	2621.6477	ALDH2	3180.1629
ALDH3A1	30.0984	ALDH3A1	68.0402
ALDH3A2	762.4928	ALDH3A2	1783.4212
ALDH3B1	307.9298	ALDH3B1	157.6425
ALDH3B2	73.3166	ALDH3B2	5835.1701
ALDH4A1	1087.4011	ALDH4A1	1062.2904
ALDH5A1	215.3193	ALDH5A1	674.6526
ALDH6A1	40.0463	ALDH6A1	584.322
ALDH7A1	1719.4675	ALDH7A1	3647.3407
ALDH8A1	5.4023	ALDH8A1	11.4998
ALDH9A1	2423.307	ALDH9A1	4050.3115
ALDOA	15591.7422	ALDOA	19905.6061
ALDOC	937.6809	ALDOC	732.6306
ALG10B	83.3494	ALG10B	308.5769
ALG10	16.2068	ALG10	92.9564
ALG11	19.2938	ALG11	17.2496
ALG12	1159.1742	ALG12	656.9238
ALG13	277.0596	ALG13	494.0105
ALG14	270.8856	ALG14	154.7676
ALG1L	34.3353	ALG1L	14.3651
ALG1	483.3803	ALG1	400.7858
ALG2	666.0235	ALG2	923.3349
ALG3	1283.4266	ALG3	542.4054
ALG5	812.6568	ALG5	474.8443
ALG6	286.3207	ALG6	320.0767
ALG8	781.7866	ALG8	698.1313
removed	removed	ALG9	563.9674
ALKBH1	122.7089	ALKBH1	279.8275
ALKBH2	494.6942	ALKBH2	326.7849
ALKBH3	115.7631	ALKBH3	359.3675
ALKBH4	363.1256	ALKBH4	315.2611
ALKBH5	1689.3691	ALKBH5	2522.185
ALKBH6	123.4806	ALKBH6	62.7695
ALKBH7	575.7283	ALKBH7	551.0302
ALKBH8	145.8615	ALKBH8	299.9521
ALK	14.6633	ALK	23.4787
removed	removed	ALMS1P	10.5414
