gene_id	TCGA-BH-A0BJ-01A-11R-A056-07	gene_id	TCGA-BH-A0BJ-11A-23R-A089-07
AMIGO1	96.8349	AMIGO1	131.9444
AMIGO2	338.5636	AMIGO2	3026.1356
AMIGO3	64.198	AMIGO3	58.8235
AMMECR1L	868.2866	AMMECR1L	1068.6275
AMMECR1	324.2177	AMMECR1	285.5392
AMN1	308.0785	AMN1	189.134
AMOTL1	1494.1271	AMOTL1	2665.4412
AMOTL2	1382.229	AMOTL2	2831.6993
AMOT	989.1509	AMOT	1641.3399
AMPD1	16.1392	AMPD1	15.5229
AMPD2	475.5671	AMPD2	755.719
AMPD3	522.9086	AMPD3	283.9052
AMPH	3401.7753	AMPH	70.6699
AMT	207.8687	AMT	143.5498
AMY2B	36.5821	AMY2B	234.9714
AMZ1	7.8903	removed	removed
AMZ2P1	165.6953	AMZ2P1	180.9641
AMZ2	1346.3642	AMZ2	999.5915
ANAPC10	102.2147	ANAPC10	171.5686
ANAPC11	1131.8928	ANAPC11	357.4346
ANAPC13	1191.0195	ANAPC13	862.0956
ANAPC16	1168.8335	ANAPC16	1995.5065
ANAPC1	691.1145	ANAPC1	1009.3954
ANAPC2	654.5324	ANAPC2	551.4706
ANAPC4	350.399	ANAPC4	519.6078
ANAPC5	2355.2407	ANAPC5	2444.4444
ANAPC7	884.0671	ANAPC7	933.8235
ANGEL1	357.572	ANGEL1	785.1307
ANGEL2	1149.8252	ANGEL2	796.1601
ANGPT1	50.5694	ANGPT1	91.9118
ANGPT2	272.5724	ANGPT2	232.4346
removed	removed	ANGPT4	8.1699
ANGPTL1	51.2866	ANGPTL1	518.3824
ANGPTL2	1725.0964	ANGPTL2	2731.6176
ANGPTL4	243.1633	ANGPTL4	439.951
ANGPTL5	25.8226	removed	removed
ANGPTL6	5.9141	removed	removed
removed	removed	ANGPTL7	136.8464
ANG	205.4694	ANG	272.5735
ANK1	22.2362	ANK1	20.4248
ANK2	329.5974	ANK2	669.5261
ANK3	1776.383	ANK3	2151.9608
