gene_id	TCGA-E2-A1LS-01A-12R-A157-07	gene_id	TCGA-E2-A1LS-11A-32R-A157-07
ANAPC4	324.3243	ANAPC4	516.6043
ANAPC5	3254.2543	ANAPC5	2195.7538
ANAPC7	1147.1471	ANAPC7	783.8007
ANGEL1	254.7548	ANGEL1	392.8268
ANGEL2	1319.3193	ANGEL2	566.6342
ANGPT1	34.034	ANGPT1	1661.361
ANGPT2	113.1131	ANGPT2	226.4313
removed	removed	ANGPT4	12.9707
ANGPTL1	7.5075	ANGPTL1	1170.3275
ANGPTL2	309.3093	ANGPTL2	11125.523
ANGPTL4	10.5105	ANGPTL4	1003.932
ANGPTL5	7.5075	ANGPTL5	67.8182
removed	removed	ANGPTL7	10.3766
ANG	372.5325	ANG	789.8969
removed	removed	ANK1	31.8709
ANK2	146.6466	ANK2	3319.0162
ANK3	1030.5305	ANK3	322.0439
ANKAR	202.2022	ANKAR	65.9653
ANKDD1A	58.0581	ANKDD1A	181.9604
ANKFY1	694.1942	ANKFY1	1897.0571
ANKHD1-EIF4EBP3	527.2723	ANKHD1-EIF4EBP3	1439.0803
ANKHD1	1509.3193	ANKHD1	1883.097
ANKH	760.2603	ANKH	1523.1305
ANKIB1	2114.1141	ANKIB1	1963.7636
ANKLE1	5.005	ANKLE1	5.1883
ANKLE2	1715.2152	ANKLE2	1727.6969
ANKMY1	79.0791	ANKMY1	116.7363
ANKMY2	705.7057	ANKMY2	723.3943
ANKRA2	179.1792	ANKRA2	286.4671
ANKRD10	1459.2943	ANKRD10	1091.4916
ANKRD11	2745.9359	ANKRD11	2231.4158
ANKRD12	1237.7377	ANKRD12	1930.0398
ANKRD13A	3316.8168	ANKRD13A	991.7025
ANKRD13B	88.5886	ANKRD13B	154.5366
ANKRD13C	389.3894	ANKRD13C	805.6656
ANKRD13D	383.3834	ANKRD13D	290.5436
ANKRD16	134.6346	ANKRD16	99.6891
ANKRD17	4569.0691	ANKRD17	2940.6424
ANKRD19	38.038	ANKRD19	25.5708
ANKRD20A3	13.013	ANKRD20A3	5.1883
removed	removed	ANKRD20B	12.9707
ANKRD22	110.1101	removed	removed
ANKRD23	14.5145	ANKRD23	11.4883
removed	removed	ANKRD24	17.7884
ANKRD26	265.2653	ANKRD26	307.2202
ANKRD27	699.6997	ANKRD27	870.5191
ANKRD28	1495.4955	ANKRD28	1221.8397
ANKRD29	21.021	ANKRD29	386.5268
removed	removed	ANKRD30A	14.0825
removed	removed	ANKRD31	7.0412
ANKRD32	79.5796	ANKRD32	154.9072
ANKRD34A	24.024	ANKRD34A	22.2355
ANKRD35	306.8068	ANKRD35	200.4899
ANKRD36BP1	231.7317	ANKRD36BP1	105.2479
ANKRD36B	88.0881	ANKRD36B	19.6413
ANKRD36	362.3624	ANKRD36	153.7954
ANKRD37	109.3093	ANKRD37	143.7376
ANKRD39	188.6887	ANKRD39	118.9598
ANKRD40	755.7558	ANKRD40	5216.4439
ANKRD42	146.1461	ANKRD42	254.2257
removed	removed	ANKRD43	94.1302
removed	removed	ANKRD44	198.637
