gene_id	TCGA-BH-A0H9-01A-11R-A056-07	gene_id	TCGA-BH-A0H9-11A-22R-A466-07
ANAPC10	96.1783	ANAPC10	124.0264
ANAPC11	1010.2629	ANAPC11	1770.5213
ANAPC13	1171.6821	ANAPC13	1435.5243
ANAPC16	1207.7021	ANAPC16	3292.9898
ANAPC1	823.3799	ANAPC1	361.2942
ANAPC2	628.2866	ANAPC2	813.0617
ANAPC4	484.0192	ANAPC4	379.269
ANAPC5	1607.663	ANAPC5	2013.1815
ANAPC7	977.0306	ANAPC7	794.4877
ANGEL1	456.2604	ANGEL1	496.1055
ANGEL2	1056.3972	ANGEL2	432.5944
ANGPT1	43.0065	ANGPT1	1011.3841
ANGPT2	80.9305	ANGPT2	392.4506
removed	removed	ANGPT4	88.0767
ANGPTL1	23.4581	ANGPTL1	647.6932
ANGPTL2	496.1392	ANGPTL2	8201.3182
ANGPTL4	706.0893	ANGPTL4	3960.4554
removed	removed	ANGPTL5	143.1995
ANGPTL7	14.8568	ANGPTL7	22.169
ANG	409.5905	ANG	1196.0216
removed	removed	ANK1	59.9161
ANK2	143.0945	ANK2	905.9317
ANK3	1234.6789	ANK3	87.4775
ANKAR	13.6839	ANKAR	24.5656
ANKDD1A	15.6387	ANKDD1A	233.0737
ANKFY1	2093.246	ANKFY1	1397.2439
ANKHD1-EIF4EBP3	976.2956	ANKHD1-EIF4EBP3	531.2283
ANKHD1	2780.4359	ANKHD1	872.7022
ANKH	1145.929	ANKH	1264.2301
ANKIB1	2198.4166	ANKIB1	795.686
removed	removed	ANKK1	5.9916
removed	removed	ANKLE1	5.3925
ANKLE2	1738.6375	ANKLE2	1463.7507
ANKMY1	407.7803	ANKMY1	140.2037
ANKMY2	388.2318	ANKMY2	506.2912
ANKRA2	351.8718	ANKRA2	197.124
ANKRD10	729.6999	ANKRD10	1105.2367
ANKRD11	2782.6645	ANKRD11	1799.6944
ANKRD12	787.0198	ANKRD12	512.2828
ANKRD13A	722.119	ANKRD13A	586.5788
ANKRD13B	283.4523	ANKRD13B	189.3349
ANKRD13C	699.8338	ANKRD13C	516.4769
ANKRD13D	562.2129	ANKRD13D	442.1809
ANKRD16	137.5936	ANKRD16	97.0641
ANKRD17	3132.8316	ANKRD17	898.7418
ANKRD19	43.0065	ANKRD19	61.7136
ANKRD20B	20.7213	removed	removed
ANKRD22	28.9317	removed	removed
ANKRD23	19.1575	ANKRD23	5.3925
ANKRD24	8.6013	ANKRD24	19.7723
ANKRD26	207.9953	ANKRD26	70.1019
ANKRD27	1129.8993	ANKRD27	712.4026
ANKRD28	1011.4358	ANKRD28	711.2043
ANKRD29	43.0065	ANKRD29	372.6783
ANKRD30A	297.9181	removed	removed
ANKRD30B	30.4956	removed	removed
ANKRD32	218.1605	ANKRD32	71.8993
removed	removed	ANKRD34A	15.5782
ANKRD34B	8.6013	removed	removed
removed	removed	ANKRD34C	8.3883
ANKRD35	35.5781	ANKRD35	410.4254
ANKRD36BP1	138.4029	ANKRD36BP1	21.5698
ANKRD36B	8.6013	ANKRD36B	7.1899
ANKRD36	71.1563	ANKRD36	61.7136
ANKRD37	90.6656	ANKRD37	79.3589
ANKRD39	168.1165	ANKRD39	219.293
ANKRD40	896.1001	ANKRD40	3476.3331
ANKRD42	458.2152	ANKRD42	139.6046
ANKRD43	401.9157	ANKRD43	51.5279
ANKRD44	30.1046	ANKRD44	16.1774
removed	removed	ANKRD45	5.3925
ANKRD46	486.9905	ANKRD46	1101.3361
ANKRD49	184.5372	ANKRD49	173.1576
ANKRD50	2717.6229	ANKRD50	531.456
ANKRD52	2212.1005	ANKRD52	643.4991
ANKRD53	8.9923	ANKRD53	276.8125
ANKRD54	417.9455	ANKRD54	364.29
removed	removed	ANKRD55	7.7891
ANKRD56	93.8325	removed	removed
ANKRD57	1054.4424	ANKRD57	381.6657
ANKRD58	11.3381	removed	removed
ANKRD5	290.4897	ANKRD5	115.0389
ANKRD6	90.4623	ANKRD6	168.5201
ANKRD9	102.0428	ANKRD9	136.6087
ANKS1A	1482.553	ANKS1A	1282.8041
ANKS1B	224.025	removed	removed
ANKS3	132.1474	ANKS3	199.5207
ANKS6	35.9691	ANKS6	431.9952
ANKZF1	328.0227	ANKZF1	381.6657
ANLN	690.4506	removed	removed
ANO10	1534.5519	ANO10	1484.7214
ANO1	912.9117	ANO1	479.9281
