gene_id	TCGA-BH-A0C3-01A-21R-A12P-07	gene_id	TCGA-BH-A0C3-11A-23R-A12P-07
AKT2	3250	AKT2	2146.3809
AKT3	934.4332	AKT3	919.1266
AKTIP	600.0677	AKTIP	594.1165
ALAD	965.736	ALAD	1622.3211
ALAS1	773.2657	ALAS1	727.0522
ALB	6.3452	ALB	48.5241
ALCAM	4206.4298	ALCAM	3862.5152
ALDH16A1	415.3976	ALDH16A1	306.1059
ALDH18A1	2406.0914	ALDH18A1	1701.1727
ALDH1A1	1373.9425	ALDH1A1	1472.7052
ALDH1A2	129.8646	ALDH1A2	356.6518
ALDH1A3	400.7064	ALDH1A3	1556.1221
ALDH1B1	656.5144	ALDH1B1	426.203
ALDH1L1	836.2944	ALDH1L1	219.5714
ALDH1L2	602.7919	ALDH1L2	387.3837
ALDH2	6717.0051	ALDH2	2274.5653
ALDH3A1	8.0372	ALDH3A1	59.8463
ALDH3A2	7958.1218	ALDH3A2	1771.5326
ALDH3B1	167.5127	ALDH3B1	182.774
ALDH3B2	9.3063	ALDH3B2	1840.275
ALDH4A1	716.5821	ALDH4A1	417.3069
ALDH5A1	480.1184	ALDH5A1	787.3029
ALDH6A1	989.8689	ALDH6A1	648.5645
ALDH7A1	1313.0288	ALDH7A1	2789.7291
ALDH8A1	12.6904	ALDH8A1	21.8358
ALDH9A1	3253.3841	ALDH9A1	3379.2964
ALDOA	34362.5212	ALDOA	12635.2608
ALDOC	469.5431	ALDOC	1084.1084
ALG10B	383.6717	ALG10B	391.023
ALG10	183.1641	ALG10	114.4359
ALG11	29.6108	ALG11	14.5572
ALG12	391.709	ALG12	570.9664
ALG13	464.044	ALG13	654.2661
ALG14	259.3063	ALG14	169.4298
ALG1L	6.6371	ALG1L	8.2046
ALG1	1247.8088	ALG1	428.8799
ALG2	554.5685	ALG2	831.7833
ALG3	997.4619	ALG3	595.6328
ALG5	747.8849	ALG5	525.6773
ALG6	319.797	ALG6	266.478
ALG8	12362.5212	ALG8	667.6102
ALG9	498.7775	ALG9	697.129
ALKBH1	282.5719	ALKBH1	241.4072
ALKBH2	181.8951	ALKBH2	359.078
ALKBH3	214.467	ALKBH3	374.0396
ALKBH4	175.9222	ALKBH4	225.7744
ALKBH5	1703.291	ALKBH5	1974.3106
ALKBH6	121.4044	ALKBH6	76.4254
ALKBH7	350.6768	ALKBH7	472.7052
ALKBH8	195.0085	ALKBH8	331.1767
ALK	11.4213	ALK	8.0873
removed	removed	ALMS1P	7.2786
ALMS1	1085.8714	ALMS1	964.0113
removed	removed	ALOX12B	5.6611
removed	removed	ALOX12P2	30.7319
removed	removed	ALOX12	11.0028
ALOX15B	21.5736	ALOX15B	708.8556
ALOX15	13.1134	ALOX15	135.0586
ALOX5AP	255.4992	ALOX5AP	224.0194
ALOX5	328.6802	ALOX5	423.3724
ALOXE3	6.3452	ALOXE3	16.5791
ALPK1	513.1134	ALPK1	924.3833
ALPK2	34.264	removed	removed
ALPK3	1127.7496	ALPK3	282.6526
ALPL	258.0372	ALPL	1778.4068
ALS2CL	324.8731	ALS2CL	539.4258
ALS2CR11	9.3063	ALS2CR11	5.2568
ALS2CR4	369.2893	ALS2CR4	1704.812
ALS2CR8	110.4061	ALS2CR8	328.7505
ALS2	720.8122	ALS2	702.7901
ALX3	13.5364	ALX3	32.7537
ALX4	14.3824	ALX4	95.0263
AMACR	394.6701	AMACR	197.3312
AMBRA1	837.1404	AMBRA1	983.0166
AMD1	1075.791	AMD1	1700.7683
AMDHD1	24.1117	AMDHD1	23.8577
AMDHD2	414.632	AMDHD2	161.3425
AMFR	3024.5347	AMFR	3432.6729
AMHR2	6.3452	removed	removed
AMICA1	212.3519	AMICA1	250.3033
AMIGO1	59.6447	AMIGO1	168.6211
AMIGO2	219.1201	AMIGO2	2175.8997
AMIGO3	155.2453	AMIGO3	62.6769
AMMECR1L	751.269	AMMECR1L	887.5859
AMMECR1	290.1861	AMMECR1	219.5714
AMN1	82.9103	AMN1	200.5661
removed	removed	AMN	5.2568
AMOTL1	2061.3367	AMOTL1	3155.277
AMOTL2	1572.335	AMOTL2	2447.2301
AMOT	672.5888	AMOT	1997.1694
AMPD1	7.1912	AMPD1	174.2822
AMPD2	809.6447	AMPD2	848.3623
AMPD3	248.731	AMPD3	192.4788
AMPH	122.6734	AMPH	54.5896
AMT	50.3976	AMT	386.3607
removed	removed	AMY1A	11.7266
AMY2B	87.187	AMY2B	586.943
AMZ1	42.7242	AMZ1	12.5354
AMZ2P1	211.9289	AMZ2P1	235.7461
AMZ2	2636.2098	AMZ2	1055.3983
ANAPC10	106.176	ANAPC10	122.9276
ANAPC11	1498.731	ANAPC11	489.6886
ANAPC13	1188.3164	ANAPC13	1105.8512
ANAPC16	1600.6768	ANAPC16	2329.1549
ANAPC1	952.1997	ANAPC1	1163.3643
ANAPC2	647.6311	ANAPC2	674.0801
ANAPC4	441.2014	ANAPC4	723.0085
ANAPC5	2419.6277	ANAPC5	3039.628
ANAPC7	847.2927	ANAPC7	857.2584
ANGEL1	896.3621	ANGEL1	992.317
ANGEL2	728.4264	ANGEL2	704.4076
ANGPT1	184.4332	ANGPT1	121.7145
ANGPT2	489.0017	ANGPT2	194.905
ANGPT4	5.4992	ANGPT4	6.4699
ANGPTL1	343.4856	ANGPTL1	226.85
ANGPTL2	3618.0203	ANGPTL2	2096.2394
ANGPTL4	964.467	ANGPTL4	258.795
ANGPTL5	8.0372	removed	removed
removed	removed	ANGPTL7	42.8629
ANG	308.6633	ANG	369.1347
ANK1	29.1878	ANK1	18.6009
ANK2	1443.7394	ANK2	586.3324
ANK3	491.5398	ANK3	1553.1743
ANKAR	24.1117	ANKAR	69.1468
ANKDD1A	60.9137	ANKDD1A	120.9058
removed	removed	ANKFN1	13.7485
ANKFY1	1788.4941	ANKFY1	2538.2127
ANKHD1-EIF4EBP3	951.3367	ANKHD1-EIF4EBP3	1009.6118
ANKHD1	2567.0939	ANKHD1	3943.708
ANKH	1115.9052	ANKH	1877.0724
ANKIB1	1692.8934	ANKIB1	1441.9733
ANKK1	9.3063	ANKK1	65.9118
ANKLE1	85.8714	ANKLE1	34.2984
ANKLE2	1557.9526	ANKLE2	1535.7865
ANKMY1	127.3266	ANKMY1	227.2543
ANKMY2	286.379	ANKMY2	758.1884
ANKRA2	277.0728	ANKRA2	424.9899
ANKRD10	1696.7005	ANKRD10	1668.1965
ANKRD11	1721.1464	ANKRD11	2449.5431
ANKRD12	2020.3046	ANKRD12	1777.5981
ANKRD13A	956.4298	ANKRD13A	2188.0307
ANKRD13B	191.2014	ANKRD13B	171.0473
ANKRD13C	648.4772	ANKRD13C	546.7044
ANKRD13D	293.5702	ANKRD13D	502.6284
ANKRD16	181.4002	ANKRD16	188.4351
ANKRD17	3211.5059	ANKRD17	3555.1961
ANKRD19	33.4179	ANKRD19	37.2018
removed	removed	ANKRD20A3	12.131
removed	removed	ANKRD20B	8.8961
ANKRD22	159.4755	ANKRD22	61.4638
ANKRD23	60.9137	ANKRD23	70.3599
ANKRD24	21.1506	ANKRD24	22.6446
ANKRD26	190.3553	ANKRD26	293.5706
ANKRD27	721.2352	ANKRD27	890.8209
ANKRD28	1944.5854	ANKRD28	1646.9875
ANKRD29	288.0711	ANKRD29	227.6587
removed	removed	ANKRD30A	736.757
ANKRD30B	9.3063	ANKRD30B	63.0813
ANKRD32	247.0389	ANKRD32	176.7085
ANKRD34A	54.9915	ANKRD34A	17.3878
ANKRD35	62.6058	ANKRD35	165.3862
ANKRD36BP1	202.1997	ANKRD36BP1	207.4404
ANKRD36B	17.7665	ANKRD36B	77.2341
ANKRD36	140.0169	ANKRD36	357.8649
ANKRD37	31.1591	ANKRD37	74.7675
ANKRD39	191.6244	ANKRD39	112.8184
ANKRD40	2386.6328	ANKRD40	1524.4642
ANKRD42	343.4856	ANKRD42	294.3793
ANKRD43	17.7665	ANKRD43	38.4149
ANKRD44	172.1658	ANKRD44	119.2883
removed	removed	ANKRD45	21.0271
ANKRD46	358.9467	ANKRD46	461.4193
ANKRD49	221.6582	ANKRD49	413.6676
ANKRD50	1390.4399	ANKRD50	1236.5548
ANKRD52	1525.3807	ANKRD52	1594.0154
ANKRD53	59.6447	ANKRD53	38.4149
ANKRD54	283.8409	ANKRD54	364.3348
ANKRD56	115.4822	ANKRD56	63.0813
