gene_id	TCGA-BH-A0DV-01A-21R-A12P-07	gene_id	TCGA-BH-A0DV-11A-22R-A12P-07
ANKMY1	178.8557	ANKMY1	291.7772
ANKMY2	651.4396	ANKMY2	773.2095
ANKRA2	233.6136	ANKRA2	367.0424
ANKRD10	889.5171	ANKRD10	1398.3389
ANKRD11	1481.6933	ANKRD11	2580.5902
ANKRD12	768.3952	ANKRD12	2110.0796
ANKRD13A	1065.9921	ANKRD13A	1561.008
ANKRD13B	172.3086	ANKRD13B	75.9284
ANKRD13C	436.2771	ANKRD13C	643.8992
ANKRD13D	297.8945	ANKRD13D	287.1353
ANKRD16	126.1573	ANKRD16	160.431
ANKRD17	2710.215	ANKRD17	4318.634
ANKRD19	30.6525	ANKRD19	29.5093
removed	removed	ANKRD20A3	20.557
removed	removed	ANKRD20A4	7.9576
removed	removed	ANKRD20B	14.2573
ANKRD22	197.274	ANKRD22	54.7082
ANKRD23	47.3179	ANKRD23	41.1141
ANKRD24	27.9741	ANKRD24	50.3979
ANKRD26	119.0388	ANKRD26	355.7692
ANKRD27	744.5875	ANKRD27	870.0265
ANKRD28	1356.7443	ANKRD28	1610.7427
ANKRD29	122.0147	ANKRD29	261.6048
ANKRD2	16.0702	removed	removed
ANKRD30A	311.8816	ANKRD30A	945.6233
ANKRD30B	60.7098	ANKRD30B	49.7347
removed	removed	ANKRD31	5.6366
ANKRD32	96.719	ANKRD32	182.0292
ANKRD34A	18.7486	ANKRD34A	19.5623
ANKRD34C	23.5102	removed	removed
ANKRD35	126.1811	ANKRD35	123.3422
ANKRD36BP1	64.5785	ANKRD36BP1	175.3979
ANKRD36B	7.1423	ANKRD36B	94.8276
ANKRD36	43.7467	ANKRD36	301.3926
ANKRD37	139.4718	ANKRD37	151.1273
ANKRD39	102.0757	ANKRD39	75.9284
ANKRD40	1320.1399	ANKRD40	1880.9682
ANKRD42	294.0257	ANKRD42	348.4748
ANKRD43	171.4158	ANKRD43	62.6658
ANKRD44	72.0185	ANKRD44	89.5225
ANKRD45	7.7375	ANKRD45	32.8249
ANKRD46	380.6651	ANKRD46	517.9741
ANKRD49	187.4861	ANKRD49	329.5756
