gene_id	TCGA-BH-A18N-01A-11R-A12D-07	gene_id	TCGA-BH-A18N-11A-43R-A12D-07
ANKRD34A	11.6678	ANKRD34A	14.5503
removed	removed	ANKRD34C	5.291
ANKRD35	8.9224	ANKRD35	154.1005
ANKRD36BP1	64.5161	ANKRD36BP1	161.3757
ANKRD36B	31.5717	ANKRD36B	68.1217
ANKRD36	127.6596	ANKRD36	328.373
ANKRD37	39.9794	ANKRD37	181.2665
ANKRD39	149.6225	ANKRD39	91.6005
ANKRD40	1849.6911	ANKRD40	2428.2407
ANKRD42	602.6081	ANKRD42	354.4974
removed	removed	ANKRD43	54.8942
ANKRD44	107.7557	ANKRD44	110.119
removed	removed	ANKRD45	9.2593
ANKRD46	641.6369	ANKRD46	599.7884
ANKRD49	440.9746	ANKRD49	280.0926
ANKRD50	2252.917	ANKRD50	1296.2963
ANKRD52	1375.0858	ANKRD52	1467.2619
removed	removed	ANKRD53	51.918
ANKRD54	347.9753	ANKRD54	310.1852
ANKRD55	8.9224	removed	removed
ANKRD56	146.534	ANKRD56	91.9312
