gene_id	TCGA-AC-A23H-01A-11R-A157-07	gene_id	TCGA-AC-A23H-11A-12R-A157-07
removed	removed	ALX1	18.2485
removed	removed	ALX3	16.1016
removed	removed	ALX4	18.6063
AMACR	712.341	AMACR	316.3074
AMBRA1	1036.9709	AMBRA1	827.981
AMD1	1228.8924	AMD1	2066.7358
removed	removed	AMDHD1	26.1204
removed	removed	AMDHD2	77.2878
AMFR	1863.5721	AMFR	2861.0788
AMH	12.1997	removed	removed
AMICA1	14.2825	AMICA1	98.041
AMIGO1	70.52	AMIGO1	168.5303
removed	removed	AMIGO2	2391.2693
AMIGO3	136.2791	AMIGO3	52.5986
AMMECR1L	1285.4274	AMMECR1L	792.9153
AMMECR1	993.5282	AMMECR1	287.3244
AMN1	245.4809	AMN1	203.2382
AMOTL1	695.9756	AMOTL1	3806.4228
AMOTL2	875.1023	AMOTL2	2124.6981
AMOT	3342.1111	AMOT	2083.1917
removed	removed	AMPD1	81.2237
AMPD2	269.5827	AMPD2	553.1801
removed	removed	AMPD3	221.1289
AMPH	129.7329	AMPH	409.6968
AMTN	24.3993	removed	removed
removed	removed	AMT	153.6846
removed	removed	AMY1A	61.544
AMY2B	8.87	AMY2B	327.4139
AMZ1	7.7364	removed	removed
removed	removed	AMZ2P1	243.6712
removed	removed	AMZ2	1341.086
ANAPC10	98.4899	ANAPC10	125.5926
removed	removed	ANAPC11	429.0187
ANAPC13	1827.7944	ANAPC13	1456.9962
ANAPC16	1326.4896	ANAPC16	2701.8517
removed	removed	ANAPC1	990.0707
ANAPC2	689.727	ANAPC2	314.8761
ANAPC4	268.69	ANAPC4	601.1271
ANAPC5	2620.546	ANAPC5	2280.3471
removed	removed	ANAPC7	936.7564
ANGEL1	709.9606	ANGEL1	684.1399
ANGEL2	953.9537	ANGEL2	749.9776
removed	removed	ANGPT1	352.8044
ANGPT2	169.9026	ANGPT2	460.5063
removed	removed	ANGPT4	21.4688
ANGPTL1	13.6874	ANGPTL1	941.408
ANGPTL2	1337.2015	ANGPTL2	5728.9561
ANGPTL4	111.8798	ANGPTL4	534.2159
removed	removed	ANGPTL5	94.8206
ANGPTL6	20.0461	removed	removed
removed	removed	ANGPTL7	390.017
ANG	169.6258	ANG	654.2517
ANK1	13.6874	ANK1	20.0376
removed	removed	ANK2	2483.5853
ANK3	1243.4724	ANK3	1268.092
ANKAR	17.2581	ANKAR	60.4705
ANKDD1A	30.0528	ANKDD1A	138.4739
removed	removed	ANKFN1	9.661
ANKFY1	1181.879	ANKFY1	2899.0071
ANKHD1-EIF4EBP3	1489.971	ANKHD1-EIF4EBP3	1099.3935
ANKHD1	2453.2084	ANKHD1	2877.1625
ANKH	2273.5996	ANKH	2589.4982
removed	removed	ANKIB1	1486.3584
ANKK1	18.4483	ANKK1	46.5158
removed	removed	ANKLE1	6.7985
ANKLE2	1912.0732	ANKLE2	1218.7137
ANKMY1	174.3658	ANKMY1	129.8864
removed	removed	ANKMY2	977.1894
ANKRA2	289.8163	ANKRA2	239.3774
ANKRD10	569.6258	ANKRD10	1484.5693
removed	removed	ANKRD11	1628.2566
ANKRD12	937.8859	ANKRD12	1983.0038
ANKRD13A	799.2264	ANKRD13A	1910.0098
ANKRD13B	155.62	ANKRD13B	132.3911
ANKRD13C	455.5531	ANKRD13C	638.6976
removed	removed	ANKRD13D	173.8975
removed	removed	ANKRD16	124.8162
ANKRD17	4425.5003	ANKRD17	3685.4817
ANKRD19	29.1602	ANKRD19	31.1298
removed	removed	ANKRD20A3	5.0094
