gene_id	TCGA-E9-A1RI-01A-11R-A169-07	gene_id	TCGA-E9-A1RI-11A-41R-A169-07
ANKFY1	1794.2453	ANKFY1	2836.4409
ANKHD1-EIF4EBP3	1475.9203	ANKHD1-EIF4EBP3	760.5062
ANKHD1	2295.9846	ANKHD1	2410.5961
ANKH	2589.9373	ANKH	1793.0635
ANKIB1	2386.7545	ANKIB1	2371.5583
ANKK1	23.1474	removed	removed
removed	removed	ANKLE1	5.0237
ANKLE2	1950.8118	ANKLE2	1602.164
ANKMY1	141.1349	ANKMY1	166.9404
ANKMY2	423.7261	ANKMY2	688.2427
ANKRA2	388.6835	ANKRA2	252.3428
ANKRD10	2129.1111	ANKRD10	1119.8454
ANKRD11	1135.2355	ANKRD11	1388.4494
ANKRD12	1921.8775	ANKRD12	1824.7512
ANKRD13A	1320.045	ANKRD13A	1105.2072
ANKRD13B	187.7512	ANKRD13B	59.5112
ANKRD13C	858.7044	ANKRD13C	932.4703
ANKRD13D	336.6018	ANKRD13D	147.2322
ANKRD16	153.6377	ANKRD16	77.6737
ANKRD17	3375.9846	ANKRD17	3127.0409
ANKRD19	27.3268	ANKRD19	22.0269
ANKRD1	13.8241	ANKRD1	18.9354
ANKRD20A3	8.3588	ANKRD20A3	8.5016
ANKRD20A4	7.0728	removed	removed
ANKRD20B	7.0728	ANKRD20B	13.5253
ANKRD22	148.8507	ANKRD22	10.4338
ANKRD23	41.4724	ANKRD23	10.8202
ANKRD24	25.0764	ANKRD24	10.4338
ANKRD26	353.9624	ANKRD26	216.0178
ANKRD27	751.0047	ANKRD27	958.3615
ANKRD28	1959.1706	ANKRD28	1228.8668
ANKRD29	237.9039	ANKRD29	402.28
ANKRD30A	1467.6097	ANKRD30A	138.7306
ANKRD30B	137.277	ANKRD30B	8.1152
ANKRD32	349.14	ANKRD32	110.1343
ANKRD34A	11.2522	ANKRD34A	8.888
ANKRD35	31.8277	ANKRD35	105.8835
ANKRD36BP1	129.5612	ANKRD36BP1	216.0178
ANKRD36B	66.8703	ANKRD36B	33.2335
ANKRD36	312.49	ANKRD36	131.7747
ANKRD37	91.5319	ANKRD37	41.8665
ANKRD39	70.0852	ANKRD39	79.6058
ANKRD40	2072.0141	ANKRD40	7044.3435
ANKRD42	471.6284	ANKRD42	207.5162
ANKRD43	160.1029	ANKRD43	49.4638
ANKRD44	51.1172	ANKRD44	117.863
ANKRD45	7.3943	ANKRD45	6.183
ANKRD46	544.0026	ANKRD46	1640.9236
ANKRD49	602.154	ANKRD49	265.0952
ANKRD50	2539.4631	ANKRD50	1429.8135
ANKRD52	1139.6882	ANKRD52	876.4371
ANKRD53	6.4298	ANKRD53	193.9909
ANKRD54	311.204	ANKRD54	294.4643
ANKRD56	26.6838	ANKRD56	5.4101
ANKRD57	1896.4797	ANKRD57	591.2472
ANKRD58	6.7513	removed	removed
ANKRD5	339.4953	ANKRD5	214.0856
ANKRD6	386.9764	ANKRD6	291.7013
ANKRD9	47.2593	ANKRD9	22.0269
ANKS1A	901.4628	ANKS1A	1141.1458
ANKS1B	146.2787	ANKS1B	35.9386
