gene_id	TCGA-BH-A0HK-01A-11R-A056-07	gene_id	TCGA-BH-A0HK-11A-11R-A089-07
ANGPT1	172.8135	ANGPT1	89.9888
ANGPT2	300.3161	ANGPT2	384.2262
removed	removed	ANGPT4	22.4039
ANGPTL1	240.2529	ANGPTL1	1919.264
ANGPTL2	2094.3098	ANGPTL2	4063.3133
ANGPTL4	384.0885	ANGPTL4	1533.5442
removed	removed	ANGPTL5	21.2837
removed	removed	ANGPTL7	899.515
ANG	325.1686	ANG	493.7475
ANK1	10.5374	ANK1	13.8157
ANK2	533.7197	ANK2	2287.8074
ANK3	1907.7977	ANK3	944.3227
ANKAR	32.1391	ANKAR	20.5369
ANKDD1A	118.5458	ANKDD1A	83.2677
ANKFY1	1141.2013	ANKFY1	2013.3602
ANKHD1-EIF4EBP3	683.9937	ANKHD1-EIF4EBP3	788.3097
ANKHD1	2857.9768	ANKHD1	1915.4441
ANKH	2482.0864	ANKH	2364.7274
ANKIB1	1108.0084	ANKIB1	920.4252
removed	removed	ANKK1	42.5673
ANKLE1	6.8493	ANKLE1	9.3349
ANKLE2	919.9157	ANKLE2	1471.5602
ANKMY1	252.3709	ANKMY1	215.0771
ANKMY2	601.686	ANKMY2	761.3578
ANKRA2	377.2392	ANKRA2	245.6957
ANKRD10	811.1222	ANKRD10	1068.9441
ANKRD11	1360.0263	ANKRD11	2774.3259
ANKRD12	899.8946	ANKRD12	820.3547
ANKRD13A	828.7671	ANKRD13A	1414.4303
ANKRD13B	73.7619	ANKRD13B	148.2389
ANKRD13C	586.9336	ANKRD13C	561.2167
ANKRD13D	626.4489	ANKRD13D	324.856
ANKRD16	322.4447	ANKRD16	141.8276
ANKRD17	2737.6185	ANKRD17	2193.7112
ANKRD19	18.4405	ANKRD19	97.4568
ANKRD1	5.2687	removed	removed
ANKRD20A3	5.2687	ANKRD20A3	5.9744
removed	removed	ANKRD20A4	6.3478
ANKRD22	104.3203	ANKRD22	149.7325
ANKRD23	10.5374	ANKRD23	21.2837
ANKRD24	27.9241	ANKRD24	26.1378
ANKRD26	738.6723	ANKRD26	175.8703
ANKRD27	650.1581	ANKRD27	652.6991
ANKRD28	1139.6207	ANKRD28	1364.7684
ANKRD29	70.0738	ANKRD29	195.6604
ANKRD30A	486.8282	ANKRD30A	89.242
ANKRD30B	258.6934	ANKRD30B	18.6699
removed	removed	ANKRD32	70.5722
ANKRD34A	12.118	ANKRD34A	14.5625
ANKRD35	70.6006	ANKRD35	332.6973
ANKRD36BP1	118.019	ANKRD36BP1	82.5209
ANKRD36B	35.8272	ANKRD36B	23.5241
ANKRD36	346.1538	ANKRD36	163.5482
ANKRD37	72.7081	ANKRD37	202.5458
ANKRD39	121.1802	ANKRD39	96.71
ANKRD40	1538.4615	ANKRD40	1398.3742
ANKRD42	273.4457	ANKRD42	324.1092
ANKRD43	3986.8282	ANKRD43	89.242
ANKRD44	18.9673	ANKRD44	63.851
ANKRD45	5.7956	ANKRD45	10.0817
ANKRD46	601.6175	ANKRD46	336.2259
ANKRD49	124.8683	ANKRD49	164.295
ANKRD50	1084.2993	ANKRD50	751.2761
ANKRD52	939.9368	ANKRD52	1208.6882
ANKRD53	7.9031	ANKRD53	48.1683
ANKRD54	307.6923	ANKRD54	301.3319
removed	removed	ANKRD55	6.3478
ANKRD56	172.8135	ANKRD56	314.0274
ANKRD57	430.4531	ANKRD57	844.6255
ANKRD58	5.2687	removed	removed
ANKRD5	397.7871	ANKRD5	163.9216
ANKRD6	94.2624	ANKRD6	327.298
ANKRD9	32.1391	ANKRD9	90.3622
