gene_id	TCGA-BH-A0DK-01A-21R-A056-07	gene_id	TCGA-BH-A0DK-11A-13R-A089-07
ALDH1A1	805.5806	ALDH1A1	620.2725
ALDH1A2	83.2583	ALDH1A2	149.53
ALDH1A3	439.8785	ALDH1A3	2317.0735
ALDH1B1	885.2385	ALDH1B1	374.8452
ALDH1L1	67.5068	ALDH1L1	53.9241
ALDH1L2	424.8425	ALDH1L2	261.7503
ALDH2	3709.2709	ALDH2	893.0992
ALDH3A1	1540.054	ALDH3A1	126.7944
ALDH3A2	1433.8434	ALDH3A2	2116.4468
ALDH3B1	228.1728	ALDH3B1	155.3596
ALDH3B2	3621.0621	ALDH3B2	22959.4112
ALDH4A1	424.8425	ALDH4A1	2154.6309
ALDH5A1	502.7003	ALDH5A1	592.8733
ALDH6A1	466.0396	ALDH6A1	788.4136
ALDH7A1	1407.7408	ALDH7A1	3698.8997
ALDH8A1	13.0513	ALDH8A1	16.0315
ALDH9A1	2383.8884	ALDH9A1	2921.8101
ALDOA	28172.8173	ALDOA	21232.9666
ALDOC	283.0783	ALDOC	427.3118
ALG10B	250.6751	ALG10B	356.7733
ALG10	77.4077	ALG10	145.7407
ALG11	14.8515	ALG11	11.0763
ALG12	540.054	ALG12	545.6533
ALG13	540.5041	ALG13	592.5818
ALG14	230.423	ALG14	213.6559
ALG1L	176.6607	removed	removed
ALG1	810.2835	ALG1	584.1667
ALG2	1003.1503	ALG2	992.7858
ALG3	1300.18	ALG3	713.5466
ALG5	568.4068	ALG5	814.9821
ALG6	241.6742	ALG6	420.8992
ALG8	603.0603	ALG8	1183.1232
ALG9	387.9388	ALG9	649.4207
ALKBH1	417.6418	ALKBH1	302.8492
ALKBH2	355.5356	ALKBH2	203.4541
ALKBH3	147.1647	ALKBH3	339.5759
ALKBH4	214.8515	ALKBH4	177.0196
ALKBH5	2029.703	ALKBH5	1967.1384
ALKBH6	117.4617	ALKBH6	109.597
ALKBH7	934.2934	ALKBH7	386.2129
ALKBH8	188.5689	ALKBH8	198.4989
removed	removed	ALK	49.2604
ALMS1	864.0864	ALMS1	975.8799
ALOX12B	7.1107	removed	removed
ALOX12P2	19.3519	ALOX12P2	46.0541
ALOX12	16.6517	removed	removed
ALOX15B	18.9019	ALOX15B	65662.3187
ALOX15	14.4014	ALOX15	1035.3421
ALOX5AP	334.3834	ALOX5AP	150.6959
ALOX5	404.1404	ALOX5	260.5844
ALOXE3	36.9037	ALOXE3	13.1167
ALPK1	477.9478	ALPK1	775.6322
ALPK2	28.8029	ALPK2	42.8478
ALPK3	132.3132	ALPK3	749.9818
ALPL	594.0594	ALPL	1746.5569
ALS2CL	96.7597	ALS2CL	132.6241
removed	removed	ALS2CR11	7.287
ALS2CR4	568.4068	ALS2CR4	1139.1095
ALS2CR8	78.3078	ALS2CR8	214.5304
ALS2	519.3519	ALS2	754.937
removed	removed	ALX1	10.7848
ALX3	9.4509	ALX3	18.3633
removed	removed	ALX4	38.767
AMACR	305.1305	AMACR	369.307
removed	removed	AMBP	142.8259
AMBRA1	841.5842	AMBRA1	1161.2621
AMD1	1008.1008	AMD1	1777.6346
AMDHD1	12.1512	AMDHD1	23.61
AMDHD2	291.8362	AMDHD2	192.4448
AMFR	4135.9136	AMFR	4616.4833
AMH	71.1071	AMH	11.0763
AMICA1	264.6265	AMICA1	74.9107
AMIGO1	44.5545	AMIGO1	160.0233
AMIGO2	511.7012	AMIGO2	2412.2976
AMIGO3	36.0036	AMIGO3	74.3278
AMMECR1L	842.9343	AMMECR1L	969.4673
AMMECR1	386.5887	AMMECR1	437.5137
AMN1	166.5167	AMN1	177.8037
AMOTL1	1076.0576	AMOTL1	1986.7376
AMOTL2	1507.6508	AMOTL2	1800.1895
AMOT	438.7939	AMOT	1060.9925
AMPD1	10.8011	AMPD1	8.1615
AMPD2	712.8713	AMPD2	534.2855
AMPD3	218.2718	AMPD3	186.2566
AMPH	79.2079	AMPH	120.6733
removed	removed	AMTN	5.2467
AMT	13.5014	AMT	114.1762
removed	removed	AMY1A	5.8296
AMY2B	49.9505	AMY2B	222.96
AMZ1	33.3033	AMZ1	84.5296
AMZ2P1	345.1845	AMZ2P1	230.2703
AMZ2	2977.0477	AMZ2	1106.1721
ANAPC10	135.4635	ANAPC10	148.6555
ANAPC11	1240.324	ANAPC11	606.5729
ANAPC13	1452.9838	ANAPC13	1299.1212
ANAPC16	1564.8065	ANAPC16	2107.9939
ANAPC1	522.0522	ANAPC1	850.5429
ANAPC2	765.9766	ANAPC2	680.3177
ANAPC4	310.5311	ANAPC4	554.6892
ANAPC5	2927.5428	ANAPC5	2345.2598
ANAPC7	1500	ANAPC7	1096.5532
ANGEL1	307.3807	ANGEL1	484.7337
ANGEL2	622.8623	ANGEL2	706.2596
ANGPT1	123.3123	ANGPT1	141.3685
ANGPT2	558.9559	ANGPT2	174.0144
ANGPTL1	90.9091	ANGPTL1	147.4896
ANGPTL2	2308.7309	ANGPTL2	1179.6254
ANGPTL4	390.6391	ANGPTL4	318.2977
removed	removed	ANGPTL7	125.337
ANG	453.6409	ANG	274.1033
ANK1	61.6562	ANK1	251.257
ANK2	449.1449	ANK2	454.7111
ANK3	790.7291	ANK3	1937.4772
ANKAR	25.2025	ANKAR	40.8074
ANKDD1A	55.3555	ANKDD1A	43.4307
removed	removed	ANKFN1	22.1526
ANKFY1	1390.6391	ANKFY1	2246.1561
ANKHD1-EIF4EBP3	872.6418	ANKHD1-EIF4EBP3	1315.2867
removed	removed	ANKHD1	2462.2021
ANKH	1489.1989	ANKH	2417.8387
ANKIB1	1432.4932	ANKIB1	1577.7891
ANKK1	8.5509	ANKK1	19.5293
ANKLE1	7.2007	removed	removed
ANKLE2	1617.9118	ANKLE2	1377.8328
ANKMY1	229.0729	ANKMY1	237.8489
ANKMY2	325.8326	ANKMY2	668.0755
ANKRA2	264.1764	ANKRA2	383.5896
ANKRD10	640.414	ANKRD10	944.6914
removed	removed	ANKRD11	2229.0228
removed	removed	ANKRD12	1532.0265
ANKRD13A	1049.505	ANKRD13A	1165.3429
ANKRD13B	75.6076	ANKRD13B	105.8078
ANKRD13C	624.6625	ANKRD13C	586.7522
ANKRD13D	767.3267	ANKRD13D	335.4952
ANKRD16	229.523	ANKRD16	162.8507
ANKRD17	2562.1062	ANKRD17	3912.5556
ANKRD19	30.6031	ANKRD19	44.5967
ANKRD20A3	5.8506	ANKRD20A3	15.157
removed	removed	ANKRD20A4	6.1211
removed	removed	ANKRD20B	6.7041
ANKRD22	181.3681	ANKRD22	72.8704
ANKRD23	11.2511	ANKRD23	25.3589
ANKRD24	17.5518	ANKRD24	39.0585
ANKRD26	150.315	ANKRD26	337.244
ANKRD27	864.5365	ANKRD27	737.4481
ANKRD28	1962.6463	ANKRD28	1565.5469
ANKRD29	124.6625	ANKRD29	171.0996
ANKRD30A	1167.4167	ANKRD30A	1616.8476
ANKRD30B	98.5599	ANKRD30B	146.9067
ANKRD32	159.3159	ANKRD32	193.2522
ANKRD34A	18.0018	ANKRD34A	25.3589
ANKRD35	49.505	ANKRD35	123.2967
ANKRD36BP1	46.3546	ANKRD36BP1	106.9737
ANKRD36B	10.8011	ANKRD36B	58.5878
ANKRD36	109.3609	ANKRD36	172.2655
ANKRD37	61.8452	ANKRD37	198.2919
ANKRD39	260.126	ANKRD39	80.1574
ANKRD40	1655.2655	ANKRD40	1422.4295
ANKRD42	167.4167	ANKRD42	388.5448
ANKRD43	10.351	ANKRD43	52.1752
ANKRD44	117.9118	ANKRD44	76.6596
ANKRD45	8.5509	ANKRD45	18.3633
ANKRD46	286.8902	ANKRD46	514.3569
ANKRD49	149.4149	ANKRD49	222.9833
ANKRD50	2755.6256	ANKRD50	1648.6191
