gene_id	TCGA-A7-A0CH-01A-21R-A00Z-07	gene_id	TCGA-A7-A0CH-11A-32R-A089-07
ANKRD20A3	6.9781	removed	removed
ANKRD22	77.1948	ANKRD22	45.5101
ANKRD23	21.3703	ANKRD23	22.567
ANKRD24	28.7845	ANKRD24	27.0804
ANKRD26	293.5148	ANKRD26	125.9991
ANKRD27	672.0747	ANKRD27	715.7499
ANKRD28	2562.2574	ANKRD28	1090.7381
ANKRD29	11.3394	ANKRD29	180.9121
ANKRD30A	1161.8474	ANKRD30A	112.835
ANKRD30B	777.1817	ANKRD30B	44.7579
ANKRD31	6.1058	removed	removed
ANKRD32	185.7909	ANKRD32	83.1218
ANKRD34A	31.4013	ANKRD34A	16.5491
ANKRD34C	5.2335	removed	removed
ANKRD35	27.9123	ANKRD35	309.544
ANKRD36BP1	211.5225	ANKRD36BP1	44.3818
ANKRD36B	22.6787	ANKRD36B	13.5402
ANKRD36	111.649	ANKRD36	141.0437
ANKRD37	74.5257	ANKRD37	151.6953
ANKRD39	126.9135	ANKRD39	147.0616
ANKRD40	1181.0371	ANKRD40	2422.567
ANKRD42	563.9147	ANKRD42	262.9055
ANKRD43	290.0257	ANKRD43	61.6831
ANKRD44	55.3884	ANKRD44	47.3907
ANKRD46	464.4773	ANKRD46	573.9539
ANKRD49	304.8541	ANKRD49	208.7447
ANKRD50	1878.4073	ANKRD50	596.897
