gene_id	TCGA-BH-A204-01A-11R-A157-07	gene_id	TCGA-BH-A204-11A-53R-A157-07
ALKBH1	113.4945	ALKBH1	178.7234
ALKBH2	149.8127	ALKBH2	133.0754
ALKBH3	141.6411	ALKBH3	335.0097
ALKBH4	113.1359	ALKBH4	108.735
ALKBH5	2675.5102	ALKBH5	2312.4371
ALKBH6	33.3674	ALKBH6	51.8375
ALKBH7	113.2675	ALKBH7	305.9961
ALKBH8	346.6122	ALKBH8	221.2766
removed	removed	ALK	8.1238
ALMS1	1585.2911	ALMS1	719.5358
ALOX12B	38.3112	removed	removed
ALOX15B	32.2324	ALOX15B	37.5242
ALOX15	42.6739	ALOX15	23.5977
ALOX5AP	344.3423	ALOX5AP	284.3327
ALOX5	132.3346	ALOX5	172.147
ALOXE3	315.5147	removed	removed
ALPK1	267.393	ALPK1	340.8124
ALPK2	56.2933	ALPK2	115.2805
ALPK3	176.1435	ALPK3	897.0986
ALPL	24.5148	ALPL	771.3733
ALS2CL	113.0405	ALS2CL	319.9226
removed	removed	ALS2CR11	25.1451
removed	removed	ALS2CR12	8.1238
ALS2CR4	614.6862	ALS2CR4	910.6383
ALS2CR8	358.1886	ALS2CR8	158.6074
ALS2	1029.1681	ALS2	755.8994
removed	removed	ALX1	6.9632
removed	removed	ALX3	24.7582
removed	removed	ALX4	6.9632
AMACR	388.8321	AMACR	258.4139
AMBRA1	857.7914	AMBRA1	730.7544
AMD1	2288.049	AMD1	1600.7737
AMDHD1	91.2496	AMDHD1	7.3501
AMDHD2	69.6856	AMDHD2	152.0116
AMFR	3218.0229	AMFR	2920.3095
AMHR2	16.7972	removed	removed
AMICA1	20.202	AMICA1	61.1219
AMIGO1	146.1809	AMIGO1	84.3327
AMIGO2	24175.2355	AMIGO2	1052.9981
AMIGO3	31.3245	AMIGO3	43.7137
AMMECR1L	1548.9729	AMMECR1L	1048.3559
AMMECR1	297.3556	AMMECR1	213.1528
AMN1	175.0085	AMN1	161.7021
AMOTL1	636.4771	AMOTL1	3033.2689
AMOTL2	505.7315	AMOTL2	9189.1683
AMOT	150.9477	AMOT	1258.0271
removed	removed	AMPD1	16.6344
AMPD2	491.6582	AMPD2	500.5803
AMPD3	754.5114	AMPD3	147.3888
AMPH	166.1559	AMPH	131.528
AMT	30.4165	AMT	104.3752
removed	removed	AMY1A	5.4159
AMY2B	41.9703	AMY2B	335.4081
AMZ1	18.1591	removed	removed
AMZ2P1	448.9842	AMZ2P1	262.2824
AMZ2	2150.9477	AMZ2	1427.0793
ANAPC10	186.8119	ANAPC10	147.3888
ANAPC11	372.4889	ANAPC11	627.0793
ANAPC13	2079.2668	ANAPC13	1264.1509
ANAPC16	3218.0229	ANAPC16	2893.2302
ANAPC1	1856.7699	ANAPC1	723.0174
ANAPC2	251.0498	ANAPC2	429.4004
ANAPC4	377.4827	ANAPC4	500.5803
ANAPC5	2728.4077	ANAPC5	2159.7679
ANAPC7	1837.9299	ANAPC7	714.8936
ANGEL1	493.2471	ANGEL1	512.5725
ANGEL2	938.3725	ANGEL2	598.0658
ANGPT1	21.337	ANGPT1	1046.8085
ANGPT2	265.5771	ANGPT2	764.0232
removed	removed	ANGPT4	68.0851
ANGPTL1	43.8089	ANGPTL1	1868.472
ANGPTL2	1222.7897	ANGPTL2	12403.8685
ANGPTL4	17.0242	ANGPTL4	2374.0812
removed	removed	ANGPTL5	171.7602
removed	removed	ANGPTL7	164.0232
ANG	79.9637	ANG	744.5106
ANK1	88.2987	ANK1	48.7427
ANK2	147.9968	ANK2	5854.9323
ANK3	549.0864	ANK3	271.9536
ANKAR	30.4165	ANKAR	61.5087
ANKDD1A	19.5211	ANKDD1A	364.7969
ANKFY1	2633.9803	ANKFY1	2209.2843
ANKHD1-EIF4EBP3	780.0863	ANKHD1-EIF4EBP3	868.9787
ANKHD1	3678.3453	ANKHD1	2053.9691
ANKH	1896.266	ANKH	2194.971
ANKIB1	2985.5862	ANKIB1	1543.5203
removed	removed	ANKK1	6.1896
removed	removed	ANKLE1	5.4159
ANKLE2	2179.0943	ANKLE2	1628.6267
ANKMY1	216.7745	ANKMY1	165.1838
ANKMY2	303.9383	ANKMY2	555.1257
ANKRA2	558.6199	ANKRA2	259.5745
ANKRD10	1268.8072	ANKRD10	1253.9497
ANKRD11	854.6204	ANKRD11	2048.2863
ANKRD12	1517.8754	ANKRD12	1893.617
ANKRD13A	1889.4564	ANKRD13A	953.5783
ANKRD13B	417.8867	ANKRD13B	162.089
ANKRD13C	426.9663	ANKRD13C	677.7563
ANKRD13D	319.8275	ANKRD13D	244.4874
ANKRD16	157.7528	ANKRD16	113.7331
ANKRD17	5836.1139	ANKRD17	2813.1528
ANKRD19	21.7909	ANKRD19	30.5609
ANKRD1	6.8097	removed	removed
ANKRD20A3	90.3416	ANKRD20A3	20.5029
ANKRD20B	41.993	ANKRD20B	9.6712
ANKRD22	137.7823	ANKRD22	11.6054
ANKRD23	44.0359	ANKRD23	18.9555
ANKRD24	7.0367	ANKRD24	19.3424
ANKRD26	526.1605	ANKRD26	282.0116
ANKRD27	743.8429	ANKRD27	733.0754
ANKRD28	1767.1093	ANKRD28	1603.4816
ANKRD29	221.5413	ANKRD29	441.3926
ANKRD30A	1034.8428	ANKRD30A	141.1992
ANKRD30B	91.0226	ANKRD30B	6.5764
ANKRD31	9.3065	removed	removed
ANKRD32	412.439	ANKRD32	132.3017
removed	removed	ANKRD34A	22.4371
removed	removed	ANKRD35	160.9284
ANKRD36BP1	202.9282	ANKRD36BP1	130.3675
ANKRD36B	72.4095	ANKRD36B	44.1006
ANKRD36	171.6037	ANKRD36	199.2263
ANKRD37	108.3055	ANKRD37	124.7892
ANKRD39	269.8899	ANKRD39	108.3172
ANKRD40	2313.2448	ANKRD40	3552.0309
ANKRD42	484.8485	ANKRD42	227.4662
ANKRD43	106.4578	ANKRD43	34.8162
ANKRD44	131.6536	ANKRD44	90.5222
removed	removed	ANKRD45	7.3501
ANKRD46	1655.0403	ANKRD46	707.5435
ANKRD49	356.5997	ANKRD49	219.7292
ANKRD50	1830.4392	ANKRD50	976.4023
ANKRD52	1469.9807	ANKRD52	859.5745
removed	removed	ANKRD53	152.4178
