gene_id	TCGA-BH-A0DD-01A-31R-A12P-07	gene_id	TCGA-BH-A0DD-11A-23R-A12P-07
ANGPT1	38.1653	ANGPT1	1861.6652
ANGPT2	86.1345	ANGPT2	349.523
removed	removed	ANGPT4	235.039
ANGPTL1	9.1036	ANGPTL1	875.5421
ANGPTL2	439.7759	ANGPTL2	10679.5317
ANGPTL4	25.9104	ANGPTL4	3532.5239
removed	removed	ANGPTL5	236.34
removed	removed	ANGPTL7	26.4527
ANG	100.4447	ANG	751.3053
ANK1	5.2521	ANK1	54.6401
ANK2	65.4762	ANK2	2177.3634
ANK3	1348.0392	ANK3	145.7069
ANKAR	17.1569	ANKAR	53.7728
ANKDD1A	47.9692	ANKDD1A	441.0234
ANKFY1	1704.8319	ANKFY1	2417.6062
ANKHD1-EIF4EBP3	543.2073	ANKHD1-EIF4EBP3	1112.6843
ANKHD1	3681.278	ANKHD1	1644.7528
ANKH	676.4706	ANKH	1774.5013
ANKIB1	3208.3333	ANKIB1	1848.6557
ANKK1	6.3025	removed	removed
ANKLE1	15.056	ANKLE1	6.0711
ANKLE2	2092.0868	ANKLE2	1447.5282
ANKMY1	217.437	ANKMY1	193.8422
ANKMY2	227.9412	ANKMY2	604.0763
ANKRA2	380.2521	ANKRA2	258.8899
ANKRD10	498.2493	ANKRD10	1043.3651
ANKRD11	2382.8186	ANKRD11	2696.2229
ANKRD12	2116.9468	ANKRD12	1586.7303
ANKRD13A	878.1513	ANKRD13A	899.3929
ANKRD13B	732.493	ANKRD13B	160.451
ANKRD13C	594.5378	ANKRD13C	627.9271
ANKRD13D	944.6779	ANKRD13D	408.4996
ANKRD16	164.916	ANKRD16	97.8881
ANKRD17	2963.5854	ANKRD17	2886.817
ANKRD19	68.6275	ANKRD19	19.0807
ANKRD20A3	7.3529	ANKRD20A3	6.5048
ANKRD22	147.7591	removed	removed
ANKRD23	42.0168	ANKRD23	19.5143
ANKRD24	51.1204	ANKRD24	19.5143
ANKRD26	471.6387	ANKRD26	225.9324
ANKRD27	814.0756	ANKRD27	992.1943
ANKRD28	2090.3361	ANKRD28	1325.6722
ANKRD29	13.3053	ANKRD29	475.2819
removed	removed	ANKRD30A	9.974
ANKRD30B	3042.3669	ANKRD30B	28.621
ANKRD32	342.0868	ANKRD32	113.183
ANKRD34A	10.1541	ANKRD34A	9.974
ANKRD35	15.4062	ANKRD35	235.039
ANKRD36BP1	134.8039	ANKRD36BP1	107.5455
ANKRD36B	61.6246	ANKRD36B	27.32
ANKRD36	272.409	ANKRD36	193.4085
ANKRD37	30.5182	ANKRD37	49.5403
ANKRD39	54.6218	ANKRD39	109.7138
ANKRD40	2760.5042	ANKRD40	5026.0191
ANKRD42	198.8796	ANKRD42	201.6479
ANKRD43	15.056	ANKRD43	26.8864
ANKRD44	93.1373	ANKRD44	120.1214
removed	removed	ANKRD45	9.5403
ANKRD46	363.4874	ANKRD46	984.6141
ANKRD49	171.2185	ANKRD49	204.6834
ANKRD50	3031.1625	ANKRD50	1147.8751
ANKRD52	2075.9804	ANKRD52	1272.7667
removed	removed	ANKRD53	138.7684
ANKRD54	490.8964	ANKRD54	428.8812
ANKRD56	113.0952	removed	removed
ANKRD57	561.2745	ANKRD57	492.6279
ANKRD5	526.2605	ANKRD5	366.869
ANKRD6	48.8655	ANKRD6	261.6782
ANKRD9	34.3137	ANKRD9	58.9766
ANKS1A	1288.5154	ANKS1A	1221.1622
ANKS1B	427.8711	ANKS1B	32.9575
ANKS3	151.2605	ANKS3	147.0078
ANKS6	28.0112	ANKS6	545.0997
ANKZF1	501.4006	ANKZF1	384.2151
ANLN	2938.0252	ANLN	62.8794
ANO10	595.5882	ANO10	1209.8873
ANO1	20105.3922	ANO1	658.7164
ANO2	32.563	ANO2	149.6097
