gene_id	TCGA-E9-A1R7-01A-11R-A14M-07	gene_id	TCGA-E9-A1R7-11A-42R-A14M-07
ALDH3A2	1499.6481	ALDH3A2	5135.9223
ALDH3B1	189.3033	ALDH3B1	256.068
ALDH3B2	560.5208	ALDH3B2	143.6084
ALDH4A1	831.4567	ALDH4A1	3241.5049
ALDH5A1	2152.7094	ALDH5A1	1017.7994
ALDH6A1	306.1084	ALDH6A1	948.5761
ALDH7A1	495.7776	ALDH7A1	1555.0162
ALDH8A1	16.5376	ALDH8A1	18.6084
ALDH9A1	3593.2442	ALDH9A1	4302.1845
ALDOA	15546.4462	ALDOA	9802.9935
removed	removed	ALDOB	13.754
ALDOC	467.9803	ALDOC	1973.7055
ALG10B	360.6615	ALG10B	397.6537
ALG10	132.6531	ALG10	147.2492
ALG11	35.1865	ALG11	10.9223
ALG12	567.9099	ALG12	292.4757
ALG13	517.9451	ALG13	482.6052
ALG14	162.5616	ALG14	235.8414
ALG1L	290.5032	removed	removed
ALG1	900.088	ALG1	357.4555
ALG2	1207.6003	ALG2	732.6052
ALG3	666.4321	ALG3	332.9288
ALG5	990.8515	ALG5	630.2589
ALG6	414.4968	ALG6	242.7184
ALG8	1607.3188	ALG8	904.1262
ALG9	339.9015	ALG9	862.8641
ALKBH1	173.1175	ALKBH1	221.6828
ALKBH2	79.5215	ALKBH2	152.9126
ALKBH3	385.9958	ALKBH3	280.7443
ALKBH4	168.3709	ALKBH4	140.2427
ALKBH5	1380.6122	ALKBH5	1989.4134
ALKBH6	52.076	ALKBH6	41.2621
ALKBH7	379.6622	ALKBH7	169.0939
ALKBH8	309.6411	ALKBH8	338.1877
ALMS1	911.6819	ALMS1	940.9385
ALOX12P2	20.4082	removed	removed
ALOX15B	7.0373	ALOX15B	22.2492
ALOX15	486.981	removed	removed
ALOX5AP	33.4272	ALOX5AP	610.4369
ALOX5	46.0943	ALOX5	334.9515
ALOXE3	100.2815	removed	removed
ALPK1	687.544	ALPK1	582.5243
removed	removed	ALPK2	27.5081
ALPK3	110.1337	ALPK3	608.0097
ALPL	135.468	ALPL	1315.9385
ALS2CL	81.6327	ALS2CL	308.657
ALS2CR11	8.7966	ALS2CR11	14.1586
removed	removed	ALS2CR12	12.5405
ALS2CR4	714.9894	ALS2CR4	1082.9288
ALS2CR8	192.822	ALS2CR8	224.11
ALS2	1039.7607	ALS2	756.4725
removed	removed	ALX1	7.2816
ALX3	19.3526	ALX3	25.89
removed	removed	ALX4	22.2492
AMACR	494.722	AMACR	301.3754
AMBP	6.3336	removed	removed
AMBRA1	869.81	AMBRA1	686.8932
AMD1	2952.4982	AMD1	1618.5275
AMDHD1	16.1858	AMDHD1	9.7087
AMDHD2	155.1091	AMDHD2	101.6545
AMFR	1758.2688	AMFR	2824.4337
AMICA1	36.9458	AMICA1	203.8835
AMIGO1	109.0781	AMIGO1	209.1424
AMIGO2	78.114	AMIGO2	1192.1521
AMIGO3	53.1316	AMIGO3	34.7896
AMMECR1L	942.9979	AMMECR1L	984.2233
AMMECR1	767.7692	AMMECR1	241.1003
AMN1	330.753	AMN1	149.6764
AMOTL1	683.3216	AMOTL1	3507.6861
AMOTL2	385.6439	AMOTL2	4290.8576
AMOT	345.5313	AMOT	1656.1489
removed	removed	AMPD1	65.534
AMPD2	239.62	AMPD2	408.1715
AMPD3	348.6981	AMPD3	449.4337
