gene_id	TCGA-BH-A1F8-01A-11R-A13Q-07	gene_id	TCGA-BH-A1F8-11B-21R-A13Q-07
ALG10B	793.6921	ALG10B	399.8853
ALG10	299.1898	ALG10	94.0906
ALG11	21.7014	ALG11	8.0321
ALG12	209.7801	ALG12	393.5743
ALG13	689.5255	ALG13	559.9541
ALG14	259.838	ALG14	203.0981
ALG1L	270.8738	ALG1L	24.1251
ALG1	734.3663	ALG1	466.7355
ALG2	864.0046	ALG2	832.4727
ALG3	1383.3912	ALG3	515.7774
ALG5	450.5208	ALG5	674.6988
ALG6	443.287	ALG6	302.3523
ALG8	5760.706	ALG8	671.2565
ALG9	541.088	ALG9	537.0052
ALKBH1	169.5602	ALKBH1	206.5404
ALKBH2	165.2199	ALKBH2	230.6368
ALKBH3	519.6759	ALKBH3	387.8371
ALKBH4	99.5689	ALKBH4	180.6139
ALKBH5	1913.7674	ALKBH5	2287.3896
ALKBH6	96.3542	ALKBH6	59.0935
ALKBH7	161.169	ALKBH7	441.7671
ALKBH8	211.8056	ALKBH8	274.8135
removed	removed	ALK	5.7372
ALMS1P	17.9398	removed	removed
ALMS1	1365.7407	ALMS1	555.3643
ALOX12P2	42.2454	ALOX12P2	14.3431
removed	removed	ALOX12	5.7774
ALOX15B	59.3171	ALOX15B	117.6133
ALOX15	289.6412	ALOX15	13.7694
ALOX5AP	167.2454	ALOX5AP	343.6604
ALOX5	102.1412	ALOX5	551.3483
ALOXE3	12.1528	ALOXE3	6.311
ALPK1	295.4282	ALPK1	658.6345
ALPK2	42.8241	ALPK2	20.0803
ALPK3	48.6111	ALPK3	323.58
ALPL	110.8218	ALPL	1590.9352
ALS2CL	21.7014	ALS2CL	327.0224
ALS2CR11	42.5347	ALS2CR11	5.1635
ALS2CR4	1338.5417	ALS2CR4	1187.6076
ALS2CR8	171.5856	ALS2CR8	189.3287
ALS2	1133.3912	ALS2	729.7762
removed	removed	ALX3	24.0964
removed	removed	ALX4	11.4745
AMACR	602.4306	AMACR	273.0924
AMBP	22.2801	AMBP	10.327
AMBRA1	648.7269	AMBRA1	808.9501
AMD1	6997.9745	AMD1	2253.012
AMDHD1	59.3171	AMDHD1	27.5387
AMDHD2	89.2072	AMDHD2	157.2002
AMFR	7697.338	AMFR	2831.899
AMH	5.2083	removed	removed
AMICA1	26.331	AMICA1	40.1606
