gene_id	TCGA-BH-A18K-01A-11R-A12D-07	gene_id	TCGA-BH-A18K-11A-13R-A12D-07
AGAP7	6.3745	AGAP7	6.5299
AGAP8	37.5387	AGAP8	41.5112
AGA	599.5573	AGA	402.0522
AGBL2	12.0407	AGBL2	28.4515
AGBL4	14.5197	AGBL4	10.7276
AGBL5	438.7995	AGBL5	806.9076
AGER	47.1005	AGER	68.097
AGFG1	1141.39	AGFG1	1610.0746
AGFG2	423.1961	AGFG2	408.1157
AGGF1	1133.2448	AGGF1	940.2985
AGK	746.525	AGK	534.5149
AGL	1400.9739	AGL	1807.8358
AGMAT	19.4776	AGMAT	10.7276
AGPAT1	2454.5374	AGPAT1	1689.5196
AGPAT2	1216.8216	AGPAT2	3649.7201
AGPAT3	1908.4551	AGPAT3	2108.209
AGPAT4	267.7291	AGPAT4	353.5448
AGPAT5	468.88	AGPAT5	648.3209
AGPAT6	736.6091	AGPAT6	1617.5373
AGPAT9	35.768	AGPAT9	495.8022
AGPHD1	41.0801	AGPHD1	58.7687
AGPS	938.1142	AGPS	827.8918
AGR2	13967.5963	AGR2	1208.9552
AGR3	2637.6273	AGR3	119.403
AGRN	4345.2855	AGRN	4992.0709
AGTPBP1	218.5038	AGTPBP1	379.6642
AGTR1	43.205	AGTR1	295.2425
AGTRAP	952.2798	AGTRAP	528.9179
AGT	435.2368	AGT	210.8209
AGXT2L2	352.0708	AGXT2L2	567.1129
removed	removed	AGXT	6.9963
AHCTF1	2773.9708	AHCTF1	1554.1045
AHCYL1	2683.6653	AHCYL1	4118.0037
AHCYL2	590.3497	AHCYL2	862.8731
AHCY	5326.6047	AHCY	3227.6119
AHDC1	480.9208	AHDC1	1267.7239
AHI1	240.1062	AHI1	514.9254
AHNAK2	906.5958	AHNAK2	655.3172
AHNAK	17228.1541	AHNAK	116093.75
AHRR	47.1005	AHRR	56.903
AHR	2032.0496	AHR	2830.2239
AHSA1	2981.8504	AHSA1	1245.8022
AHSA2	399.8229	AHSA2	1125
AIDA	2189.0323	AIDA	1042.1082
AIF1L	514.564	AIF1L	1746.7351
AIF1	327.2244	AIF1	201.4925
AIFM1	1791.5892	AIFM1	767.7239
AIFM2	274.4577	AIFM2	991.1381
AIFM3	119.8725	AIFM3	20.2659
AIG1	900.9296	AIG1	788.7127
AIM1L	38.9553	removed	removed
AIM1	1460.8234	AIM1	4292.9104
removed	removed	AIM2	6.5299
AIMP1	1239.2138	AIMP1	926.1334
AIMP2	634.1532	AIMP2	199.2491
AIP	862.6826	AIP	817.1642
AJAP1	10.9783	AJAP1	31.25
AK1	827.977	AK1	499.5336
AK2	2098.6277	AK2	1803.1716
AK3L1	411.5095	AK3L1	690.7649
