gene_id	TCGA-BH-A0DG-01A-21R-A12P-07	gene_id	TCGA-BH-A0DG-11A-43R-A12P-07
AK2	1155.2428	AK2	1989.5895
AK3L1	112.1474	AK3L1	601.305
AK3	1218.1954	AK3	1937.722
AK5	89.6345	AK5	2392.335
AK7	16.6762	AK7	54.1835
AKAP10	449.4232	AKAP10	674.9814
AKAP11	1206.1052	AKAP11	3056.4136
AKAP12	1040.594	AKAP12	1970.4303
AKAP13	4439.6176	AKAP13	6325.9271
AKAP1	2996.2937	AKAP1	2453.4567
AKAP2	781.4252	AKAP2	1476.4979
AKAP3	11.6733	AKAP3	39.6465
AKAP5	338.5266	AKAP5	134.7981
AKAP6	72.1245	AKAP6	555.7116
AKAP7	109.229	AKAP7	241.1828
AKAP8L	488.1953	AKAP8L	655.4886
AKAP8	463.598	AKAP8	608.2432
AKAP9	2696.1224	AKAP9	4257.7022
AKD1	136.3278	AKD1	222.0203
AKIRIN1	1322.8385	AKIRIN1	1085.3225
AKIRIN2	681.6391	AKIRIN2	635.6653
AKNA	960.1314	AKNA	664.7394
AKR1A1	2740.3143	AKR1A1	1411.4149
AKR1B1	955.9624	AKR1B1	742.3804
AKR1C1	224.2947	AKR1C1	355.1664
AKR1C2	178.0183	AKR1C2	441.7279
AKR1C3	434.8315	AKR1C3	421.2439
AKR1E2	9.1719	AKR1E2	26.1006
AKR7A2	763.3524	AKR7A2	633.683
AKR7A3	5.0029	AKR7A3	27.0918
AKR7L	6.2536	AKR7L	52.5316
AKT1S1	1421.228	AKT1S1	565.6232
AKT1	6125.9969	AKT1	2457.7517
AKT2	2833.284	AKT2	1851.4909
AKT3	712.0731	AKT3	1485.0913
AKTIP	656.0954	AKTIP	615.4654
ALAD	1026.4192	ALAD	2029.2393
ALAS1	646.2022	ALAS1	742.3804
ALB	110.4797	ALB	464.855
ALCAM	3960.1773	ALCAM	4714.2975
ALDH16A1	526.5506	ALDH16A1	296.0271
ALDH18A1	3341.0739	ALDH18A1	1410.4237
ALDH1A1	532.8041	ALDH1A1	2153.1346
ALDH1A2	167.5957	ALDH1A2	632.0311
ALDH1A3	684.0196	ALDH1A3	3026.4244
ALDH1B1	1349.5204	ALDH1B1	393.4914
ALDH1L1	74.6259	ALDH1L1	183.365
ALDH1L2	952.2102	ALDH1L2	307.5907
ALDH2	1735.991	ALDH2	3086.1485
removed	removed	ALDH3A1	54.5139
ALDH3A2	1040.594	ALDH3A2	2152.4738
ALDH3B1	224.2947	ALDH3B1	150.3263
ALDH3B2	9732.2221	ALDH3B2	1371.438
ALDH4A1	599.9258	ALDH4A1	719.9141
ALDH5A1	648.7036	ALDH5A1	766.8291
ALDH6A1	665.7717	ALDH6A1	830.5278
ALDH7A1	2014.0664	ALDH7A1	3300.5699
ALDH8A1	13.7579	ALDH8A1	21.8056
ALDH9A1	3198.9094	ALDH9A1	3702.6514
ALDOA	19077.5568	ALDOA	9661.1877
ALDOC	128.4066	ALDOC	524.9855
ALG10B	229.2976	ALG10B	641.2819
ALG10	138.4123	ALG10	187.3296
ALG11	13.3409	ALG11	11.2332
ALG12	586.5848	ALG12	424.5478
ALG13	464.4318	ALG13	556.3723
ALG14	165.0942	ALG14	124.556
ALG1L	5.1238	ALG1L	11.21
ALG1	859.0195	ALG1	416.7969
ALG2	927.6128	ALG2	901.9575
ALG3	1055.6026	ALG3	385.2317
ALG5	699.566	ALG5	503.5104
ALG6	357.7042	ALG6	326.0923
ALG8	5646.5566	ALG8	629.0576
ALG9	446.088	ALG9	651.1935
ALKBH1	376.8818	ALKBH1	244.1563
ALKBH2	243.8892	ALKBH2	299.9917
ALKBH3	333.1068	ALKBH3	358.8007
ALKBH4	193.006	ALKBH4	183.5236
ALKBH5	2200.7688	ALKBH5	1790.9011
ALKBH6	90.8852	ALKBH6	46.2542
ALKBH7	757.9327	ALKBH7	250.4336
ALKBH8	162.5928	ALKBH8	356.8184
removed	removed	ALK	9.9116
removed	removed	ALMS1P	17.1801
ALMS1	903.4324	ALMS1	1230.0322
ALOX12P2	41.2736	ALOX12P2	33.3691
ALOX15B	62.9526	ALOX15B	272.9
ALOX5AP	505.2884	ALOX5AP	234.2447
ALOX5	428.9949	ALOX5	715.2887
ALOXE3	9.5888	ALOXE3	9.9116
ALPK1	415.6539	ALPK1	932.3532
ALPK2	102.9754	ALPK2	11.2332
ALPK3	308.0925	ALPK3	156.934
ALPL	273.4895	ALPL	1074.0894
ALS2CL	86.2993	ALS2CL	260.6756
ALS2CR11	5.8367	ALS2CR11	9.2508
ALS2CR12	9.5888	removed	removed
ALS2CR4	498.2011	ALS2CR4	1637.0695
ALS2CR8	87.55	ALS2CR8	381.267
ALS2	554.4832	ALS2	865.9453
ALX3	10.4226	ALX3	35.3514
ALX4	13.7579	ALX4	58.809
AMACR	431.9132	AMACR	252.7463
removed	removed	AMBP	12.2243
