gene_id	TCGA-BH-A0C0-01A-21R-A056-07	gene_id	TCGA-BH-A0C0-11A-21R-A089-07
ANKRD30B	138.4194	ANKRD30B	62.2098
removed	removed	ANKRD31	6.809
ANKRD32	120.1462	ANKRD32	164.6549
ANKRD34A	19.1868	ANKRD34A	28.4742
ANKRD35	21.471	ANKRD35	184.7725
ANKRD36BP1	80.8588	ANKRD36BP1	216.0322
ANKRD36B	8.6798	ANKRD36B	76.7564
ANKRD36	71.7222	ANKRD36	276.6945
ANKRD37	62.4029	ANKRD37	113.6521
ANKRD39	140.2467	ANKRD39	84.8035
ANKRD40	1363.1795	ANKRD40	1628.598
ANKRD42	333.9424	ANKRD42	329.6193
ANKRD43	451.8045	ANKRD43	71.4949
ANKRD44	113.7506	ANKRD44	101.2071
ANKRD45	7.3093	ANKRD45	23.8316
ANKRD46	784.148	ANKRD46	617.8025
ANKRD49	296.4824	ANKRD49	335.4998
ANKRD50	896.2997	ANKRD50	1307.9542
ANKRD52	1473.2755	ANKRD52	1609.7184
removed	removed	ANKRD53	38.3782
ANKRD54	443.5815	ANKRD54	344.7849
ANKRD55	10.5071	removed	removed
ANKRD56	70.8086	ANKRD56	92.8505
