gene_id	TCGA-BH-A1FC-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FC-11A-32R-A13Q-07
AMACR	161.8242	AMACR	297.0414
AMBRA1	520.1912	AMBRA1	705.9172
AMD1	2487.9735	AMD1	2091.1243
AMDHD1	6.473	AMDHD1	24.2604
AMDHD2	134.7731	AMDHD2	165.8462
AMFR	1632.9533	AMFR	3886.3905
AMH	22.6554	AMH	7.1006
AMICA1	203.0158	AMICA1	205.9172
AMIGO1	80.3236	AMIGO1	151.4793
AMIGO2	186.5392	AMIGO2	2492.3077
AMIGO3	70.0257	AMIGO3	75.1479
AMMECR1L	911.8058	AMMECR1L	810.6509
AMMECR1	366.8996	AMMECR1	217.1598
AMN1	81.2063	AMN1	247.3373
AMOTL1	885.3255	AMOTL1	1803.5503
AMOTL2	1935.7117	AMOTL2	3966.2722
AMOT	1076.8665	AMOT	746.1538
AMPD1	60.0221	AMPD1	13.6095
AMPD2	689.0769	AMPD2	494.0828
AMPD3	132.9901	AMPD3	164.497
AMPH	27.6572	AMPH	46.7456
AMTN	48.253	removed	removed
AMT	59.6102	AMT	205.8462
AMY1A	7.0614	AMY1A	13.0178
AMY2B	51.2188	AMY2B	293.7278
AMZ1	8.5325	removed	removed
AMZ2P1	120.3384	AMZ2P1	230.1775
AMZ2	1416.6973	AMZ2	1128.4024
ANAPC10	204.4869	ANAPC10	146.7456
ANAPC11	1783.0085	ANAPC11	781.0651
ANAPC13	854.1464	ANAPC13	1487.0769
ANAPC16	1374.623	ANAPC16	2759.1716
ANAPC1	840.6032	ANAPC1	568.6391
ANAPC2	965.3549	ANAPC2	555.6213
ANAPC4	604.3398	ANAPC4	564.497
ANAPC5	2603.0158	ANAPC5	1788.1657
ANAPC7	1760.3531	ANAPC7	862.1302
ANGEL1	389.555	ANGEL1	579.8817
ANGEL2	355.719	ANGEL2	717.7515
ANGPT1	33.5417	ANGPT1	556.8047
ANGPT2	79.441	ANGPT2	633.1361
removed	removed	ANGPT4	19.5266
ANGPTL1	9.7095	ANGPTL1	668.0473
ANGPTL2	518.7201	ANGPTL2	3638.4615
ANGPTL4	38.5436	ANGPTL4	1544.3787
removed	removed	ANGPTL5	14.2012
ANGPTL6	6.5642	removed	removed
removed	removed	ANGPTL7	172.7811
ANG	114.5862	ANG	352.1124
ANK1	25.3034	ANK1	49.1124
ANK2	35.8955	ANK2	1425.4438
ANK3	584.0382	ANK3	884.0237
ANKAR	23.8323	ANKAR	44.3787
ANKDD1A	48.5473	ANKDD1A	336.6864
ANKFY1	1518.7937	ANKFY1	2100
ANKHD1-EIF4EBP3	335.6705	ANKHD1-EIF4EBP3	1024.9408
ANKHD1	2043.9573	ANKHD1	1650.1775
ANKH	1148.3634	ANKH	1636.6864
ANKIB1	1892.4605	ANKIB1	1239.0533
removed	removed	ANKK1	16.568
ANKLE1	157.4108	ANKLE1	5.3254
ANKLE2	2500.6252	ANKLE2	1504.7337
ANKMY1	156.5281	ANKMY1	210.6509
ANKMY2	173.0048	ANKMY2	548.5207
ANKRA2	152.1147	ANKRA2	262.1302
ANKRD10	923.516	ANKRD10	1479.2899
ANKRD11	1451.7749	ANKRD11	1733.9763
ANKRD12	2201.6918	ANKRD12	1440.2367
ANKRD13A	1221.3314	ANKRD13A	1365.6805
ANKRD13B	747.6278	ANKRD13B	73.9645
ANKRD13C	475.7631	ANKRD13C	649.7041
ANKRD13D	822.0669	ANKRD13D	374.5562
ANKRD16	395.1011	ANKRD16	149.1124
ANKRD17	2734.2405	ANKRD17	2030.7692
ANKRD19	26.1861	ANKRD19	24.8521
ANKRD1	301.2872	ANKRD1	6.5089
ANKRD20A3	187.1276	ANKRD20A3	15.9763
ANKRD20B	46.7819	removed	removed
ANKRD22	179.772	ANKRD22	97.0414
ANKRD23	30.8937	ANKRD23	19.5266
removed	removed	ANKRD24	18.9349
ANKRD26	390.7319	ANKRD26	215.9763
ANKRD27	4308.3487	ANKRD27	692.3077
ANKRD28	2309.0842	ANKRD28	1590.5325
ANKRD29	77.6756	ANKRD29	373.3728
removed	removed	ANKRD30A	579.8817
removed	removed	ANKRD30B	124.8521
ANKRD32	196.2486	ANKRD32	146.7456
ANKRD34A	6.1787	ANKRD34A	17.1598
removed	removed	ANKRD34C	8.284
ANKRD35	11.1806	ANKRD35	97.0414
ANKRD36BP1	211.2541	ANKRD36BP1	99.4083
ANKRD36B	59.1394	ANKRD36B	22.4852
ANKRD36	283.3395	ANKRD36	220.1183
ANKRD37	80.3619	ANKRD37	106.8402
ANKRD39	200.662	ANKRD39	99.4083
ANKRD40	1654.1376	ANKRD40	2492.8994
ANKRD42	60.0221	ANKRD42	292.8994
ANKRD43	8.2383	ANKRD43	205.9172
ANKRD44	83.8544	ANKRD44	58.5799
ANKRD45	45.8992	ANKRD45	13.6095
ANKRD46	702.0552	ANKRD46	568.6391
ANKRD49	323.6484	ANKRD49	293.4911
ANKRD50	1283.7072	ANKRD50	925.4438
ANKRD52	1580.5811	ANKRD52	908.284
removed	removed	ANKRD53	52.6627
ANKRD54	371.9014	ANKRD54	387.574
ANKRD56	16.1824	ANKRD56	53.2544
ANKRD57	827.6572	ANKRD57	779.8817
ANKRD58	51.4895	ANKRD58	10.0592
ANKRD5	132.4016	ANKRD5	175.7396
ANKRD6	121.1122	ANKRD6	245.3136
