gene_id	TCGA-A7-A0DB-01A-11R-A00Z-07	gene_id	TCGA-A7-A0DB-11A-33R-A089-07
ANGEL2	943.3854	ANGEL2	531.9588
ANGPT1	75.8693	ANGPT1	662.3711
ANGPT2	169.7481	ANGPT2	446.9072
removed	removed	ANGPT4	21.134
ANGPTL1	53.645	ANGPTL1	596.3918
ANGPTL2	1319.2835	ANGPTL2	8054.6392
ANGPTL4	308.8418	ANGPTL4	2555.1546
removed	removed	ANGPTL5	188.6598
ANGPTL6	5.8052	removed	removed
ANGPTL7	11.8785	ANGPTL7	7.732
ANG	377.6262	ANG	600.4485
ANK1	5.3645	ANK1	113.4021
ANK2	252.1314	ANK2	2803.0928
ANK3	1535.3961	ANK3	82.9897
ANKAR	17.243	ANKAR	41.7526
ANKDD1A	52.8786	ANKDD1A	181.4433
ANKFY1	1915.8923	ANKFY1	2555.1546
ANKHD1-EIF4EBP3	1759.2375	ANKHD1-EIF4EBP3	857.4794
ANKHD1	3033.1449	ANKHD1	1565.4588
ANKH	1170.6102	ANKH	2396.3918
ANKIB1	1479.8352	ANKIB1	1470.6186
ANKK1	19.9253	removed	removed
ANKLE2	1299.3582	ANKLE2	1431.9588
ANKMY1	395.8234	ANKMY1	122.1649
ANKMY2	753.3289	ANKMY2	533.5052
ANKRA2	498.132	ANKRA2	205.1546
ANKRD10	1481.1534	ANKRD10	1231.2423
ANKRD11	916.1529	ANKRD11	2005.4536
ANKRD12	1306.6386	ANKRD12	1294.3299
ANKRD13A	724.9737	ANKRD13A	986.0825
ANKRD13B	77.0189	ANKRD13B	297.9381
ANKRD13C	467.4777	ANKRD13C	661.8557
ANKRD13D	344.8606	ANKRD13D	288.1443
ANKRD16	138.9597	ANKRD16	92.4021
ANKRD17	2569.978	ANKRD17	2433.5052
ANKRD19	82.3834	ANKRD19	71.6495
ANKRD20A3	5.3645	ANKRD20A3	11.3402
ANKRD22	18.7757	ANKRD22	11.3402
ANKRD23	12.6449	ANKRD23	11.8557
ANKRD24	36.7851	ANKRD24	20.6186
ANKRD26	254.4305	ANKRD26	163.9175
ANKRD27	789.7308	ANKRD27	802.0619
ANKRD28	2029.3132	ANKRD28	1049.4845
ANKRD29	88.5142	ANKRD29	329.8969
removed	removed	ANKRD2	10.8247
ANKRD30A	772.1046	removed	removed
ANKRD30B	423.029	removed	removed
ANKRD32	198.1033	ANKRD32	72.6804
ANKRD34A	42.916	ANKRD34A	14.9485
removed	removed	ANKRD34C	10.3093
ANKRD35	54.0282	ANKRD35	201.5464
ANKRD36BP1	117.6358	ANKRD36BP1	111.8557
ANKRD36B	13.0281	ANKRD36B	6.701
ANKRD36	67.4394	ANKRD36	121.134
ANKRD37	67.7076	ANKRD37	56.4897
ANKRD39	107.29	ANKRD39	91.7526
ANKRD40	956.4134	ANKRD40	2937.6289
ANKRD42	375.8981	ANKRD42	175.2577
ANKRD43	441.8048	ANKRD43	21.134
ANKRD44	49.8132	ANKRD44	125.2577
removed	removed	ANKRD45	6.701
ANKRD46	381.6687	ANKRD46	642.7835
ANKRD49	209.5986	ANKRD49	194.3299
ANKRD50	2109.0143	ANKRD50	865.9794
ANKRD52	1059.4885	ANKRD52	1120.6186
ANKRD53	15.7103	ANKRD53	175.2577
ANKRD54	197.7201	ANKRD54	244.8454
ANKRD55	5.3645	removed	removed
ANKRD56	152.8882	removed	removed
ANKRD57	887.8245	ANKRD57	380.9278
ANKRD58	21.458	ANKRD58	12.8866
ANKRD5	378.9635	ANKRD5	127.8351
ANKRD6	169.407	ANKRD6	198.268
ANKRD9	109.589	ANKRD9	62.3711
ANKS1A	810.0393	ANKS1A	996.3918
ANKS1B	79.3179	ANKS1B	6.701
ANKS3	247.9165	ANKS3	122.1649
