gene_id	TCGA-E2-A1LB-01A-11R-A144-07	gene_id	TCGA-E2-A1LB-11A-22R-A144-07
ALDH5A1	381.8937	ALDH5A1	848.8324
ALDH6A1	912.4655	ALDH6A1	579.5002
ALDH7A1	6592.3846	ALDH7A1	5234.3302
ALDH8A1	33.2472	ALDH8A1	23.3511
ALDH9A1	6079.7484	ALDH9A1	4984.8423
ALDOA	27508.4803	ALDOA	10684.9652
ALDOC	39.0879	ALDOC	726.7513
ALG10B	260.137	ALG10B	411.3068
ALG10	191.8454	ALG10	129.8648
ALG11	16.6236	ALG11	9.0127
ALG12	1089.9697	ALG12	617.7796
ALG13	588.5657	ALG13	458.4187
ALG14	408.4017	ALG14	145.8419
removed	removed	ALG1L	6.8374
ALG1	966.5865	ALG1	453.7485
ALG2	849.152	ALG2	850.0615
ALG3	1181.6242	ALG3	612.4539
ALG5	977.1987	ALG5	470.7087
ALG6	611.03	ALG6	327.3249
ALG8	1508.2556	ALG8	603.4412
ALG9	805.5712	ALG9	577.6321
ALKBH1	342.8058	ALKBH1	246.2106
ALKBH2	177.019	ALKBH2	476.8537
ALKBH3	280.8042	ALKBH3	401.8845
ALKBH4	169.4171	ALKBH4	314.8832
ALKBH5	2161.4153	ALKBH5	2289.2667
ALKBH6	97.0459	ALKBH6	60.2212
ALKBH7	984.3873	ALKBH7	714.871
ALKBH8	168.4825	ALKBH8	291.6837
ALK	7.6379	ALK	5.3257
removed	removed	ALMS1P	7.374
ALMS1	491.969	ALMS1	738.6317
ALOX12P2	41.7837	ALOX12P2	23.3511
removed	removed	ALOX12	8.2057
ALOX15B	84906.6607	ALOX15B	397.3781
ALOX15	14.3772	removed	removed
ALOX5AP	309.1093	ALOX5AP	86.44
ALOX5	228.2377	ALOX5	372.3884
removed	removed	ALOXE3	8.603
ALPK1	139.2789	ALPK1	483.4084
ALPK2	106.9302	ALPK2	47.5215
ALPK3	1045.041	ALPK3	133.1422
ALPL	96.5967	ALPL	1467.841
ALS2CL	132.5396	ALS2CL	444.0803
ALS2CR4	367.0673	ALS2CR4	1630.0696
ALS2CR8	85.8138	ALS2CR8	280.6227
ALS2	432.2139	ALS2	740.2704
ALX3	8.0872	ALX3	51.2085
removed	removed	ALX4	60.2212
AMACR	2020.8918	AMACR	228.5948
AMBP	108.2781	AMBP	20.0737
AMBRA1	935.415	AMBRA1	1145.4322
AMD1	1450.2348	AMD1	1892.5768
AMDHD1	22.9136	AMDHD1	23.7608
AMDHD2	347.9322	AMDHD2	218.2384
AMFR	3867.0111	AMFR	2867.2675
AMH	6.7393	removed	removed
AMICA1	27.8558	AMICA1	44.6538
AMIGO1	88.0602	AMIGO1	216.7145
AMIGO2	177.4683	AMIGO2	3541.9869
AMIGO3	252.9484	AMIGO3	75.3789
AMMECR1L	543.637	AMMECR1L	1010.2417
AMMECR1	504.0997	AMMECR1	216.3048
AMN1	223.7448	AMN1	197.8697
AMOTL1	553.5213	AMOTL1	2846.3744
AMOTL2	841.0648	AMOTL2	2028.2671
AMOT	345.9508	AMOT	1747.6444
removed	removed	AMPD1	25.3994
AMPD2	375.1544	AMPD2	950.4302
AMPD3	151.4096	AMPD3	161.8189
AMPH	35.4937	AMPH	45.0635
AMTN	8.5364	removed	removed
AMT	23.0888	AMT	166.3826
AMY1A	11.6815	AMY1A	19.6641
AMY2A	8.5364	removed	removed
AMY2B	299.6788	AMY2B	256.0959
AMZ2P1	122.6553	AMZ2P1	158.9512
