gene_id	TCGA-GI-A2C9-01A-11R-A21T-07	gene_id	TCGA-GI-A2C9-11A-22R-A21T-07
AIFM3	60.7781	AIFM3	14.9539
AIG1	637.5021	AIG1	738.4664
AIM1L	27.3835	removed	removed
AIM1	3039.5725	AIM1	2611.5177
AIM2	18.0331	AIM2	9.2269
AIMP1	1285.7405	AIMP1	1112.8476
AIMP2	428.8963	AIMP2	253.7926
AIP	1183.837	AIP	1006.6815
AJAP1	8.0147	AJAP1	17.8174
AK1	456.1696	AK1	545.3388
AK2	2986.1413	AK2	1856.1884
AK3L1	289.5308	AK3L1	338.5301
AK3	1243.6133	AK3	1820.2354
AK5	102.5213	AK5	1216.672
AK7	28.0514	AK7	34.6802
AKAP10	312.5731	AKAP10	524.3398
AKAP11	1665.3865	AKAP11	2251.9885
AKAP12	492.5697	AKAP12	4412.9812
AKAP13	2863.5832	AKAP13	5108.8132
AKAP1	6179.9967	AKAP1	2064.9061
AKAP2	305.4967	AKAP2	2047.2797
AKAP3	41.4093	AKAP3	30.8622
AKAP5	53.0973	AKAP5	37.5437
AKAP6	67.791	AKAP6	254.2157
AKAP7	149.2737	AKAP7	156.2202
removed	removed	AKAP8L	876.5511
AKAP8	750.3757	AKAP8	769.6468
AKAP9	1700.4508	AKAP9	2800.1909
AKD1	109.8681	AKD1	133.3121
AKIRIN1	1635.9993	AKIRIN1	2220.1718
AKIRIN2	570.379	AKIRIN2	755.3293
removed	removed	AKNAD1	6.3633
AKNA	628.8195	AKNA	871.1422
AKR1A1	1828.6859	AKR1A1	1543.1117
removed	removed	AKR1B10	7.636
removed	removed	AKR1B15	8.2724
AKR1B1	918.6843	AKR1B1	1036.5892
AKR1C1	65.7873	AKR1C1	1444.4798
AKR1C2	18.701	AKR1C2	878.4601
AKR1C3	222.0738	AKR1C3	1601.0181
AKR1E2	168.6425	AKR1E2	59.1791
AKR7A2	482.2174	AKR7A2	242.7617
AKR7A3	30.389	AKR7A3	48.6796
AKR7L	21.0386	AKR7L	41.9981
AKT1S1	1054.934	AKT1S1	691.6958
AKT1	2680.2471	AKT1	2879.4146
AKT2	2129.2369	AKT2	1990.7731
AKT3	5017.1982	AKT3	1545.657
AKTIP	887.9479	AKTIP	595.8097
ALAD	793.7886	ALAD	1615.0175
ALAS1	926.365	ALAS1	987.9096
removed	removed	ALAS2	13.9994
ALB	5.3431	ALB	279.6691
ALCAM	791.451	ALCAM	2359.5291
ALDH16A1	452.1623	ALDH16A1	637.6074
ALDH18A1	3560.5276	ALDH18A1	1436.8438
ALDH1A1	114.2094	ALDH1A1	2646.8342
ALDH1A2	9.6844	ALDH1A2	340.4391
ALDH1A3	1102.9788	ALDH1A3	4446.1343
ALDH1B1	4787.1097	ALDH1B1	573.3376
ALDH1L1	55.7689	ALDH1L1	204.2634
ALDH1L2	1235.9325	ALDH1L2	268.2151
ALDH2	1413.2576	ALDH2	3608.0178
ALDH3A1	15.6954	ALDH3A1	57.2701
ALDH3A2	1960.5944	ALDH3A2	2061.0881
ALDH3B1	203.7068	ALDH3B1	174.0375
ALDH3B2	223.0756	ALDH3B2	362.0745
ALDH4A1	310.5694	ALDH4A1	771.874
ALDH5A1	612.7901	ALDH5A1	479.7964
ALDH6A1	306.2882	ALDH6A1	337.5374
ALDH7A1	1291.7015	ALDH7A1	1654.7884
ALDH8A1	29.7212	ALDH8A1	17.181
ALDH9A1	3091.6681	ALDH9A1	2440.0255
ALDOA	9939.5559	ALDOA	9001.5908
ALDOB	20.0367	removed	removed
ALDOC	158.6241	ALDOC	538.021
ALG10B	197.0279	ALG10B	372.8921
ALG10	199.0316	ALG10	99.9045
ALG11	14.3597	ALG11	7.3178
ALG12	904.9925	ALG12	432.7076
ALG13	340.9584	ALG13	545.9752
ALG14	198.6976	ALG14	146.9933
removed	removed	ALG1L	6.6465
ALG1	589.257	ALG1	349.7486
ALG2	760.728	ALG2	873.6876
ALG3	1703.7903	ALG3	376.7101
ALG5	730.339	ALG5	514.4766
ALG6	637.836	ALG6	345.5297
ALG8	694.9407	ALG8	496.9774
ALG9	564.0341	ALG9	447.6615
ALKBH1	148.9397	ALKBH1	194.7184
ALKBH2	280.5143	ALKBH2	285.078
ALKBH3	339.9566	ALKBH3	339.8027
ALKBH4	198.2568	ALKBH4	140.6268
ALKBH5	2006.2147	ALKBH5	2013.9644
ALKBH6	95.5084	ALKBH6	80.4963
ALKBH7	698.6141	ALKBH7	361.4381
ALKBH8	246.4518	ALKBH8	212.2176
removed	removed	ALK	12.4085
ALMS1	677.5756	ALMS1	697.1047
ALOX12B	15.3548	removed	removed
ALOX12P2	43.079	ALOX12P2	20.6809
ALOX15B	50.7597	ALOX15B	62.9971
removed	removed	ALOX15	5.4088
ALOX5AP	470.5293	ALOX5AP	366.847
ALOX5	464.5183	ALOX5	778.5555
ALOXE3	20.7046	ALOXE3	5.4088
ALPK1	505.5936	ALPK1	627.426
ALPK2	56.1029	ALPK2	56.6338
ALPK3	78.1433	ALPK3	186.7642
ALPL	421.1054	ALPL	1538.3392
ALS2CL	227.7509	ALS2CL	552.6567
removed	removed	ALS2CR11	10.4995
removed	removed	ALS2CR12	8.5905
ALS2CR4	1031.2239	ALS2CR4	1294.623
ALS2CR8	89.4974	ALS2CR8	239.2619
ALS2	809.1501	ALS2	688.5142
ALX1	46.7524	removed	removed
ALX3	25.3799	ALX3	32.1349
ALX4	13.3578	ALX4	26.7261
AMACR	172.3159	AMACR	198.8546
removed	removed	AMBP	6.0452
AMBRA1	843.5465	AMBRA1	761.0563
AMD1	4653.1975	AMD1	2745.5775
removed	removed	AMDHD1	19.09
AMDHD2	262.4178	AMDHD2	207.5469
AMFR	2917.3485	AMFR	2461.6608
AMH	7.6807	removed	removed
AMICA1	61.446	AMICA1	148.5842
AMIGO1	97.5121	AMIGO1	157.1747
AMIGO2	229.4206	AMIGO2	1777.2829
AMIGO3	52.7634	AMIGO3	61.7245
AMMECR1L	781.4326	AMMECR1L	987.2733
AMMECR1	421.4393	AMMECR1	316.2584
AMN1	383.3695	AMN1	183.5826
AMN	31.0569	removed	removed
AMOTL1	1609.9516	AMOTL1	2155.2657
AMOTL2	976.7908	AMOTL2	4726.6942
AMOT	776.7574	AMOT	1091.9504
removed	removed	AMPD1	30.5441
AMPD2	1056.9377	AMPD2	788.7369
AMPD3	253.1307	AMPD3	189.9459
removed	removed	AMPH	99.5864
AMTN	844.2144	removed	removed
AMT	48.5891	AMT	227.0029
AMY1A	104.525	AMY1A	51.8613
AMY2B	173.9689	AMY2B	328.0178
AMZ1	14.3597	AMZ1	5.4088
AMZ2P1	223.7435	AMZ2P1	154.6293
AMZ2	1590.9167	AMZ2	824.0535
ANAPC10	128.2351	ANAPC10	146.357
ANAPC11	1962.932	ANAPC11	690.4232
ANAPC13	1424.388	ANAPC13	1282.1349
ANAPC16	2302.5547	ANAPC16	2580.0191
ANAPC1	546.6689	ANAPC1	657.9701
ANAPC2	366.3383	ANAPC2	782.0554
ANAPC4	377.0245	ANAPC4	684.378
ANAPC5	1715.1444	ANAPC5	2177.8556
ANAPC7	779.429	ANAPC7	814.1903
ANGEL1	367.6741	ANGEL1	700.9227
ANGEL2	800.1336	ANGEL2	748.966
ANGPT1	264.8188	ANGPT1	360.4836
ANGPT2	292.8703	ANGPT2	808.4633
removed	removed	ANGPT4	25.4534
ANGPTL1	40.0735	ANGPTL1	853.3248
ANGPTL2	718.3169	ANGPTL2	5266.9424
ANGPTL4	429.7879	ANGPTL4	1320.0764
ANGPTL5	6.011	ANGPTL5	36.2711
ANGPTL7	22.0404	ANGPTL7	52.4976
ANG	450.1152	ANG	392.3672
removed	removed	ANK1	33.0894
ANK2	429.1201	ANK2	1848.5523
ANK3	557.6891	ANK3	1500.4773
ANKAR	50.7597	ANKAR	51.2249
ANKDD1A	95.8424	ANKDD1A	124.7216
removed	removed	ANKFN1	6.3633
ANKFY1	1365.1695	ANKFY1	1915.6857
ANKHD1-EIF4EBP3	545.7005	ANKHD1-EIF4EBP3	1196.2711
ANKHD1	1435.0175	ANKHD1	2150.5313
ANKH	3140.0902	ANKH	1479.4782
ANKIB1	1875.7722	ANKIB1	1328.6669
ANKK1	9.3505	ANKK1	43.5889
ANKLE1	39.6828	ANKLE1	19.7264
ANKLE2	1300.718	ANKLE2	1745.4661
ANKMY1	115.5452	ANKMY1	233.853
ANKMY2	290.5326	ANKMY2	647.1524
ANKRA2	125.5635	ANKRA2	319.44
ANKRD10	1241.6096	ANKRD10	1668.6255
ANKRD11	4089.6878	ANKRD11	2850.0159
ANKRD12	1725.1628	ANKRD12	2152.7203
ANKRD13A	638.17	ANKRD13A	1176.2647
ANKRD13B	211.0536	ANKRD13B	182.9462
ANKRD13C	649.8581	ANKRD13C	652.2431
ANKRD13D	627.1498	ANKRD13D	711.4222
ANKRD16	409.6744	ANKRD16	223.9898
ANKRD17	4671.5645	ANKRD17	3120.2673
ANKRD19	37.7358	ANKRD19	40.0891
ANKRD1	6.6789	removed	removed
ANKRD20A3	11.6881	ANKRD20A3	21.6354
ANKRD20B	7.0129	ANKRD20B	7.3178
ANKRD22	63.4497	ANKRD22	48.9978
ANKRD23	22.3744	ANKRD23	37.2256
ANKRD24	8.3486	ANKRD24	18.4537
ANKRD26	192.3526	ANKRD26	337.5756
ANKRD27	1184.171	ANKRD27	917.5947
ANKRD28	1291.0336	ANKRD28	1431.4349
ANKRD29	18.367	ANKRD29	252.943
removed	removed	ANKRD2	6.6815
removed	removed	ANKRD30A	421.2536
removed	removed	ANKRD30B	14.9539
ANKRD32	89.4974	ANKRD32	180.4009
