gene_id	TCGA-BH-A1F2-01A-31R-A13Q-07	gene_id	TCGA-BH-A1F2-11A-32R-A13Q-07
AMDHD2	57.7809	AMDHD2	161.0041
AMFR	1811.6908	AMFR	2713.4486
AMICA1	36.992	AMICA1	195.0373
AMIGO1	44.3293	AMIGO1	141.7927
AMIGO2	2748.7196	AMIGO2	2098.8208
AMIGO3	40.6606	AMIGO3	60.1895
AMMECR1L	1009.4842	AMMECR1L	974.8969
AMMECR1	920.2142	AMMECR1	181.7261
AMN1	433.2038	AMN1	157.7082
AMOTL1	1114.6515	AMOTL1	3240.9752
AMOTL2	2042.203	AMOTL2	7089.0545
AMOT	2007.6567	AMOT	1435.5784
removed	removed	AMPD1	49.4827
AMPD2	233.2636	AMPD2	692.7584
AMPD3	216.7548	AMPD3	149.6057
AMPH	126.5677	AMPH	56.7171
AMTN	6.1144	removed	removed
AMT	29.6609	AMT	215.03
removed	removed	AMY1A	144.9758
AMY2B	138.4082	AMY2B	401.5221
AMZ1	29.6547	removed	removed
AMZ2P1	322.8393	AMZ2P1	244.2306
AMZ2	2813.2263	AMZ2	1375.3888
ANAPC10	173.3427	ANAPC10	125.2984
ANAPC11	472.3359	ANAPC11	563.1194
ANAPC13	1848.9886	ANAPC13	926.9073
ANAPC16	1943.4557	ANAPC16	2473.2692
ANAPC1	1171.2095	ANAPC1	880.272
ANAPC2	300.5218	ANAPC2	659.4806
ANAPC4	525.2253	ANAPC4	616.6534
ANAPC5	1962.716	ANAPC5	2033.4226
ANAPC7	1411.5047	ANAPC7	626.2027
ANGEL1	391.0146	ANGEL1	583.3755
ANGEL2	1330.1834	ANGEL2	723.432
ANGPT1	147.6623	ANGPT1	812.2694
ANGPT2	267.8099	ANGPT2	526.3691
removed	removed	ANGPT4	32.9885
ANGPTL1	319.1706	ANGPTL1	789.9877
ANGPTL2	2781.7373	ANGPTL2	6295.0156
ANGPTL4	114.0332	ANGPTL4	1165.0148
ANGPTL5	8.8659	ANGPTL5	11.8643
ANGPTL7	5.1972	ANGPTL7	70.8963
ANG	143.3822	ANG	656.6737
ANK1	6.7258	ANK1	34.146
ANK2	590.9548	ANK2	1171.0917
ANK3	1184.0497	ANK3	945.6703
ANKAR	20.7889	ANKAR	61.9258
ANKDD1A	49.2208	ANKDD1A	179.1218
removed	removed	ANKFN1	37.3291
ANKFY1	1683.9003	ANKFY1	2276.4957
ANKHD1-EIF4EBP3	311.4482	ANKHD1-EIF4EBP3	1004.9859
ANKHD1	1973.2786	ANKHD1	2869.108
ANKH	4281.9004	ANKH	1995.2253
ANKIB1	2061.4633	ANKIB1	1632.9306
removed	removed	ANKK1	40.8016
ANKLE1	5.8087	ANKLE1	10.128
ANKLE2	1522.1749	ANKLE2	1737.1048
ANKMY1	125.6505	ANKMY1	234.9707
ANKMY2	384.2888	ANKMY2	681.1835
ANKRA2	241.518	ANKRA2	322.0719
ANKRD10	1533.6486	ANKRD10	1317.9918
ANKRD11	667.3418	ANKRD11	3097.7472
ANKRD12	1910.7438	ANKRD12	2170.0065
ANKRD13A	1414.5619	ANKRD13A	1218.2594
ANKRD13B	532.5625	ANKRD13B	134.5583
ANKRD13C	2108.544	ANKRD13C	711.5677
ANKRD13D	253.7468	ANKRD13D	368.3716
ANKRD16	106.3566	ANKRD16	173.5918
ANKRD17	3210.0496	ANKRD17	3477.9715
ANKRD19	19.2603	ANKRD19	34.146
ANKRD1	45.2464	removed	removed
removed	removed	ANKRD20A3	13.0218
removed	removed	ANKRD20B	13.3111
ANKRD22	387.346	ANKRD22	33.2779
ANKRD23	8.5601	ANKRD23	35.0141
ANKRD24	5.1972	ANKRD24	29.2267
ANKRD26	327.1193	ANKRD26	377.6315
ANKRD27	1014.9871	ANKRD27	858.2797
ANKRD28	1907.9923	ANKRD28	1283.6577
ANKRD29	40.6606	ANKRD29	365.4778
removed	removed	ANKRD30A	370.6865
ANKRD30B	292.2674	ANKRD30B	19.388
removed	removed	ANKRD31	6.0768
ANKRD32	174.2598	ANKRD32	151.9207
ANKRD34A	59.0038	ANKRD34A	19.9667
ANKRD34B	141.5479	removed	removed
ANKRD35	25.069	ANKRD35	217.319
ANKRD36BP1	135.7392	ANKRD36BP1	196.1947
ANKRD36B	7.9487	ANKRD36B	83.05
ANKRD36	67.8696	ANKRD36	287.9259
ANKRD37	106.7387	ANKRD37	153.6049
ANKRD39	37.9092	ANKRD39	114.5916
ANKRD40	5267.8442	ANKRD40	2772.1913
ANKRD42	258.3326	ANKRD42	287.6365
ANKRD43	107.6131	ANKRD43	70.3176
ANKRD44	50.1379	ANKRD44	114.881
removed	removed	ANKRD45	9.5493
