gene_id	TCGA-BH-A0HA-01A-11R-A12P-07	gene_id	TCGA-BH-A0HA-11A-31R-A12P-07
AIFM3	41.169	AIFM3	12.571
AIG1	508.4077	AIG1	636.6586
AIM1L	69.1175	removed	removed
AIM1	766.7865	AIM1	2381.1841
AIM2	39.8933	removed	removed
AIMP1	1207.872	AIMP1	1455.7989
AIMP2	356.1869	AIMP2	248.605
AIP	1261.278	AIP	609.0835
AJAP1	12.9885	AJAP1	23.9254
AK1	1085.4691	AK1	248.1752
AK2	4072.3646	AK2	2057.1776
AK3L1	148.9041	AK3L1	658.5564
AK3	1333.6426	AK3	1750.2028
AK5	155.3984	AK5	1384.8337
AK7	7.8859	AK7	25.953
AKAP10	222.6603	AKAP10	756.2855
AKAP11	881.8277	AKAP11	2359.6918
AKAP12	749.1592	AKAP12	437.9562
AKAP13	2591.2096	AKAP13	5355.2311
AKAP1	620.2018	AKAP1	5007.2993
AKAP2	653.3921	AKAP2	1574.6513
AKAP3	30.1519	AKAP3	69.3431
AKAP5	172.5618	AKAP5	127.7372
AKAP6	22.7299	AKAP6	659.3674
AKAP7	87.2086	AKAP7	356.4477
AKAP8L	1321.1179	AKAP8L	904.2985
AKAP8	550.6204	AKAP8	1087.9968
AKAP9	955.5839	AKAP9	3865.7745
AKD1	75.6117	AKD1	187.3479
AKIRIN1	887.3942	AKIRIN1	1029.6026
AKIRIN2	684.2166	AKIRIN2	630.9813
AKNA	719.0073	AKNA	792.7818
AKR1A1	3641.888	AKR1A1	1431.8735
AKR1B15	8.3498	removed	removed
AKR1B1	883.2193	AKR1B1	703.5685
AKR1C1	57.0567	AKR1C1	60.0162
AKR1C2	47.7792	AKR1C2	13.7875
AKR1C3	948.6258	AKR1C3	208.4347
AKR1E2	17.6273	AKR1E2	56.7721
AKR7A2	1675.9828	AKR7A2	809.8135
AKR7A3	1786.3852	AKR7A3	59.2052
AKR7L	104.8359	AKR7L	22.3033
AKT1S1	1707.5264	AKT1S1	691.8086
AKT1	5131.8567	AKT1	2510.5434
AKT2	3346.863	AKT2	1826.0341
AKT3	531.6015	AKT3	698.2968
AKTIP	730.312	AKTIP	552.2749
ALAD	1018.671	ALAD	1480.9408
ALAS1	506.0884	ALAS1	609.4891
ALB	20.4105	ALB	385.6448
ALCAM	6937.7247	ALCAM	3454.1768
ALDH16A1	797.4023	ALDH16A1	310.219
ALDH18A1	2942.3634	ALDH18A1	1609.0835
ALDH1A1	761.22	ALDH1A1	379.9676
ALDH1A2	115.505	ALDH1A2	103.4063
ALDH1A3	386.3667	ALDH1A3	2526.6991
ALDH1B1	989.4468	ALDH1B1	446.8775
ALDH1L1	8.3498	ALDH1L1	130.5758
ALDH1L2	638.7568	ALDH1L2	393.3496
ALDH2	1091.9634	ALDH2	749.7972
removed	removed	ALDH3A1	70.1541
ALDH3A2	491.7082	ALDH3A2	1967.9643
ALDH3B1	168.3869	ALDH3B1	104.6229
ALDH3B2	1701.0321	ALDH3B2	398.2157
ALDH4A1	1308.1294	ALDH4A1	390.9165
removed	removed	ALDH5A1	679.2376
ALDH6A1	307.7908	ALDH6A1	439.4647
ALDH7A1	1894.4683	ALDH7A1	5388.0779
removed	removed	ALDH8A1	16.6261
ALDH9A1	2406.587	ALDH9A1	3494.7283
ALDOA	20602.1106	ALDOA	8696.6748
ALDOC	433.7238	ALDOC	675.588
ALG10B	281.5725	ALG10B	494.3228
ALG10	70.973	ALG10	111.9221
ALG11	15.7718	ALG11	12.9765
ALG12	666.5894	ALG12	436.3341
ALG13	398.0053	ALG13	607.056
ALG14	269.0479	ALG14	132.1979
ALG1	787.6609	ALG1	397.8629
ALG2	1117.4765	ALG2	718.1671
ALG3	1152.2672	ALG3	568.1265
ALG5	1121.6514	ALG5	495.9448
ALG6	257.451	ALG6	325.223
ALG8	967.6447	ALG8	607.867
ALG9	595.6164	ALG9	570.5596
ALKBH1	378.5226	ALKBH1	356.4477
ALKBH2	389.6556	ALKBH2	426.1963
ALKBH3	511.6549	ALKBH3	451.3382
ALKBH4	422.6047	ALKBH4	228.6659
ALKBH5	2277.5229	ALKBH5	1765.5677
ALKBH6	191.1168	ALKBH6	55.9611
ALKBH7	945.3786	ALKBH7	394.1606
ALKBH8	252.8122	ALKBH8	409.5702
removed	removed	ALMS1P	9.7324
ALMS1	800.6494	ALMS1	1190.5921
removed	removed	ALOX12B	5.6772
ALOX12P2	13.4524	ALOX12P2	82.7251
removed	removed	ALOX12	9.3633
ALOX15B	36.6462	ALOX15B	162.6115
ALOX15	19.9467	ALOX15	113.5442
ALOX5AP	195.7555	ALOX5AP	123.6821
ALOX5	221.2687	ALOX5	325.6285
ALOXE3	22.266	ALOXE3	28.7916
ALPK1	440.6819	ALPK1	1172.7494
ALPK2	82.106	ALPK2	6.8938
ALPK3	111.3302	ALPK3	60.0162
ALPL	251.8845	ALPL	821.9789
ALS2CL	131.7407	ALS2CL	465.1257
removed	removed	ALS2CR11	11.3544
ALS2CR4	510.7271	ALS2CR4	2394.5661
ALS2CR8	92.7751	ALS2CR8	472.425
ALS2	380.3781	ALS2	844.6878
ALX3	12.5246	ALX3	33.6577
removed	removed	ALX4	60.8273
AMAC1L3	7.422	removed	removed
AMACR	541.3429	AMACR	249.7972
removed	removed	AMBP	7.2993
AMBRA1	1334.5703	AMBRA1	1282.2384
AMD1	642.9317	AMD1	2062.4493
AMDHD1	9.2775	AMDHD1	34.8743
AMDHD2	276.006	AMDHD2	185.4177
AMFR	9332.7148	AMFR	2692.2141
removed	removed	AMH	5.2717
AMICA1	164.6759	AMICA1	175.1825
AMIGO1	48.2431	AMIGO1	160.9895
AMIGO2	839.615	AMIGO2	4064.0714
AMIGO3	125.7103	AMIGO3	49.4728
AMMECR1L	642.9317	AMMECR1L	1118.0049
AMMECR1	257.451	AMMECR1	218.1671
AMN1	398.9331	AMN1	259.1241
AMOTL1	552.0121	AMOTL1	4051.5004
AMOTL2	1556.3029	AMOTL2	3183.2928
AMOT	168.8507	AMOT	1560.0162
removed	removed	AMPD1	32.0357
AMPD2	638.2929	AMPD2	860.5028
AMPD3	300.5914	AMPD3	270.073
AMPH	463.4118	AMPH	19.8702
AMT	16.3748	AMT	346.6018
removed	removed	AMY1A	9.7324
removed	removed	AMY2A	6.0827
AMY2B	25.977	AMY2B	570.9854
AMZ1	166.5314	removed	removed
AMZ2P1	233.3295	AMZ2P1	228.3049
AMZ2	1510.3792	AMZ2	1002.0276
ANAPC10	182.767	ANAPC10	177.2101
ANAPC11	1696.3934	ANAPC11	366.9911
ANAPC13	2272.2765	ANAPC13	966.2328
ANAPC16	2059.1441	ANAPC16	2752.2303
ANAPC1	258.3788	ANAPC1	1020.2758
ANAPC2	652.6731	ANAPC2	725.0608
ANAPC4	434.1876	ANAPC4	771.2895
ANAPC5	2443.2332	ANAPC5	2904.704
ANAPC7	1046.5035	ANAPC7	923.3577
ANGEL1	296.8804	ANGEL1	703.163
ANGEL2	573.8142	ANGEL2	901.8654
ANGPT1	77.9311	ANGPT1	237.2263
ANGPT2	658.2396	ANGPT2	109.4891
removed	removed	ANGPT4	6.4882
ANGPTL1	76.0756	ANGPTL1	30.8191
ANGPTL2	2774.4404	ANGPTL2	1339.8216
ANGPTL4	69.5814	ANGPTL4	325.223
ANGPTL7	6.0304	ANGPTL7	51.9059
ANG	612.9514	ANG	259.4607
ANK1	26.9048	ANK1	5.2717
ANK2	225.4436	ANK2	160.9895
ANK3	494.4915	ANK3	1830.0892
ANKAR	22.266	ANKAR	100.5677
ANKDD1A	51.0263	ANKDD1A	83.9416
ANKFY1	1167.5751	ANKFY1	2103.0008
ANKHD1-EIF4EBP3	960.9695	ANKHD1-EIF4EBP3	924.3877
ANKHD1	2085.6036	ANKHD1	3860.7218
ANKH	1278.9053	ANKH	1373.0738
ANKIB1	1157.3698	ANKIB1	1486.2125
ANKK1	52.418	ANKK1	92.8629
removed	removed	ANKLE1	35.2798
ANKLE2	1394.4103	ANKLE2	1782.644
ANKMY1	216.1661	ANKMY1	383.6172
ANKMY2	249.5651	ANKMY2	737.6318
ANKRA2	294.5611	ANKRA2	454.1768
ANKRD10	1184.4184	ANKRD10	1350.661
ANKRD11	1842.7415	ANKRD11	3115.3974
ANKRD12	970.4279	ANKRD12	2211.2733
ANKRD13A	1068.7696	ANKRD13A	1769.262
ANKRD13B	162.8204	ANKRD13B	186.9424
ANKRD13C	556.6508	ANKRD13C	759.9351
ANKRD13D	634.5819	ANKRD13D	448.0941
ANKRD16	117.8244	ANKRD16	274.9067
ANKRD17	2042.4446	ANKRD17	5554.339
ANKRD19	115.0412	ANKRD19	41.3625
ANKRD1	6.0304	removed	removed
removed	removed	ANKRD20A3	54.339
removed	removed	ANKRD20A4	7.2993
removed	removed	ANKRD20B	19.4647
ANKRD22	237.0405	ANKRD22	48.6618
ANKRD23	16.2356	ANKRD23	75.8313
ANKRD24	33.399	ANKRD24	35.6853
ANKRD26	278.3254	ANKRD26	515.8151
ANKRD27	808.9992	ANKRD27	880.7786
ANKRD28	503.769	ANKRD28	1590.8354
ANKRD29	43.6043	ANKRD29	283.8605
ANKRD30A	1023.3098	ANKRD30A	550.6894
ANKRD30B	23.6577	ANKRD30B	24.7364
removed	removed	ANKRD31	15.0041
ANKRD32	102.5165	ANKRD32	278.9943
ANKRD34A	10.6691	ANKRD34A	24.7364
ANKRD35	40.3572	ANKRD35	194.6472
ANKRD36BP1	15.7718	ANKRD36BP1	263.1792
removed	removed	ANKRD36B	58.3942
ANKRD36	64.4787	ANKRD36	554.339
ANKRD37	154.7814	ANKRD37	97.5791
ANKRD39	172.5618	ANKRD39	95.7015
ANKRD40	1164.328	ANKRD40	1577.0479
ANKRD42	417.952	ANKRD42	263.1792
ANKRD43	24.1215	ANKRD43	19.8702
ANKRD44	21.8022	ANKRD44	140.3082
removed	removed	ANKRD45	10.5434
ANKRD46	467.5867	ANKRD46	605.7461
ANKRD49	357.6482	ANKRD49	377.94
ANKRD50	983.8803	ANKRD50	1554.339
ANKRD52	793.2274	ANKRD52	1330.0892
ANKRD53	12.9885	ANKRD53	32.4412
ANKRD54	459.2369	ANKRD54	346.3098
ANKRD56	44.9959	ANKRD56	81.103
ANKRD57	456.4537	ANKRD57	1111.5166
ANKRD58	16.6995	removed	removed
ANKRD5	440.218	ANKRD5	204.7851
ANKRD6	196.8039	ANKRD6	511.6383
ANKRD9	95.5584	ANKRD9	45.0122
ANKS1A	486.6056	ANKS1A	2034.0633
removed	removed	ANKS1B	123.6821
ANKS3	282.0364	ANKS3	319.9513
ANKS6	79.3227	ANKS6	154.5012
ANKZF1	304.7663	ANKZF1	1134.2255
ANLN	212.4551	ANLN	80.292
ANO10	699.9884	ANO10	675.9935
ANO1	3219.7611	ANO1	15148.013
ANO2	35.2546	ANO2	17.0316
