gene_id	TCGA-BH-A0BT-01A-11R-A12P-07	gene_id	TCGA-BH-A0BT-11A-21R-A12P-07
removed	removed	ALK	26.093
ALMS1	652.6749	ALMS1	762.3177
removed	removed	ALOX12P2	44.5589
ALOX15B	14299.0264	ALOX15B	511.4232
ALOX15	537.2489	ALOX15	40.946
ALOX5AP	277.2526	ALOX5AP	183.8554
ALOX5	164.1274	ALOX5	763.522
removed	removed	ALOXE3	24.0859
ALPK1	756.2133	ALPK1	989.5277
ALPK2	45.2501	ALPK2	13.6487
ALPK3	68.6421	ALPK3	114.8093
ALPL	570.6112	ALPL	790.4178
ALS2CL	185.2186	ALS2CL	234.8372
ALS2CR4	414.1533	ALS2CR4	1887.529
ALS2CR8	149.9388	ALS2CR8	253.303
ALS2	521.5264	ALS2	668.3828
ALX3	16.4894	ALX3	17.663
removed	removed	ALX4	23.6844
AMACR	403.0325	AMACR	381.3595
AMBP	40.6484	AMBP	15.6558
AMBRA1	1254.3477	AMBRA1	996.352
AMD1	833.2918	AMD1	2458.4363
removed	removed	AMDHD1	25.2902
AMDHD2	341.826	AMDHD2	159.9221
AMFR	3031.7556	AMFR	5278.819
AMH	13.0382	removed	removed
AMICA1	94.3349	AMICA1	81.4905
AMIGO1	29.1441	AMIGO1	169.4039
AMIGO2	243.1233	AMIGO2	3639.3744
AMIGO3	187.9029	AMIGO3	77.4762
AMMECR1L	525.3611	AMMECR1L	969.4561
AMMECR1	529.9628	AMMECR1	305.8905
AMN1	229.3182	AMN1	264.1417
AMOTL1	553.7383	AMOTL1	3053.6864
AMOTL2	2722.291	AMOTL2	2750.2045
AMOT	337.4582	AMOT	1307.0597
removed	removed	AMPD1	11.6415
AMPD2	1017.7434	AMPD2	657.5441
AMPD3	95.4853	AMPD3	224.4
AMPH	48.3179	AMPH	27.2973
AMTN	8.4365	removed	removed
AMT	56.0564	AMT	171.1662
removed	removed	AMY1A	38.5374
AMY2B	86.6654	AMY2B	300.5274
AMZ1	225.1	AMZ1	31.7131
AMZ2P1	375.4223	AMZ2P1	288.2275
AMZ2	1893.6009	AMZ2	1180.2074
ANAPC10	130.7651	ANAPC10	137.6909
ANAPC11	1578.7677	ANAPC11	641.4869
ANAPC13	2313.8208	ANAPC13	1365.9576
ANAPC16	1940.3849	ANAPC16	2586.4206
ANAPC1	353.9477	ANAPC1	699.293
ANAPC2	559.8739	ANAPC2	634.2611
ANAPC4	439.0792	ANAPC4	594.9209
ANAPC5	2443.888	ANAPC5	2317.8632
ANAPC7	1645.8759	ANAPC7	961.0261
ANGEL1	905.3851	ANGEL1	703.7087
ANGEL2	684.8869	ANGEL2	775.9663
ANGPT1	47.9344	ANGPT1	69.4476
ANGPT2	171.4135	ANGPT2	182.6512
removed	removed	ANGPT4	5.2186
ANGPTL1	30.2945	ANGPTL1	130.8665
ANGPTL2	873.5567	ANGPTL2	1956.9766
ANGPTL4	90.1167	ANGPTL4	311.5105
removed	removed	ANGPTL7	433.1442
ANG	529.8631	ANG	527.2557
ANK1	15.7225	ANK1	10.4372
ANK2	84.3646	ANK2	335.9978
ANK3	613.9439	ANK3	1514.1981
ANKAR	22.2416	ANKAR	43.756
ANKDD1A	31.8284	ANKDD1A	78.6805
ANKFY1	1974.5142	ANKFY1	2006.7541
ANKHD1-EIF4EBP3	521.1276	ANKHD1-EIF4EBP3	1144.0827
ANKHD1	1079.4177	ANKHD1	2327.8709
ANKH	661.4949	ANKH	2759.8388
ANKIB1	1418.8585	ANKIB1	1307.0597
ANKK1	26.0763	ANKK1	55.7989
ANKLE1	5.7521	removed	removed
ANKLE2	1258.9494	ANKLE2	1607.3301
ANKMY1	184.0681	ANKMY1	199.1098
ANKMY2	261.1467	ANKMY2	812.0951
ANKRA2	166.0448	ANKRA2	375.7395
ANKRD10	1226.5073	ANKRD10	1567.187
ANKRD11	1265.5681	ANKRD11	2013.0044
ANKRD12	714.7979	ANKRD12	1142.0715
ANKRD13A	1084.4681	ANKRD13A	1382.5287
ANKRD13B	71.3264	ANKRD13B	94.7377
ANKRD13C	385.7761	ANKRD13C	586.4908
ANKRD13D	618.1622	ANKRD13D	354.4637
ANKRD16	224.6973	ANKRD16	148.9309
ANKRD17	1570.7148	ANKRD17	2893.5154
ANKRD19	39.498	ANKRD19	34.5231
ANKRD1	9.2034	removed	removed
ANKRD20A3	8.053	ANKRD20A3	21.2758
ANKRD20B	13.4216	ANKRD20B	8.0286
ANKRD22	453.2678	ANKRD22	101.9635
ANKRD23	30.2945	ANKRD23	28.1002
ANKRD24	15.339	ANKRD24	25.6916
ANKRD26	330.9392	ANKRD26	262.9374
ANKRD27	579.0477	ANKRD27	924.8973
ANKRD28	1567.2635	ANKRD28	1298.6296
ANKRD29	14.5721	ANKRD29	223.1957
removed	removed	ANKRD30A	916.8686
ANKRD30B	569.8443	ANKRD30B	136.0851
ANKRD32	52.1526	ANKRD32	116.0136
ANKRD34A	246.9581	ANKRD34A	21.6773
ANKRD35	21.8581	ANKRD35	133.6766
ANKRD36BP1	22.2416	ANKRD36BP1	149.3324
ANKRD36B	24.1589	ANKRD36B	42.9531
ANKRD36	120.7947	ANKRD36	218.3785
ANKRD37	105.0991	ANKRD37	121.0275
ANKRD39	118.4939	ANKRD39	111.9993
ANKRD40	1141.9894	ANKRD40	1620.9788
ANKRD42	348.1956	ANKRD42	378.951
ANKRD43	46.4005	ANKRD43	113.2036
ANKRD44	9.2034	ANKRD44	53.7918
removed	removed	ANKRD45	15.2544
ANKRD46	474.4049	ANKRD46	568.5348
ANKRD49	430.6427	ANKRD49	295.4533
ANKRD50	993.201	ANKRD50	1227.5763
ANKRD52	600.9058	ANKRD52	1385.7402
removed	removed	ANKRD53	29.7059
ANKRD54	401.4986	ANKRD54	454.0186
ANKRD56	102.3879	ANKRD56	195.4969
ANKRD57	813.3511	ANKRD57	859.464
ANKRD58	13.8051	ANKRD58	9.2329
ANKRD5	231.2356	ANKRD5	232.83
ANKRD6	59.7646	ANKRD6	306.7897
ANKRD9	115.4261	ANKRD9	37.3331
