gene_id	TCGA-E9-A1NG-01A-21R-A14M-07	gene_id	TCGA-E9-A1NG-11A-52R-A14M-07
AKAP10	574.2996	AKAP10	534.8837
AKAP11	1848.9647	AKAP11	2247.7639
AKAP12	1360.5359	AKAP12	9650.2683
AKAP13	3936.6626	AKAP13	4677.9964
AKAP1	1147.6857	AKAP1	2821.5564
AKAP2	1090.6547	AKAP2	3746.6592
AKAP3	13.0938	AKAP3	10.2862
AKAP5	132.1559	AKAP5	33.9893
AKAP6	64.2509	AKAP6	159.6601
AKAP7	109.0134	AKAP7	275.4919
AKAP8L	556.9428	AKAP8L	637.2987
AKAP8	459.8051	AKAP8	624.7764
AKAP9	2894.0317	AKAP9	1885.5098
AKD1	134.592	AKD1	144.0072
AKIRIN1	1033.8002	AKIRIN1	1530.4114
AKIRIN2	789.5859	AKIRIN2	944.5438
AKNA	527.4056	AKNA	951.6995
AKR1A1	2135.81	AKR1A1	1349.2844
AKR1B10	28.3191	removed	removed
removed	removed	AKR1B15	17.8891
AKR1B1	1242.6918	AKR1B1	1112.254
AKR1C1	103.8368	AKR1C1	7965.1163
AKR1C2	40.8039	AKR1C2	5535.3309
AKR1C3	520.4019	AKR1C3	3363.5957
AKR1E2	19.7929	AKR1E2	37.5671
AKR7A2	922.3508	AKR7A2	855.0984
AKR7A3	302.3752	AKR7A3	17.8891
AKR7L	20.7065	AKR7L	11.1807
AKT1S1	997.2594	AKT1S1	795.6172
AKT1	4017.3569	AKT1	3038.0143
AKT2	2073.3861	AKT2	3572.0036
AKT3	1245.1279	AKT3	1355.5456
AKTIP	609.7473	AKTIP	763.9088
ALAD	1661.3886	ALAD	3343.0233
ALAS1	935.4446	ALAS1	1301.8784
removed	removed	ALAS2	10.7335
removed	removed	ALB	47.4061
ALCAM	4606.8819	ALCAM	1521.4669
ALDH16A1	526.7966	ALDH16A1	519.678
ALDH18A1	3169.3057	ALDH18A1	1060.3757
ALDH1A1	91.6565	ALDH1A1	5041.1449
ALDH1A2	5.4811	ALDH1A2	562.1646
ALDH1A3	555.7339	ALDH1A3	2798.703
ALDH1B1	2213.7637	ALDH1B1	590.7871
ALDH1L1	8.2217	ALDH1L1	1196.3327
ALDH1L2	876.3703	ALDH1L2	385.0626
ALDH2	1988.4287	ALDH2	18653.8462
removed	removed	ALDH3A1	18.3363
ALDH3A2	1766.7479	ALDH3A2	4326.9231
ALDH3B1	377.2838	ALDH3B1	380.1431
ALDH3B2	1612.0585	ALDH3B2	157.424
ALDH4A1	363.581	ALDH4A1	2373.8819
ALDH5A1	306.6382	ALDH5A1	696.3327
ALDH6A1	507.4817	ALDH6A1	580.4964
ALDH7A1	1472.8989	ALDH7A1	1394.9016
ALDH8A1	6.3946	removed	removed
ALDH9A1	2172.6553	ALDH9A1	3600.6261
ALDOA	30668.6967	ALDOA	12877.0125
removed	removed	ALDOB	38.9088
ALDOC	482.3386	ALDOC	1149.8211
ALG10B	245.7369	ALG10B	242.8444
ALG10	118.1486	ALG10	86.3148
ALG11	25.5786	ALG11	14.3113
ALG12	318.2095	ALG12	313.5063
ALG13	412.9111	ALG13	448.5689
ALG14	236.6017	ALG14	226.7442
ALG1L	21.4312	removed	removed
ALG1	598.1456	ALG1	345.0045
ALG2	578.5627	ALG2	717.7996
ALG3	626.6748	ALG3	401.1628
ALG5	626.6748	ALG5	535.7782
ALG6	273.7515	ALG6	265.2057
ALG8	752.7406	ALG8	650.7156
ALG9	360.5359	ALG9	677.5492
ALKBH1	394.9452	ALKBH1	234.347
ALKBH2	202.1924	ALKBH2	186.941
ALKBH3	331.3033	ALKBH3	320.2147
ALKBH4	224.2418	ALKBH4	139.7227
ALKBH5	2443.3069	ALKBH5	2067.9383
ALKBH6	67.905	ALKBH6	55.4562
ALKBH7	425.0914	ALKBH7	300.9839
ALKBH8	245.1279	ALKBH8	308.5868
removed	removed	ALK	6.2612
ALMS1	758.8307	ALMS1	881.4848
removed	removed	ALOX12P2	9.3918
ALOX15B	329.4762	ALOX15B	9.3918
removed	removed	ALOX15	38.0143
ALOX5AP	1498.4775	ALOX5AP	639.9821
ALOX5	1475.944	ALOX5	472.2719
ALOXE3	15.5298	removed	removed
ALPK1	661.084	ALPK1	507.1556
ALPK2	501.218	ALPK2	49.6422
ALPK3	363.2765	ALPK3	524.5975
ALPL	42.6309	ALPL	1333.1843
ALS2CL	91.6565	ALS2CL	344.8122
removed	removed	ALS2CR11	18.3363
ALS2CR4	401.3398	ALS2CR4	899.3739
ALS2CR8	109.0134	ALS2CR8	177.102
ALS2	471.3764	ALS2	681.127
ALX3	6.3946	ALX3	25.0447
removed	removed	ALX4	10.2862
