gene_id	TCGA-BH-A18M-01A-11R-A12D-07	gene_id	TCGA-BH-A18M-11A-33R-A12D-07
ALKBH6	60.2392	ALKBH6	65.227
ALKBH7	382.372	ALKBH7	304.5394
ALKBH8	203.8582	ALKBH8	208.0212
ALMS1P	8.4482	ALMS1P	6.1701
ALMS1	1342.8932	ALMS1	883.6492
ALOX12P2	62.8104	ALOX12P2	24.2398
ALOX12	6.2663	removed	removed
ALOX15B	51.0564	ALOX15B	97.3997
ALOX15	5.877	ALOX15	9.2552
ALOX5AP	250.5069	ALOX5AP	245.0419
ALOX5	341.6003	ALOX5	441.6042
ALOXE3	35.262	ALOXE3	14.1031
ALPK1	625.8999	ALPK1	741.7364
ALPK2	87.053	ALPK2	13.2217
ALPK3	121.5803	ALPK3	324.8127
ALPL	288.34	ALPL	879.242
ALS2CL	153.5365	ALS2CL	337.1529
removed	removed	ALS2CR11	12.781
ALS2CR12	10.2847	ALS2CR12	6.1701
ALS2CR4	642.0616	ALS2CR4	1399.2948
ALS2CR8	180.3503	ALS2CR8	236.2274
ALS2	668.8754	ALS2	795.9454
ALX3	20.2022	ALX3	30.8506
ALX4	13.2232	ALX4	70.0749
AMACR	557.9472	AMACR	240.6346
AMBP	8.8155	AMBP	6.1701
AMBRA1	1564.0152	AMBRA1	993.3892
AMD1	1308.9867	AMD1	1798.647
AMDHD1	28.283	AMDHD1	10.1366
AMDHD2	235.6491	AMDHD2	185.7647
AMFR	6592.5186	AMFR	3820.6258
AMH	7.7136	removed	removed
AMICA1	178.881	AMICA1	317.7611
AMIGO1	67.9527	AMIGO1	112.825
AMIGO2	3062.2778	AMIGO2	2204.0502
AMIGO3	74.1971	AMIGO3	58.1754
AMMECR1L	870.1625	AMMECR1L	960.7757
AMMECR1	292.0132	AMMECR1	256.5007
AMN1	195.7774	AMN1	190.3922
AMOTL1	1940.5101	AMOTL1	2836.0511
AMOTL2	3208.1044	AMOTL2	4261.3486
AMOT	1015.2508	AMOT	1172.3226
AMPD1	8.0809	AMPD1	40.9872
AMPD2	676.2217	AMPD2	717.056
AMPD3	327.6424	AMPD3	262.6708
AMPH	226.6316	AMPH	113.7065
AMT	43.9379	AMT	238.5544
AMY2B	62.5606	AMY2B	294.9405
AMZ1	48.4852	AMZ1	17.1882
AMZ2P1	141.7825	AMZ2P1	168.7968
AMZ2	1379.2571	AMZ2	1052.0053
ANAPC10	142.5171	ANAPC10	105.3327
ANAPC11	716.9933	ANAPC11	582.6355
ANAPC13	1300.7148	ANAPC13	1062.587
ANAPC16	1926.1849	ANAPC16	1992.5077
ANAPC1	872.7337	ANAPC1	814.015
ANAPC2	627.3692	ANAPC2	751.8731
ANAPC4	437.8361	ANAPC4	540.7669
ANAPC5	2246.4811	ANAPC5	2036.58
ANAPC7	937.0133	ANAPC7	790.216
ANGEL1	394.8606	ANGEL1	620.097
ANGEL2	1077.3266	ANGEL2	807.8449
ANGPT1	56.1988	ANGPT1	645.2182
ANGPT2	214.8776	ANGPT2	766.8576
removed	removed	ANGPT4	54.2089
ANGPTL1	106.8878	ANGPTL1	771.2649
ANGPTL2	2335.0034	ANGPTL2	5869.9868
ANGPTL4	489.9944	ANGPTL4	1137.0648
removed	removed	ANGPTL5	5.2887
ANGPTL7	13.9579	ANGPTL7	411.1944
ANG	222.661	ANG	358.6029
ANK1	9.1828	ANK1	35.2578
ANK2	288.34	ANK2	917.5848
ANK3	1031.7798	ANK3	879.6827
ANKAR	29.385	ANKAR	39.6651
ANKDD1A	53.6276	ANKDD1A	263.9929
ANKFN1	33.4254	ANKFN1	5.7294
ANKFY1	2693.5	ANKFY1	2657.1177
ANKHD1-EIF4EBP3	1734.7639	ANKHD1-EIF4EBP3	1301.0004
ANKHD1	3284.902	ANKHD1	2512.9749
ANKH	1491.6547	ANKH	1925.9586
ANKIB1	1688.1667	ANKIB1	1454.3852
ANKK1	10.6521	ANKK1	32.1728
ANKLE1	7.3462	ANKLE1	11.851
ANKLE2	1360.8915	ANKLE2	1645.6589
ANKMY1	257.4858	ANKMY1	245.9233
ANKMY2	372.4545	ANKMY2	587.4835
ANKRA2	350.7831	ANKRA2	356.104
ANKRD10	1465.884	ANKRD10	1525.3416
ANKRD11	1502.1047	ANKRD11	2874.1384
ANKRD12	1620.2139	ANKRD12	1877.4791
ANKRD13A	1185.3163	ANKRD13A	1293.0807
ANKRD13B	243.1606	ANKRD13B	156.0159
ANKRD13C	561.9876	ANKRD13C	625.8264
ANKRD13D	621.1249	ANKRD13D	511.2384
ANKRD16	144.6071	ANKRD16	148.9643
ANKRD17	3487.2616	ANKRD17	3035.2578
ANKRD19	53.9949	ANKRD19	36.58
removed	removed	ANKRD1	5.7294
removed	removed	ANKRD20A3	10.1366
removed	removed	ANKRD20B	5.2887
ANKRD22	600.5554	ANKRD22	77.1265
ANKRD23	31.2215	ANKRD23	48.4795
ANKRD24	20.2022	ANKRD24	26.4434
ANKRD26	408.4511	ANKRD26	378.1401
ANKRD27	782.7422	ANKRD27	878.8012
ANKRD28	1483.5738	ANKRD28	1282.5033
ANKRD29	66.1162	ANKRD29	310.2688
ANKRD2	5.5097	removed	removed
ANKRD30A	1192.2953	ANKRD30A	714.4116
ANKRD30B	194.6754	ANKRD30B	73.16
ANKRD32	215.6122	ANKRD32	181.5778
ANKRD34A	11.3867	ANKRD34A	15.866
ANKRD34C	6.2443	removed	removed
ANKRD35	40.037	ANKRD35	169.6783
ANKRD36BP1	102.4801	ANKRD36BP1	159.5416
ANKRD36B	45.5467	ANKRD36B	92.5518
ANKRD36	135.1709	ANKRD36	208.9026
ANKRD37	42.9535	ANKRD37	193.1732
ANKRD39	141.4152	ANKRD39	109.74
ANKRD40	1266.8596	ANKRD40	2159.9824
ANKRD42	596.5149	ANKRD42	333.6271
ANKRD43	90.7261	ANKRD43	50.2424
ANKRD44	75.299	ANKRD44	114.5879
removed	removed	ANKRD45	9.2552
ANKRD46	375.8448	ANKRD46	605.0463
ANKRD49	369.1487	ANKRD49	252.9749
ANKRD50	3930.9747	ANKRD50	1394.4469
ANKRD52	1567.6883	ANKRD52	1533.7153
ANKRD53	12.8559	ANKRD53	48.4795
ANKRD54	325.4386	ANKRD54	368.0035
