gene_id	TCGA-BH-A0E1-01A-11R-A056-07	gene_id	TCGA-BH-A0E1-11A-13R-A089-07
ALG13	380.4878	ALG13	467.9079
ALG14	394.3453	ALG14	212.1509
removed	removed	ALG1L	22.3371
ALG1	752.4632	ALG1	469.2357
ALG2	778.0006	ALG2	873.5914
ALG3	667.5364	ALG3	660.4606
ALG5	1413.8627	ALG5	734.4439
ALG6	308.4287	ALG6	292.9936
ALG8	1297.0636	ALG8	872.1215
ALG9	947.4582	ALG9	609.5051
ALKBH1	298.1346	ALKBH1	358.1578
ALKBH2	283.0893	ALKBH2	596.2763
ALKBH3	220.9284	ALKBH3	564.4292
ALKBH4	226.2853	ALKBH4	381.852
ALKBH5	2730.3268	ALKBH5	2163.6453
ALKBH6	105.7131	ALKBH6	82.3126
ALKBH7	643.7806	ALKBH7	964.7232
ALKBH8	225.2836	ALKBH8	291.5238
ALMS1	960.9198	ALMS1	767.2709
ALOX12B	5.5272	removed	removed
ALOX12P2	8.3145	ALOX12P2	8.8192
removed	removed	ALOX12	9.3631
ALOX15B	35.6336	ALOX15B	154.8261
ALOX15	5.1471	removed	removed
ALOX5AP	174.2088	ALOX5AP	141.5973
ALOX5	239.5371	ALOX5	311.122
ALOXE3	11.8779	ALOXE3	12.7389
ALPK1	486.2009	ALPK1	665.8501
ALPK2	26.1313	ALPK2	23.5179
ALPK3	119.1746	ALPK3	85.7423
ALPL	383.2593	ALPL	1902.4988
ALS2CL	110.0683	ALS2CL	317.0015
ALS2CR4	489.7642	ALS2CR4	1563.9392
ALS2CR8	118.7787	ALS2CR8	182.7536
ALS2	530.9409	ALS2	592.3567
ALX3	17.4209	ALX3	34.7869
removed	removed	ALX4	93.0916
AMACR	500.0584	AMACR	259.1867
AMBP	5.1471	AMBP	22.048
AMBRA1	916.5758	AMBRA1	1246.4478
AMD1	870.7113	AMD1	2025.2229
removed	removed	AMDHD1	12.2489
AMDHD2	183.7586	AMDHD2	250.8574
AMFR	4264.1559	AMFR	4733.9539
AMICA1	38.801	AMICA1	107.3003
AMIGO1	139.763	AMIGO1	162.1754
AMIGO2	275.5666	AMIGO2	2563.4493
AMIGO3	123.5299	AMIGO3	80.3528
AMMECR1L	687.7288	AMMECR1L	1010.779
AMMECR1	933.9966	AMMECR1	204.3116
AMN1	199.9442	AMN1	233.219
removed	removed	AMN	6.8594
AMOTL1	620.8168	AMOTL1	2324.8408
AMOTL2	995.7616	AMOTL2	3306.2224
AMOT	673.8713	AMOT	1222.9299
removed	removed	AMPD1	28.4174
AMPD2	646.9481	AMPD2	748.1627
AMPD3	254.9783	AMPD3	186.1832
AMPH	1652.6079	AMPH	39.6864
AMT	34.8418	AMT	279.2063
removed	removed	AMY1A	16.1685
AMY2B	10.6901	AMY2B	137.6139
AMZ1	41.1766	AMZ1	7.8393
AMZ2P1	184.107	AMZ2P1	294.4635
