gene_id	TCGA-BH-A1ET-01A-11R-A137-07	gene_id	TCGA-BH-A1ET-11B-23R-A137-07
removed	removed	ANGPT4	67.0234
ANGPTL1	77.7138	ANGPTL1	544.8522
ANGPTL2	1216.942	ANGPTL2	4944.6993
ANGPTL4	60.4919	ANGPTL4	1213.5576
removed	removed	ANGPTL7	224.5158
ANG	522.396	ANG	399.9057
ANK1	6.4582	ANK1	38.736
ANK2	273.8281	ANK2	1003.5678
ANK3	2768.8499	ANK3	1241.3354
ANKAR	35.0896	ANKAR	76.9623
ANKDD1A	51.881	ANKDD1A	286.4424
removed	removed	ANKFN1	6.1162
ANKFY1	2395.1348	ANKFY1	2551.7329
ANKHD1-EIF4EBP3	1525.4981	ANKHD1-EIF4EBP3	797.5841
ANKHD1	3521.9891	ANKHD1	3699.9898
ANKH	773.4783	ANKH	1960.7543
ANKIB1	2102.1474	ANKIB1	1721.4577
ANKK1	9.9026	ANKK1	39.5005
removed	removed	ANKLE1	14.2074
ANKLE2	1209.1922	ANKLE2	1666.9215
ANKMY1	255.5298	ANKMY1	239.8063
ANKMY2	475.9701	ANKMY2	562.4363
ANKRA2	461.762	ANKRA2	379.4597
ANKRD10	1804.2732	ANKRD10	1609.7375
ANKRD11	979.6351	ANKRD11	2693.9857
ANKRD12	3218.9871	ANKRD12	3034.4037
ANKRD13A	1053.7646	ANKRD13A	1597.6045
ANKRD13B	142.0806	ANKRD13B	132.0082
ANKRD13C	725.0417	ANKRD13C	741.8451
ANKRD13D	302.4595	ANKRD13D	453.1091
ANKRD16	177.0518	ANKRD16	165.8614
ANKRD17	4500.296	ANKRD17	3980.3772
ANKRD19	38.9645	ANKRD19	31.6004
ANKRD20A3	6.0277	ANKRD20A3	26.7584
ANKRD20B	5.8124	ANKRD20B	7.6453
ANKRD22	135.8377	ANKRD22	12.2324
ANKRD23	38.534	ANKRD23	50.7136
ANKRD24	30.1383	ANKRD24	18.8583
ANKRD26	1124.1591	ANKRD26	443.1702
