gene_id	TCGA-BH-A18R-01A-11R-A12D-07	gene_id	TCGA-BH-A18R-11A-42R-A12D-07
ANKRD11	2032.5319	ANKRD11	2659.4865
ANKRD12	1412.1842	ANKRD12	2421.87
ANKRD13A	1312.3328	ANKRD13A	1439.3027
ANKRD13B	57.0579	ANKRD13B	133.439
ANKRD13C	844.2793	ANKRD13C	662.7575
ANKRD13D	583.6553	ANKRD13D	374.6434
ANKRD16	156.1308	ANKRD16	205.6704
ANKRD17	5125.7058	ANKRD17	4136.6086
ANKRD19	58.2467	ANKRD19	33.2805
ANKRD1	5.6464	removed	removed
removed	removed	ANKRD20A3	12.6783
removed	removed	ANKRD20B	5.3883
ANKRD22	783.0609	ANKRD22	21.2361
ANKRD23	46.3596	ANKRD23	45.0079
ANKRD24	5.6464	ANKRD24	35.4992
ANKRD26	166.7162	ANKRD26	367.9873
ANKRD27	1032.9866	ANKRD27	898.2567
ANKRD28	2316.4933	ANKRD28	1560.6973
ANKRD29	25.5572	ANKRD29	248.1775
ANKRD30A	761.9614	ANKRD30A	849.7623
ANKRD30B	544.4279	ANKRD30B	192.71
removed	removed	ANKRD31	5.0713
ANKRD32	260.9212	ANKRD32	175.2773
ANKRD34A	15.7504	ANKRD34A	21.2361
ANKRD34B	52.0059	removed	removed
ANKRD35	19.3165	ANKRD35	184.7861
ANKRD36BP1	122.1397	ANKRD36BP1	229.1601
ANKRD36B	48.1426	ANKRD36B	103.0111
ANKRD36	162.2585	ANKRD36	353.4073
ANKRD37	188.3923	ANKRD37	147.6006
ANKRD39	155.4235	ANKRD39	109.0333
ANKRD40	3114.4131	ANKRD40	2258.0032
ANKRD42	254.6805	ANKRD42	288.4311
ANKRD43	444.5765	ANKRD43	145.8003
ANKRD44	64.4874	ANKRD44	144.2155
removed	removed	ANKRD45	14.897
ANKRD46	651.1144	ANKRD46	675.8288
ANKRD49	372.6597	ANKRD49	399.3661
ANKRD50	1884.9926	ANKRD50	1457.0523
ANKRD52	2984.844	ANKRD52	1503.0111
removed	removed	ANKRD53	115.3724
ANKRD54	571.1738	ANKRD54	364.5008
