gene_id	TCGA-E2-A15K-01A-11R-A12P-07	gene_id	TCGA-E2-A15K-11A-13R-A12P-07
ANKRD13C	578.7006	ANKRD13C	371.2085
ANKRD13D	1061.7166	ANKRD13D	845.9316
ANKRD16	137.0204	ANKRD16	152.1088
ANKRD17	2368.7685	ANKRD17	1178.1416
ANKRD19	34.8292	ANKRD19	118.4401
ANKRD20A3	7.6548	ANKRD20A3	9.6293
ANKRD20B	16.4578	ANKRD20B	6.259
ANKRD22	239.2116	ANKRD22	38.0356
ANKRD23	37.8911	ANKRD23	18.2956
ANKRD24	14.9268	ANKRD24	33.221
ANKRD26	249.9282	ANKRD26	92.441
ANKRD27	506.363	ANKRD27	657.6793
ANKRD28	860.0134	ANKRD28	761.6755
ANKRD29	20.2851	ANKRD29	288.3967
removed	removed	ANKRD2	8.1849
ANKRD30A	1071.6678	ANKRD30A	21.1844
ANKRD30B	88.4126	removed	removed
ANKRD32	253.3729	ANKRD32	71.7381
ANKRD34A	33.681	ANKRD34A	26.962
ANKRD35	17.9887	ANKRD35	478.0934
ANKRD36BP1	60.4727	ANKRD36BP1	33.221
ANKRD36B	17.2232	ANKRD36B	6.7405
ANKRD36	125.921	ANKRD36	127.1064
ANKRD37	51.0803	ANKRD37	240.5104
ANKRD39	133.5757	ANKRD39	220.0289
ANKRD40	1059.8029	ANKRD40	1633.1247
ANKRD42	180.2698	ANKRD42	202.2147
ANKRD43	103.7221	ANKRD43	19.2585
ANKRD44	94.5364	ANKRD44	16.3698
ANKRD46	297.0357	ANKRD46	383.2451
ANKRD49	198.6413	ANKRD49	249.3982
ANKRD50	565.3048	ANKRD50	479.0563
ANKRD52	1230.5043	ANKRD52	1018.2956
removed	removed	ANKRD53	73.1825
ANKRD54	510.1904	ANKRD54	538.7578
ANKRD55	8.4202	removed	removed
ANKRD56	23.347	ANKRD56	67.8864
ANKRD57	552.2916	ANKRD57	486.7597
ANKRD58	19.5197	ANKRD58	29.3693
ANKRD5	532.772	ANKRD5	77.0342
ANKRD6	73.26	ANKRD6	212.9032
