gene_id	TCGA-BH-A18L-01A-32R-A12D-07	gene_id	TCGA-BH-A18L-11A-42R-A12D-07
ALOXE3	5.4913	ALOXE3	12.1951
ALPK1	299.422	ALPK1	711.9428
removed	removed	ALPK2	34.9033
ALPK3	75.7225	ALPK3	421.3625
ALPL	414.4509	ALPL	1169.8907
ALS2CL	40.4624	ALS2CL	423.4651
removed	removed	ALS2CR11	19.344
ALS2CR4	335.5491	ALS2CR4	978.9739
ALS2CR8	149.1329	ALS2CR8	203.5324
ALS2	849.422	ALS2	680.8242
ALX3	20.5202	ALX3	22.2876
removed	removed	ALX4	59.2935
AMACR	477.1676	AMACR	280.9083
AMBP	130.0578	AMBP	15.1388
AMBRA1	978.0347	AMBRA1	997.4769
AMD1	807.8035	AMD1	1710.1724
removed	removed	AMDHD1	5.8873
AMDHD2	317.2919	AMDHD2	198.7384
AMFR	1756.6474	AMFR	3569.8066
AMICA1	30.9249	AMICA1	75.6939
AMIGO1	121.6763	AMIGO1	182.5063
AMIGO2	24818.7832	AMIGO2	2072.7502
AMIGO3	49.422	AMIGO3	83.6838
AMMECR1L	1083.526	AMMECR1L	885.6182
AMMECR1	339.5954	AMMECR1	220.7738
AMN1	210.6936	AMN1	195.963
AMOTL1	230.6358	AMOTL1	2093.7763
AMOTL2	438.1503	AMOTL2	5689.2347
AMOT	107.8035	AMOT	1126.1564
removed	removed	AMPD1	13.0362
AMPD2	618.2081	AMPD2	719.5122
AMPD3	317.6301	AMPD3	185.8705
AMPH	6.6474	AMPH	75.2733
AMT	17.9191	AMT	158.7595
removed	removed	AMY1A	24.3902
AMY2B	24.7341	AMY2B	264.1337
removed	removed	AMZ1	25.2313
AMZ2P1	251.7341	AMZ2P1	188.8141
AMZ2	2680.0578	AMZ2	1155.5929
ANAPC10	201.4451	ANAPC10	132.4643
ANAPC11	1977.7457	ANAPC11	650.1262
ANAPC13	717.7254	ANAPC13	1019.2052
ANAPC16	2217.9191	ANAPC16	2179.5627
ANAPC1	968.7861	ANAPC1	652.6493
ANAPC2	618.7861	ANAPC2	716.9891
ANAPC4	382.948	ANAPC4	562.6577
ANAPC5	2885.2601	ANAPC5	2236.7536
ANAPC7	956.3584	ANAPC7	821.2784
ANGEL1	849.711	ANGEL1	534.4828
ANGEL2	1316.185	ANGEL2	595.8789
ANGPT1	29.4798	ANGPT1	929.7729
ANGPT2	190.7514	ANGPT2	335.5761
removed	removed	ANGPT4	18.9235
ANGPTL1	8.9595	ANGPTL1	553.8267
ANGPTL2	541.0405	ANGPTL2	7446.5938
ANGPTL4	64.1618	ANGPTL4	2218.2506
removed	removed	ANGPTL5	14.7183
removed	removed	ANGPTL7	159.3776
ANG	76.763	ANG	558.8394
removed	removed	ANK1	30.6981
ANK2	160.1156	ANK2	1263.6669
ANK3	612.4277	ANK3	800.2523
ANKAR	11.2717	ANKAR	52.1447
ANKDD1A	16.763	ANKDD1A	312.0269
ANKFY1	1613.2948	ANKFY1	2414.2136
