gene_id	TCGA-BH-A18P-01A-11R-A12D-07	gene_id	TCGA-BH-A18P-11A-43R-A12D-07
ALDH1L1	23.4368	ALDH1L1	5257.6792
ALDH1L2	364.3688	ALDH1L2	238.4812
ALDH2	949.9222	ALDH2	23825.5119
removed	removed	ALDH3A1	59.3003
ALDH3A2	1179.1632	ALDH3A2	5151.4505
ALDH3B1	120.1135	ALDH3B1	171.9283
ALDH3B2	1026.0917	ALDH3B2	1766.2116
ALDH4A1	1125.3319	ALDH4A1	1724.8294
ALDH5A1	182.3675	ALDH5A1	1136.5188
ALDH6A1	547.0841	ALDH6A1	2650.5205
ALDH7A1	964.204	ALDH7A1	2391.2116
removed	removed	ALDH8A1	22.1843
ALDH9A1	3764.8998	ALDH9A1	5825.5119
ALDOA	17339.9249	ALDOA	18151.8771
removed	removed	ALDOB	5.9727
ALDOC	160.0293	ALDOC	2469.2833
ALG10B	362.5378	ALG10B	375
ALG10	134.7615	ALG10	107.9352
ALG11	41.0144	ALG11	9.8123
ALG12	493.6373	ALG12	425.3413
ALG13	643.7792	ALG13	479.5222
ALG14	228.5087	ALG14	237.628
ALG1L	21.8768	ALG1L	6.4548
ALG1	422.4517	ALG1	362.2952
ALG2	823.9495	ALG2	735.0683
ALG3	576.7646	ALG3	363.4812
ALG5	636.8214	ALG5	607.9352
ALG6	197.7479	ALG6	223.9761
ALG8	1303.305	ALG8	733.7884
ALG9	357.411	ALG9	740.1877
ALKBH1	239.4946	ALKBH1	206.9113
ALKBH2	260.7342	ALKBH2	146.3311
ALKBH3	368.397	ALKBH3	334.8976
ALKBH4	214.7615	ALKBH4	165.0768
ALKBH5	1524.8558	ALKBH5	2358.6604
ALKBH6	67.747	ALKBH6	57.5939
ALKBH7	277.9456	ALKBH7	401.4505
ALKBH8	234.3678	ALKBH8	229.9488
removed	removed	ALK	11.0922
ALMS1P	10.6198	removed	removed
ALMS1	1454.1793	ALMS1	1017.0648
removed	removed	ALOX12P2	7.2526
ALOX15B	42.4792	ALOX15B	406.9966
ALOX15	19.0424	ALOX15	52.901
ALOX5AP	202.5085	ALOX5AP	119.0273
ALOX5	202.5085	ALOX5	227.8157
ALOXE3	8.0564	ALOXE3	5.1195
ALPK1	500.9613	ALPK1	602.3891
ALPK2	40.282	ALPK2	5.9727
ALPK3	224.8467	ALPK3	469.7099
ALPL	56.3948	ALPL	661.6894
ALS2CL	54.5638	ALS2CL	242.3208
ALS2CR11	6.2254	ALS2CR11	12.7986
ALS2CR4	701.6387	ALS2CR4	1336.6041
ALS2CR8	250.8468	ALS2CR8	272.1843
ALS2	840.4285	ALS2	675.7679
ALX3	15.7466	ALX3	43.5154
removed	removed	ALX4	43.942
AMACR	631.3284	AMACR	373.2935
AMBP	111.6909	AMBP	5.9727
AMBRA1	1273.6428	AMBRA1	935.1536
AMD1	1904.2388	AMD1	1323.622
AMDHD1	13.1832	AMDHD1	17.4915
AMDHD2	125.0352	AMDHD2	158.8524
AMFR	1317.2205	AMFR	3076.3652
AMICA1	85.6907	AMICA1	65.273
AMIGO1	76.902	AMIGO1	184.3003
AMIGO2	376.8196	AMIGO2	2483.7884
AMIGO3	55.2962	AMIGO3	37.116
AMMECR1L	1111.7825	AMMECR1L	843.8567
AMMECR1	688.4556	AMMECR1	150.1706
AMN1	93.0147	AMN1	190.273
AMOTL1	869.3582	AMOTL1	3244.4539
