gene_id	TCGA-GI-A2C8-01A-11R-A16F-07	gene_id	TCGA-GI-A2C8-11A-22R-A16F-07
AMMECR1L	810.9103	AMMECR1L	550.1551
AMMECR1	271.7537	AMMECR1	137.0217
AMN1	262.3829	AMN1	330.4033
AMOTL1	779.7858	AMOTL1	8568.7694
AMOTL2	1515.3949	AMOTL2	875.9049
AMOT	965.5288	AMOT	11633.9193
removed	removed	AMPD1	18887.2802
AMPD2	661.3119	AMPD2	148.9142
AMPD3	330.3213	AMPD3	776.6287
AMPH	95.3815	AMPH	145.2947
AMT	65.4384	AMT	47.8232
AMY2B	141.8106	AMY2B	461.3133
AMZ1	6.3588	removed	removed
AMZ2P1	130.5221	AMZ2P1	271.4581
AMZ2	1752.008	AMZ2	1894.0021
ANAPC10	105.7564	ANAPC10	174.2503
ANAPC11	508.3668	ANAPC11	1877.9731
ANAPC13	1435.2912	ANAPC13	1375.2534
ANAPC16	1526.1044	ANAPC16	5193.8987
ANAPC1	622.8246	ANAPC1	846.9493
ANAPC2	682.0616	ANAPC2	477.2492
ANAPC4	231.593	ANAPC4	366.0807
ANAPC5	1689.759	ANAPC5	4019.1313
ANAPC7	786.8139	ANAPC7	830.9204
ANGEL1	517.4029	ANGEL1	441.0548
ANGEL2	843.3735	ANGEL2	570.8376
ANGPT1	221.5529	ANGPT1	1227.5078
ANGPT2	284.4712	ANGPT2	198.0352
ANGPTL1	58.9023	ANGPTL1	1738.3661
ANGPTL2	1901.6064	ANGPTL2	5279.2141
ANGPTL4	22.0884	ANGPTL4	767.8387
removed	removed	ANGPTL5	49.6381
ANGPTL6	6.6131	removed	removed
removed	removed	ANGPTL7	6.2048
ANG	233.4237	ANG	37.2234
removed	removed	ANK1	9563.0817
ANK2	372.1553	ANK2	5921.9235
ANK3	568.6078	ANK3	3650.9824
ANKAR	57.2289	ANKAR	38.7797
ANKDD1A	70.9505	ANKDD1A	27.9214
ANKFY1	1481.593	ANKFY1	1370.7342
ANKHD1-EIF4EBP3	939.6118	ANKHD1-EIF4EBP3	219.1727
ANKHD1	3723.1627	ANKHD1	2428.4695
ANKH	1891.2316	ANKH	5462.2544
ANKIB1	1826.3052	ANKIB1	1094.6225
ANKK1	10.3748	removed	removed
ANKLE2	1211.8474	ANKLE2	1450.879
ANKMY1	211.8474	ANKMY1	57.9111
ANKMY2	908.2999	ANKMY2	998.9659
ANKRA2	467.5368	ANKRA2	146.3289
ANKRD10	1347.0415	ANKRD10	2816.0962
ANKRD11	1865.1104	ANKRD11	1761.9442
ANKRD12	1746.3186	ANKRD12	1522.2337
ANKRD13A	878.5141	ANKRD13A	445.7084
ANKRD13B	121.1513	ANKRD13B	123.5781
ANKRD13C	534.1365	ANKRD13C	622.0269
ANKRD13D	570.2811	ANKRD13D	92.0372
ANKRD16	150.2443	ANKRD16	79.1107
ANKRD17	3591.0308	ANKRD17	2754.9121
ANKRD19	29.4511	ANKRD19	55.3257
removed	removed	ANKRD1	7524.302
ANKRD22	222.2222	ANKRD22	6.7218
ANKRD23	41.1647	ANKRD23	39384.1779
ANKRD24	12.0482	removed	removed
ANKRD26	233.9357	ANKRD26	698.0352
ANKRD27	953.4806	ANKRD27	503.6194
ANKRD28	871.1513	ANKRD28	2764.2192
ANKRD29	20.7497	ANKRD29	93.0714
removed	removed	ANKRD2	5915.7187
ANKRD30A	5135.2075	removed	removed
ANKRD30B	7.3628	removed	removed
ANKRD32	102.7443	ANKRD32	99.7932
ANKRD34A	35.4752	ANKRD34A	33.092
ANKRD35	23.0924	ANKRD35	222.3371
ANKRD36BP1	106.091	ANKRD36BP1	60.4964
ANKRD36B	25.1004	removed	removed
ANKRD36	150.6024	ANKRD36	29.4726
ANKRD37	53.3568	ANKRD37	483.0558
ANKRD39	118.4739	ANKRD39	155.1189
ANKRD40	1297.8581	ANKRD40	6299.8966
ANKRD42	477.577	ANKRD42	62.0476
ANKRD43	66.5997	removed	removed
ANKRD44	128.8487	ANKRD44	42.3992
ANKRD45	10.7095	removed	removed
ANKRD46	806.1145	ANKRD46	1890.2068
ANKRD49	245.9839	ANKRD49	153.0507
ANKRD50	1684.0696	ANKRD50	529.9897
ANKRD52	1294.5114	ANKRD52	2087.3837
ANKRD53	7.3628	removed	removed
ANKRD54	290.83	ANKRD54	207.8594
ANKRD56	269.411	removed	removed
ANKRD57	660.3079	ANKRD57	134.9535
ANKRD58	15.7296	removed	removed
ANKRD5	312.9183	ANKRD5	38.2627
ANKRD6	237.3159	ANKRD6	202.8283
ANKRD9	30.4552	ANKRD9	627.1975
ANKS1A	744.9799	ANKS1A	611.6856
ANKS1B	393.2396	ANKS1B	196.484
ANKS3	280.4552	ANKS3	85.8325
ANKS6	111.4458	ANKS6	173.7332
