gene_id	TCGA-BH-A1FH-01A-12R-A13Q-07	gene_id	TCGA-BH-A1FH-11B-42R-A13Q-07
ANAPC16	1250.5612	ANAPC16	2497.4438
ANAPC1	692.9329	ANAPC1	644.683
ANAPC2	594.1636	ANAPC2	452.454
ANAPC4	475.8882	ANAPC4	595.092
ANAPC5	2129.5766	ANAPC5	2720.8589
ANAPC7	836.5973	ANAPC7	734.1513
ANGEL1	558.5572	ANGEL1	511.7587
ANGEL2	767.8613	ANGEL2	658.998
ANGPT1	102.7943	ANGPT1	334.3558
ANGPT2	369.0688	ANGPT2	438.1391
ANGPT4	6.5021	ANGPT4	7.6687
ANGPTL1	696.958	ANGPTL1	1037.8323
ANGPTL2	3376.4223	ANGPTL2	4831.7996
ANGPTL3	6.5021	removed	removed
ANGPTL4	178.6516	ANGPTL4	709.1002
removed	removed	ANGPTL5	32.2086
ANGPTL6	5.728	removed	removed
ANGPTL7	7.1213	ANGPTL7	240.7975
ANG	245.9695	ANG	410.8947
ANK1	16.7196	ANK1	24.5399
ANK2	1000.387	ANK2	1940.184
ANK3	1677.5292	ANK3	1211.6564
ANKAR	40.87	ANKAR	35.7873
ANKDD1A	83.9074	ANKDD1A	183.5378
ANKFN1	24.4601	removed	removed
ANKFY1	2461.4908	ANKFY1	1974.9489
ANKHD1-EIF4EBP3	724.8672	ANKHD1-EIF4EBP3	663.4458
ANKHD1	2466.3023	ANKHD1	1813.1953
ANKH	1900.7663	ANKH	1844.5808
ANKIB1	2337.3326	ANKIB1	1224.9489
ANKK1	20.435	ANKK1	29.6524
ANKLE1	6.1924	ANKLE1	6.135
ANKLE2	1782.4909	ANKLE2	1534.7648
ANKMY1	189.798	ANKMY1	216.7689
ANKMY2	653.611	ANKMY2	695.8078
ANKRA2	266.2745	ANKRA2	371.1656
ANKRD10	1086.6971	ANKRD10	1351.227
ANKRD11	2855.7443	ANKRD11	2031.4008
ANKRD12	1973.2177	ANKRD12	1376.2781
ANKRD13A	1316.8202	ANKRD13A	1458.589
ANKRD13B	128.1833	ANKRD13B	133.4356
ANKRD13C	838.455	ANKRD13C	719.3252
ANKRD13D	391.9808	ANKRD13D	432.5153
ANKRD16	155.1204	ANKRD16	168.2004
ANKRD17	4033.1295	ANKRD17	2068.5072
ANKRD19	17.958	ANKRD19	28.6299
removed	removed	ANKRD1	8.18
removed	removed	ANKRD20A3	8.6912
removed	removed	ANKRD20B	7.1575
ANKRD22	89.7902	ANKRD22	66.9734
ANKRD23	51.3972	ANKRD23	22.4949
ANKRD24	30.3429	ANKRD24	7.6687
ANKRD26	356.684	ANKRD26	274.5399
ANKRD27	818.9488	ANKRD27	716.2577
ANKRD28	1049.9265	ANKRD28	1338.4458
ANKRD29	193.5134	ANKRD29	283.2311
ANKRD2	9.2886	removed	removed
ANKRD30A	702.2215	ANKRD30A	123.2106
ANKRD30B	72.761	ANKRD30B	17.3824
ANKRD32	141.8066	ANKRD32	126.7894
ANKRD34A	21.9831	ANKRD34A	13.2924
ANKRD35	132.518	ANKRD35	175.3579
ANKRD36BP1	175.2458	ANKRD36BP1	160.0204
ANKRD36B	88.5517	ANKRD36B	86.9121
ANKRD36	208.6849	ANKRD36	197.8528
ANKRD37	103.6644	ANKRD37	223.1033
ANKRD39	144.2836	ANKRD39	121.6769
ANKRD40	2233.919	ANKRD40	1949.8978
ANKRD42	295.9981	ANKRD42	296.0123
ANKRD43	72.1418	ANKRD43	62.8834
ANKRD44	118.2754	ANKRD44	68.5072
ANKRD45	27.2467	ANKRD45	14.3149
ANKRD46	422.1968	ANKRD46	454.499
