gene_id	TCGA-BH-A0BA-01A-11R-A056-07	gene_id	TCGA-BH-A0BA-11A-22R-A19E-07
ANGPT1	110.7017	ANGPT1	550.9922
ANGPT2	214.5489	ANGPT2	354.8685
removed	removed	ANGPT4	17.5358
ANGPTL1	104.8753	ANGPTL1	356.2529
ANGPTL2	1569.36	ANGPTL2	4525.15
removed	removed	ANGPTL3	5.0761
ANGPTL4	669.6941	ANGPTL4	691.2783
ANGPTL7	69.2314	ANGPTL7	286.5713
ANG	871.4283	ANG	400.706
ANK1	15.4228	ANK1	15.6899
ANK2	281.3812	ANK2	1004.1532
ANK3	1535.7724	ANK3	1192.4319
ANKAR	22.6202	ANKAR	42.455
ANKDD1A	51.4095	ANKDD1A	95.9852
removed	removed	ANKFN1	23.0734
ANKFY1	1662.2397	ANKFY1	2717.1204
ANKHD1-EIF4EBP3	1039.126	ANKHD1-EIF4EBP3	1019.9077
ANKHD1	3796.2608	ANKHD1	2546.0175
ANKH	1172.4788	ANKH	1867.5588
ANKIB1	1837.3747	ANKIB1	1338.7171
removed	removed	ANKK1	20.766
ANKLE1	6.5119	ANKLE1	6.922
ANKLE2	1553.9371	ANKLE2	1614.6747
ANKMY1	169.3085	ANKMY1	155.0531
ANKMY2	553.166	ANKMY2	589.7554
ANKRA2	494.9019	ANKRA2	263.9594
ANKRD10	1011.1764	ANKRD10	951.5459
ANKRD11	1756.8949	ANKRD11	2378.3756
ANKRD12	1482.6493	ANKRD12	1063.221
ANKRD13A	1293.4624	ANKRD13A	1165.6668
ANKRD13B	54.8368	ANKRD13B	109.3678
ANKRD13C	614.5146	ANKRD13C	598.5233
ANKRD13D	263.2165	ANKRD13D	295.3392
ANKRD16	151.963	ANKRD16	148.5925
ANKRD17	2555.7364	ANKRD17	3249.1924
ANKRD19	41.813	ANKRD19	19.3816
ANKRD20A3	6.1691	ANKRD20A3	5.5376
ANKRD20B	5.8264	ANKRD20B	6.922
ANKRD22	86.7107	ANKRD22	118.5971
ANKRD23	26.0475	ANKRD23	27.2266
ANKRD24	19.8783	ANKRD24	27.688
ANKRD26	408.8767	ANKRD26	208.1218
ANKRD27	1196.4699	ANKRD27	837.102
ANKRD28	1224.9165	ANKRD28	1167.0512
ANKRD29	85.3397	ANKRD29	264.8823
ANKRD30A	1768.486	ANKRD30A	688.9709
ANKRD30B	45.9258	ANKRD30B	28.1495
ANKRD32	577.1571	ANKRD32	141.6705
ANKRD34A	65.4614	ANKRD34A	18.9202
removed	removed	ANKRD34B	8.7679
ANKRD35	32.2166	ANKRD35	215.5053
ANKRD36BP1	144.9747	ANKRD36BP1	262.1135
ANKRD36B	23.6484	ANKRD36B	20.766
ANKRD36	164.5103	ANKRD36	168.8971
ANKRD37	102.7813	ANKRD37	87.6927
ANKRD39	103.5044	ANKRD39	109.8293
